English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which one of the following is the solution set of the equation \sqrt{4x - 3} + 5 = 2?,\sqrt{4x - 3} + 5 = 2 এর সমাধান সেট কোনটি?,\{\},\{0\},\{-3\},\{3\},{},{0},{-3},{3},a
"If 4 + p + q + 32 is a geometric series, which one is the value of (p^{2} + q^{2})?",4+p+q+32 গুণোত্তর ধারাভূক্ত হলে (p^{3} + q^{3}) এর মান নিচের কোনটি?,80,264,320,576,80,264,320,576,c
"\triangle{ABC} and \triangle{DEF} are similar and AB : DE = 2 : 3, \triangle{DEF} : triangle{ABC} = what?",\triangle ABC ও \triangle ABC সদৃশ এবং AB : DE = 2 : 3 হলে \triangle DEF : \triangle ABC = কত?,04:09,09:04,02:03,03:02,04:09,09:04,02:03,03:02,b
The length of the diagonal of a rectangle is 15 meters and the width is 10 meters. What is the length of the rectangle?,"একটি আয়তক্ষেত্রের কর্ণের দৈর্ঘ্য 15 মিটার এবং প্রস্থ 10 মিটার হলে, ক্ষেত্রটির দৈর্ঘ্য কত মিটার?",25 m,5\sqrt{5} m,5 m,\sqrt{5} m,25 মিটার,5\sqrt{5} মিটার,5 মিটার,\sqrt{5} মিটার,b
"The radius of a right circular cylinder is 3 cm and the height is 5 cm.
What is the value of the cylinder?","একটি সমবৃত্তভূমিক বেলনের ভূমির ব্যাসার্ধ 3 সে.মি. এবং উচ্চতা 5 সে.মি. ।
 
 বেলনটির আয়তন কত ঘন সে.মি.?",15\pi cm^{3},25\pi cm^{3},45\pi cm^{3},75\pi cm^{3},15 ঘন সে.মি.,25 ঘন সে.মি.,45 ঘন সে.মি.,75 ঘন সে.মি.,c
"The radius of a right circular cylinder is 3 cm and the height is 5 cm.
The cylinder-
i. circumference of the base is 3\pi cm
ii. area of the base 9\pi sq. cm
iii. area of curved surface is 30\pi sq. cm
Which one is correct?","একটি সমবৃত্তভূমিক বেলনের ভূমির ব্যাসার্ধ 3 সে.মি. এবং উচ্চতা 5 সে.মি. ।
 
 বেলনটির-
 i. ভূমির পরিধি 3\pi ঘন সে.মি.
 ii. ভূমির ক্ষেত্রফল 9\pi ঘন সে.মি.
 iii. বক্রতলে ক্ষেত্রফল 30\pi ঘন সে.মি.
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
How many maximum number of common tangents can be drawn on two circles?,দুইটি বৃত্তে সর্বোচ্চ কয়টি সাধারণ স্পর্শক অঙ্কন করা সম্ভব?,4,3,2,1,4,3,2,1,a
Which one is the simple fraction of 0.8\dot{3}?,0.8\dot{3} কে সাধারণ ভগ্নাংশে প্রকাশ করলে নিচের কোন ভগ্নাংশটি পাওয়া যাবে?,\frac{5}{6},\frac{83}{90},\frac{83}{99},\frac{6}{5},\frac{5}{6},\frac{83}{90},\frac{83}{99},\frac{6}{5},a
What is to be added to the product of 4 consecutive natural numbers become a perfect square?,চারটি ক্রমিক স্বাভাবিক সংখ্যার গুণফলে সাথে কত যোগ করলে যোগফল একটি পূর্ণবর্গ সংখ্যা হবে?,1,4,9,81,1,4,9,81,a
"If the number of elements of any power set is 32, then what is the number of elements of that set?","কোনো সেটের শক্তি সেটের উপাদান সংখ্যা 32 হলে, ঐ সেটের উপাদান সংখ্যা কত?",64,32,8,5,64,32,8,5,d
"U = \{1, 2, 3, 4, 5, 6\}, A = \{1, 3, 5\}, B = \{2, 4, 6\}
Which one is the value of (A^{\prime} \cup B^{prime})?","U ={1,2,3,4,5,6}, A= {1,3,5}, B= {2,4,6} 
 (A' \cup B') এর মান নিচের কোনটি?",\{\},"\{2, 4, 6\}","\{1, 3, 5\}","\{1, 2, 3, 4, 5, 6\}",{},"{2,4,6}","{1,3,5}","{1,2,3,4,5,6}",d
"U = \{1, 2, 3, 4, 5, 6\}, A = \{1, 3, 5\}, B = \{2, 4, 6\}
Which one is the value of (A\B)?","U ={1,2,3,4,5,6}, A= {1,3,5}, B= {2,4,6} 
 A/B এর মান নিচের কোনটি?","\{1, 2, 3, 4, 5, 6\}","\{2, 4, 6\}","\{1, 3, 5\}",\{\},"{1,2,3,4,5,6}","{2,4,6}","{1,3,5}",{},c
The length of the three line segment are given below. In which case it is not possible to draw a triangle?,নিচের তিনটি রেখাংশের দৈর্ঘ্য দেওয়া হলো। কোন ক্ষেত্রে ত্রিভূজ অঙ্কন করা সম্ভব?,"3 cm, 4 cm, 5 cm","4 cm, 5 cm, 10 cm","5 cm, 6 cm, 8 cm","8 cm, 3 cm, 9 cm","3 সে.মি., 4 সে.মি., 5 সে.মি.","4 সে.মি., 5 সে.মি., 10 সে.মি.","5 সে.মি., 6 সে.মি., 8 সে.মি.","8 সে.মি., 3 সে.মি., 9 সে.মি.",b
"If \cosec \theta + \cot \theta = \frac{3}{2}, \cot \theta - \cosec \theta = what?","\cosec \theta + \cot \theta = \frac{3}{2} হলে, \cot \theta - \cosec \theta = কত?",-\frac{3}{2},-\frac{2}{3},\frac{2}{3},\frac{3}{2},-\frac{3}{2},-\frac{2}{3},\frac{2}{3},\frac{3}{2},b
An item is sold at 20% loss. What is the ratio of selling price and cost price?,একটি দ্রব্য 20% ক্ষতিতে বিক্রয় করা হলো। বিক্রয়মূল্য ও ক্রয়মূল্যের অনুপাত কত?,01:05,04:05,06:05,05:04,01:05,04:05,06:05,05:04,b
"The system of equation x + 3y = 1 and 2x + 6y = 2 is-
i. consistent
ii. mutually dependent
iii. has infinite number of solutions
Which one is correct?","x + 3y = 1; 2x + 6y = 2 সমীকরণ জোট-
 i. সঙ্গতিপূর্ণ
 ii. পরস্পর নির্ভরশীল 
 iii. এর অসংখ্য সমাধান আছে
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one is simple fraction of 4.78?,4.78 এর সাধারণ ভগ্নাংশ নিচের কোনটি?,4\frac{71}{90},4\frac{78}{9},4\frac{78}{90},4\frac{75}{9},4\frac{71}{90},4\frac{78}{9},4\frac{78}{90},4\frac{75}{9},a
g(y) = y^{2} - 13y + 40 and g(y) = 0. Find the value of y.,"g(y) = y^{2} - 13y + 40 এবং g(y) = 0 হলে, y এর মান কত?","(5, 8)","(-5, -8)","(-5, 8)","(5, 7)","(5,8)","(-5,-8)","(-5,8)","(5,7)",a
What is the sum of 15 terms of the series 3 + 6 + 9 + .....?,3+6+9+…….. ধারার 15টি পদের সমষ্টি কত?,270,315,360,405,270,315,360,405,c
"If M = \{3, 5, 7\}, N = \{4, 5, 7\}, then-
i. M \cap N = \{5, 7\}
ii. The number of element P(M \cup N) is 16
iii. M\N = \{3, 5\}
Which one is correct?","M= {3,5,7} , N= {4,5,7} হলে- 
 i. M \cap N = \{5, 7\}
 ii. P(M \cup N) এর উপাদান সংখ্যা 16
 iii. M\N = \{3, 5\}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"Which one is the range of-
S = \{(3, 1), (3, 3), (4, 3), (5, 4)\}?","S={(3,1),(3,3),(4,3),(5,4)} এর রেঞ্জ কোনটি?","\{3, 3, 4\}","\{3, 4, 5\}","\{1, 3, 4\}","\{1, 4, 5\}","{3,3,4}","{3,4,5}","{1,3,4}","{1,4,5}",c
How many symmetrical lines a rhombus has?,রম্বসের প্রতিসাম্য রেখার সংখ্যা কয়টি?,0,1,2,4,0,1,2,4,c
\log_{36} 6 + \log_{\sqrt{6}} 6 = what?,\log_{36} 6 + \log_{\sqrt{6}} 6 = কত?,\frac{1}{\sqrt{6}},1,2\frac{1}{2},5,\frac{1}{\sqrt{6}},1,2\frac{1}{2},5,c
a_{1}x + b_{1}y = c_{1}; a_{2}x + b_{2}y = c_{2} are two equation impose a condition to make them dependent?,a_{1}x + b_{1}y = c_{1}; a_{2}x + b_{2}y = c_{2} সমীকরণ জোটটি কোন শর্তে পরস্পর নির্ভরশীল হবে?,\frac{a_{1}}{a_{2}} \neq \frac{b_{1}}{b_{2}},\frac{a_{1}}{a_{2}} = \frac{b_{1}}{b_{2}} \neq \frac{c_{1}}{c_{2}},\frac{a_{1}}{a_{2}} = \frac{b_{1}}{b_{2}} = \frac{c_{1}}{c_{2}},\frac{a_{1}}{a_{2}} \neq \frac{b_{1}}{b_{2}} \neq \frac{c_{1}}{c_{2}},\frac{a_{1}}{a_{2}} \neq \frac{b_{1}}{b_{2}},\frac{a_{1}}{a_{2}} = \frac{b_{1}}{b_{2}} \neq \frac{c_{1}}{c_{2}},\frac{a_{1}}{a_{2}} = \frac{b_{1}}{b_{2}} = \frac{c_{1}}{c_{2}},\frac{a_{1}}{a_{2}} \neq \frac{b_{1}}{b_{2}} \neq \frac{c_{1}}{c_{2}},c
"(x - 4)^{2} = x^{2} - 8x + 16, it is-
i. and identity
ii. an equation
iii. satisfied for all the values of x
Which one is correct?","(x - 4)^{2} = x^{2} - 8x + 16 এটি- 
 i. একটি অভেদ 
 ii. একটি সমীরণ 
 iii. x এর সকল মানের জন্য সিদ্ধ হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the characteristics of the \log of the number 6.34?,6.34 সংখ্যাটির লগের পূর্ণক কত?,2,1,0,-1,2,1,0,-1,c
Which one is rational number?,নিচের কোনটি মূলদ সংখ্যা?,\sqrt{3},\sqrt{8},\sqrt[3]{6},\sqrt[3]{8},\sqrt{3},\sqrt{8},\sqrt[3]{6},\sqrt[3]{8},d
Which one of the following solution of the equation 2y^{2} - 4py?,2y^{2} = 4py এর সমাধান নিচের কোনিট?,"(0, 4p)","(0, 2p)","(0, -2p)","(2, 2p)","(0,4p)","(0,2p)","(0,-2p)","(2,2p)",b
If a + b = \sqrt{3} and a - b = \sqrt{2} what is the value of ab?,a + b = \sqrt{3} এবং a - b = \sqrt{2} হলে ab এর মান কোনটি?,\frac{1}{4},\frac{1}{2},1,\frac{5}{4},\frac{1}{4},\frac{1}{2},1,\frac{5}{4},a
"If p + \frac{1}{p} = 0, what is the value of \sqrt{2} \left ( \sqrt{p} + \frac{1}{\sqrt{p}} \right )?","p + \frac{1}{p} = 0 হলে, \sqrt{2} \left ( \sqrt{p} + \frac{1}{\sqrt{p}} \right ) এর মান কত?",0,1,2,4,0,1,2,4,c
"Two circles touches each other at internally. If one of its diameter is 10 cm and radius of other circle is 4 cm, then what is the distance between the two centres of them?","দুইটি বৃত্ত পরস্পরকে অন্তঃস্পর্শ করে। এদের ব্যাস 10 সে.মি এর অপরটির ব্যসার্ধ 4 সে.মি হলে, এদের কেন্দ্রদ্বয়ের মর্ধবর্তী দূরত্ব কত সে.মি.?",1,4,5,9,1,4,5,9,a
To draw a triangle whaich is the value of rest two angles expect obtuse angle of obtuse angle triangle?,স্থূথকোণী ত্রিভূজের স্থূলকোন ছাড়া বাকি কোণ দুটি কত হলে ত্রিভূজ অঙ্কন সম্ভব?,30\degree and 60\degree,40\degree and 50\degree,45\degree and 45\degree,50\degree and 30\degree,30\degree ও 60\degree,40\degree ও 50\degree,45\degree ও 45\degree,50\degree ও 30\degree,d
\cosec \theta \sqrt{\sec^{2} \theta - 1} = ?,\cosec \theta \sqrt{\sec^{2} \theta - 1} = ?,\sec \theta,\cos \theta,\sin \theta,\tan \theta,\sec \theta,\cos \theta,\sin \theta,\tan \theta,a
What is the ratio between a diameter and circumference of a circle?,বৃত্তের ব্যাস ও পরিধির অনুপাত কোনটি?,1 : \pi,02:00,\pi : 1,\pi : 2,1 : \pi,2 : \pi,\pi : 1,\pi : 2,a
The distance of the centre of the vertex of regular hexagon is 6 cm. What is the area of hexagon is square meter?,একটি সুষম ষড়ভূজের কেন্দ্র থেকে কৌণিক বিন্দুর দূরত্ব 6 মি. হলে এর ক্ষেত্রফল কত বর্গমিটার?,108\sqrt{3},54\sqrt{3},27\sqrt{3},9\sqrt{3},108\sqrt{3},54\sqrt{3},27\sqrt{3},9\sqrt{3},b
Which one indicates the data included in each class when the data are classified?,উপাত্তসমূহ সারণিভুক্ত করা হলে প্রতি শ্রেণিতে যতগুলো উপাত্ত অন্তর্ভূক্ত হয় তার নির্দেশক নিচের কোনটি?,Class limit,Mid-point of the class,Number of classes,Class frequency,শ্রেণি সীমা,শ্রেণির মধ্যবিন্দু,শ্রেণি সংখ্যা,শ্রেণির গনসংখ্যা,d
The radius of a circle inscribed in a square is 3 cm. What is the length of a side of the square?,"একটি বর্গের অর্ন্তবৃত্তের ব্যাসার্ধ 3 সে.মি হলে, বর্গের বাহুর দৈর্ঘ্য কত?",\sqrt{3} cm,\sqrt{6} cm,3 cm,6 cm,\sqrt{3} সে.মি.,\sqrt{6} সে.মি.,3 সে.মি,6 সে.মি,d
"What is the median of the natural numbers from 1 to 22, which is divisible by 3?",1 থেকে 22 পর্যন্ত স্বাভাবিক সংখ্যার মধ্যে 3 দ্বারা বিভাজ্য সংখ্যাগুলোর মধ্যক কোনটি?,9,12,15,18,9,12,15,18,b
"If P = \{3, 4, 5, 6\}, then how many proper. subsets of the set P.","P= {3,4,5,6} হলে, সেট P এর প্রকৃত উপসেট কয়টি?",4,15,16,17,4,15,16,17,b
"If f(x) = x^{3} - x - 24, then what values of x, f(x) = 0?","f(x) = x^{3} - x - 24 হলে, x এর মান কোন মানের জন্য f(x) = 0 হবে?",2,3,4,6,2,3,4,5,b
"U = \{1, 2, 3, 4, 5, 6\}, M = \{1, 2, 3, 4\} If N = M', then-
i. element of N is 2
ii. element of M \times N is 8
M/N = \{\}
Which one is correct?","U= {1,2,3,4,5,6}, M={1,2,3,4} N=M' হলে -
 i. N এর উপাদান সংখ্যা 2টি
 ii. M \times N এর উপাদান সংখ্য 8টি 
 iii. M/n ={}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii," i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one is the factor of x^{3} - 2x - 4?,^{3} - 2x - 4 রাশির উৎপাদক কোনটি?,(x - 4),(x - 2),(x + 2),(x + 4),(x-4),(x-2),(x+2),(x+4),b
"If x + \frac{1}{x} = 0, what is the value of \sqrt{2} \left ( \sqrt{x} + \frac{1}{\sqrt{x}} \right )?","x + \frac{1}{x} = 0 হলে, \sqrt{2} \left ( \sqrt{x} + \frac{1}{\sqrt{x}} \right ) এর মান কত?",0,1,2,4,0,1,2,4,c
"If (x + y)^{2} = \sqrt[3]{27} and xy = 0, then-
i. x^{2} + y^{2} = 3
ii. x - y = \sqrt{3}
iii. x^{3} + y^{3} = 3\sqrt{3}
Which one is correct?","(x + y)^{2} = \sqrt[3]{27} এবং xy = 0 হলে- and xy = 0, then-
 i. x^{2} + y^{2} = 3
 ii. x - y = \sqrt{3}
 iii. x^{3} + y^{3} = 3\sqrt{3}
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"1 + 3 +5 + 7.....
Which one is the rth term of the above series?","1+3+5+7+……….
 ধারটির r তম পদ কত?",2r - 3,2r - 1,2r + 1,2r + 3,2r-3,2r-1,2r+1,2r+3,b
"1 + 3 +5 + 7.....
What is the sum of 1st nine terms of the above series?","1+3+5+7+……….
 ধারাটির প্রথম 9 পদের সমষ্টি কত?",17,81,256,511,17,81,256,511,b
\frac{7.2^{x + 1} - 13.2^{x}}{2^{x}} = ?,\frac{7.2^{x + 1} - 13.2^{x}}{2^{x}} = কত?,-2,-1,1,2,-2,-1,1,2,c
Which one of the following is the angle inscribed under a minor are of a circle?,কোনো বৃত্তের উপচাপে অন্তলিখিত কোণ নিচের কোনটি?,Acute angle,Obtuse angle,Right angle,Straight angle,সূক্ষ্মকোণ,স্থূলকোণ,সমকোণ,সরলকোণ,b
Which term of the series 32 + 16 + 8 + ..... is \frac{1}{4}?,32+16+8+……ধারাটির কোন পদ \frac{1}{4}?,6,7,8,9,6,7,8,9,c
"x - 3 - 2\sqrt{2} = 0
x - \frac{1}{x}?","x - 3 - 2\sqrt{2} = 0
 
 x - \frac{1}{x} = কত?",0,2\sqrt{2},4\sqrt{2},6,0,2\sqrt{2},4\sqrt{2},6,c
x^{3} + \frac{1}{x^{3}} = ?,"x - 3 - 2\sqrt{2} = 0
 
 x^{3} + \frac{1}{x^{3}} = কত?",198,210,213,234,198,210,213,234,a
"If f(x) = x^{3} + Px^{2} - 6x - 9, then for what value of P will f(-3) = 0?",যদি f(x) = x^{3} + Px^{2} - 6x - 9 হয় তবে p এর কোন মানের জন্য f(-3) = 0 হবে?,-4,-2,2,6,-4,-2,2,6,c
How many ex-circle can be drawn with any triangle?,কোন ত্রিভূজের কয়টি বহিবৃত্ত আঁকা যায়?,4,3,2,1,4,3,2,1,b
If \sin \theta = \frac{y}{x} then \cos \theta = ?,"\sin \theta = \frac{y}{x} হলে, \cos \theta = কত?",\frac{\sqrt{x^{2} - y^{2}}}{x},\frac{x}{\sqrt{x^{2} - y^{2}}},\frac{y}{\sqrt{x^{2} - y^{2}}},\frac{\sqrt{x^{2} - y^{2}}}{y},\frac{\sqrt{x^{2} - y^{2}}}{x},\frac{x}{\sqrt{x^{2} - y^{2}}},\frac{y}{\sqrt{x^{2} - y^{2}}},\frac{\sqrt{x^{2} - y^{2}}}{y},a
If a = 6.5 and b = 3.5 then what is the value of a^{2} - 2ab + b^{2}?,"a = 6.5, b = 3.5 হলে a^{2} - 2ab + b^{2} এর মান কত?",3,9,10,100,3,9,10,100,b
"7 + 13 + 19 + 25 + ..... is a series.
Which one is the 20th term of the series?","7+13+19+25+……… একটি ধারা। 
 ধারাটির 20 তম পদ কোনটি?",26,121,133,139,26,121,133,139,b
What is the summation of first 30 terms of the series?,"7+13+19+25+……… একটি ধারা। 
 ধারাটির 30টি পদের সমষ্টি কত?",3225,3000,2820,188,3225,3000,3820,188,c
If \tan (\theta - 30\degree) = \sqrt{3} then what is the value of \sin \theta?,\tan (\theta - 30\degree) = \sqrt{3} হলে \sin \theta এর মান কত?,0,\frac{1}{2},\frac{\sqrt{3}}{2},1,0,\frac{1}{2},\frac{\sqrt{3}}{2},1,d
What is the characteristic of the common \log of 0.00000538?,0.00000538 এর সাধারণ লগের পূর্ণক কত?,\bar{6},\bar{5},5,6,\bar{6},\bar{5},5,6,a
If 3^{2x + 3} = 81 then what is the value of x?,3^{2x + 3} = 81 হলে x এর মান কত?,\frac{1}{2},1,\frac{7}{2},7,\frac{1}{2},1,\frac{7}{2},7,a
Which one of the following is the roster method of \{x \in \mathbb{N}:x^{2}\geq 4 and x^{3} < 100\}?,\{x \in \mathbb{N}:x^{2}\geq 4 and x^{3} < 100\} সেটটির তালিকা পদ্ধতি নিচের কোনটি?,"\{2, 3, 4\}","\{2, 3, 5\}","\{3, 4, 5\}","\{3, 4, 6\}","\{2, 3, 4\}","\{2, 3, 5\}","\{3, 4, 5\}","\{3, 4, 6\}",a
What is the \log of \sqrt[3]{3} to the base of 3?,\log of \sqrt[3]{3} এর 3 ভিত্তিক লগ কত?,\frac{1}{2},\frac{2}{3},\frac{3}{2},3,\frac{1}{2},\frac{2}{3},\frac{3}{2},3,c
"If A = \{1, 3, 5, 7, 9\}, B = \{5, 7\}, which one of the follolwing is the number of elements of P(A - B)?","A= {1,3,5,7,9} B = {5,7} হলে P (A-B) এর উপাদান সংখ্যা নিচের কোনটি?",3,4,8,16,3,4,8,16,c
Which one is the factor of a^{3} + 3\sqrt{3}?,a^{3} + 3\sqrt{3} এর একটি উৎপাদক কোনটি?,a^{2} - \sqrt{3}a + 3,a^{2} - \sqrt{3}a + 9,a^{2} + \sqrt{3}a + 3,a^{2} + \sqrt{3}a + 9,a^{2} - \sqrt{3}a + 3,a^{2} - \sqrt{3}a + 9,a^{2} + \sqrt{3}a + 3,a^{2} + \sqrt{3}a + 9,a
If \cosec \theta = \frac{\sqrt{5}}{2} then what is the value of 2 \tan \theta?,"\cosec \theta = \frac{\sqrt{5}}{2} হলে, 2 \tan \theta এর মান কত?",\frac{1}{2},1,2,4,\frac{1}{2},1,2,4,d
"If a + b = 6 and a - b = 4 then-
i. a^{2} - b^{2} = 24
ii. a^{2} + b^{2} = 26
iii. 4ab = 20
Which one is correct?","a+b = 6, a-b= 4 হলে-
 i. a^{2} - b^{2} = 24
 ii. a^{2} + b^{2} = 26
 iii. 4ab = 20
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
The perimeter of an equilateral triangle is 12 cm. What is the area sq. cm?,একটি সমবাহু ত্রিভূজের পরিসীমা 12 সে.মি. হলে ক্ষেত্রফল কত বর্গ সে.মি.,36\sqrt{3},4\sqrt{3},3\sqrt{3},\sqrt{3},36\sqrt{3},4\sqrt{3},3\sqrt{3},\sqrt{3},b
"The height of a cylinder is 8 cm and the diameter of the base is 12 cm.
What is the area of the curved surface in square cm?","একটি বেলনের উচ্চতা 8সে.মি এবং ভূমির ব্যাস 12 সে.মি। 
 বেলনটির বক্রপৃষ্ঠের ক্ষেত্রফল কত বর্গ সি.মি.?",37.7,50.27,301.59,603.19,37.7,50.27,301.59,603.19,c
"The height of a cylinder is 8 cm and the diameter of the base is 12 cm.
What is the volume of the cylinder in cubic cm?","একটি বেলনের উচ্চতা 8সে.মি এবং ভূমির ব্যাস 12 সে.মি। 
 বেলনটির আয়তন কত ঘন সে.মি.?",3619.12,904.78,301.59,150.8,3619.12,904.78,301.59,150.8,b
Length of three line segments in cm unit are given below. When a triangle may be drawn?,নিম্নে সে.মি এককে তিনটি রেখাংশের দৈর্ঘ্য দেওয়া আছে। কোন ক্ষেত্রে একটি ত্রিভূজ আঁকা সম্বব?,"2, 3, 2005","6, 7, 2008","4, 5, 10","7, 5, 2002","2,3,5","6,7,8","4,5,10","7,5,2",b
Parallelogram inscribed in a circle is-,বৃত্তস্থ সামন্তরিক একটি-,rhombus,square,rectangle,trapezium,রম্বস,বর্গ,আয়ত,ট্রাপিজিয়াম,c
Which one of the following is the continue proportion?,নিচের কোনটি ক্রমিক সমানুপাতি?,05:15:20,03:05:06,02:04:08,02:05:10,05:15:20,03:05:06,02:04:08,02:05:10,c
"If 4\sec A = 5, then \sin A = ?",4sceA= 5 হলে sinA=?,\frac{25}{16},\frac{4}{5},\frac{3}{5},\frac{9}{25},\frac{25}{16},\frac{4}{5},\frac{3}{5},\frac{9}{25},c
"\log_{a} x = 5 and \lof_{a} y = 3
What is the value of \log_{a}(xy)?","\log_{a} x = 5 এবং \lof_{a} y = 3
 ন\log_{a}(xy) = কত?",2,5,8,15,2,5,8,15,c
"\log_{a} x = 5 and \lof_{a} y = 3
What is the value of \log_(y}x?","\log_{a} x = 5 এবং \lof_{a} y = 3
 \log_(y}x = কত?",\frac{3}{5},\frac{5}{3},8,15,\frac{3}{5},\frac{5}{3},8,15,b
"If 9^{n + 1} = 243, what is the value of n?",9^{n + 1} = 243 হলে n = ?,\frac{5}{2},\frac{3}{2},\frac{2}{3},\frac{5}{9},\frac{5}{2},\frac{3}{2},\frac{2}{3},\frac{5}{9},b
If the sie of a square is decreased by 10% what is the percentage of decrease of the area of square?,কোনো বর্গের বাহুর দৈর্ঘ্য 10% হ্রাস পেলে এর ক্ষেত্রফল শতকরা কত হ্রাস পাবে?,10%,19%,21%,30%,10%,19%,21%,30%,b
"For the equation x^{2} - \frac{4}{x^{2}} = 0, -
i. the highest degree of the variable is 4
ii. two roots are (\sqrt{2}, - \sqrt{2})
iii. the constant term is 4
Which one is correct?","x^{2} - \frac{4}{x^{2}} = 0 সমীকরণটির -
 i. চলকের সর্বোচ্চ ঘাত 4
 ii. দুটি মূল (\sqrt{2}, - \sqrt{2})
 iii. ধ্রুবক পদ 4
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one is the intersecting point of the equations 2x + y = 8 and 3x - 2y = 5?,2x + y = 8 এবং 3x - 2y = 5 সমীকরণদ্বয়ের ছেদ বিন্দুর স্থানান্তর কোনটি?,"(3, 2)","(2, 3)","(-3, 2)","(-2, 3)","(3,2)","(2,3)","(-3,2)","(-2,3)",a
"The equations 2x - 5y = 3 and x - 1 = 3y -
i. are inconsistent
ii. are mutually independent
iii. have unique solution
Which one is correct?","2x - 5y = 3 ও x - 1 = 3y সমীকরণ জোটটি 
 i. অসমঞ্জস 
 ii. পরস্পর অনির্ভরশীল 
 iii. একটি মাত্র সমাধান আছে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which one of the following is the roster method of the set \{x \in N : x \leq 5 and x is prime\}?,{x \in \mathbb{N} : x মৌলিক সংখ্যা এবং x \leq 5} সেটটির তালিকা পদ্ধতি নিচের কোনটি?,"\{1, 3, 5\}","\{5, 7, 11\}","\{2, 3, 5\}","\{3, 5, 7\}","{1, 3, 5}","{5, 7, 11}","{2, 3, 5}","{3, 5, 7}",c
What is the ratio between cost price and selling price at 25% profit?,25% লাভে ক্রয়মূল্য ও বিক্রয়মূল্যের অনুপাত কত?,01:04,04:03,05:04,04:05,01:04,04:03,05:04,04:05,d
What is the value of 42.\dot{1}\dot{8} \times 0.2\dot{8}?,42.\dot{1}\dot{8} \times 0.2\dot{8} = কত?,0.1\dot{3}\dot{2},12.1\dot{8}\dot{5},13.2\dot{5}\dot{0},11.8\dot{1}\dot{0},0.1\dot{3}\dot{2},12.1\dot{8}\dot{5},13.2\dot{5}\dot{0},11.8\dot{1}\dot{0},b
"If x + \frac{1}{x} = \sqrt{5} then-
i. x^{2} - \sqrt{5}x + 1 = 0
ii. x - \frac{1}{x} = 1
iii. x^{2} + \frac{1}{x^{2}} = 5
Which one is correct?","x + \frac{1}{x} = \sqrt{5} হলে-
 i. x^{2} - \sqrt{5}x + 1 = 0
 ii. x - \frac{1}{x} = 1
 iii. x^{2} + \frac{1}{x^{2}} = 5
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"Which one is the general term of the sequence \frac{1}{2}, \frac{2}{3}, \frac{3}{4}, .....?","\frac{1}{2}, \frac{2}{3}, \frac{3}{4}, ..... অনুক্রমটির সাধারণ পদ কোনটি?",\frac{1}{n},\frac{1}{2^{n}},\frac{1}{n + 1},\frac{n}{n + 1},\frac{1}{n},\frac{1}{2^{n}},\frac{1}{n + 1},\frac{n}{n + 1},d
"If x^{2} - 8 = 2\sqrt{15}, what is the value of x?","x^{2} - 8 = 2\sqrt{15} হলে, x = কত?",\sqrt{3} + 5,3 + \sqrt{5},\sqrt{5} + \sqrt{3},\sqrt{5} - \sqrt{3},\sqrt{3} + 5,3 + \sqrt{5},\sqrt{5} + \sqrt{3},\sqrt{5} - \sqrt{3},c
Which one is the ratio of right angled triangle?,কোনটি সমকোণী ত্রিভূজের কোণগুলোর অনুপাত?,06:13:18,01:05:09,03:05:10,07:08:15,06:13:18,01:05:09,03:05:10,07:08:15,d
