English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which is permeable membrane?,কোনটি ভেদ্য পর্দা?,Cell wall,Cell membrane,Membrance of fish potka,Cell wall made up cutin,কোষপ্রাচীর,কোষ পর্দা,মাছের পটকার পর্দা,কিউটিনযুক্ত কোষপ্রাচীর,a
What type of satellite is used to detect the position of aeroplane?,বিমানের অবস্থান সঠিকভাবে নির্ণয়ের জন্য কোন ধরনের উপগ্রহের সহায়তা নিতে হয়?,Communication satellite,Navigation satellite,Weather satellite,Military satellite,যোগাযোগ উপগ্রহ,নৌ পরিবহন উপগ্রহ,আবহাওয়া উপগ্রহ,গোয়েন্দা উপগ্রগ,b
"Applicable for florgen-
 i. replaced to leaf let
 ii. Helps to transfrom buds into flower buds
 iii. Flower is produced in plant
 Which one is correct?","ফ্লোরিজেনের ক্ষেত্রে প্রযোজ্য-
 i. পত্রফলকে স্থানান্তরিত হয় 
 ii. পত্রমুকুলকে পুষ্পমুকুলে পরিণত করে
 iii. উদ্ভিদে ফুল উৎপন্ন হয়
 নিচের কোনটি সঠিক",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
What is atomic number of silicon?,সিলিকনের পারমাণবিক সংখ্যা কত?,14,15,16,17,14,15,16,17,a
"Hind brain-
 i. retains the balance of he body
 ii. Controls movement
 iii. Preserves heat
 Which on is correct?","লঘু মস্তিষ্ক- 
 i. দেহের ভারসাম্য রক্ষা করে
 ii. চলাফেরা নিয়ন্ত্রণ করে
 iii. তাপ সংরক্ষণ করে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"In the bedroom of Esha's house, there are two tube lights and e one fan conndctied in paralled. Afuse of 10 ampere is used in the circuit of bedrood. 
 What is the appropriate fuse for the second element?","ইশার বাসার বেডরুমে দুটি টিউবলাইট ও একটি ফ্যান প্যারালালে সংযুক্ত করা হয়। বেডরুমের বর্তনীর সাথে ১০ অ্যাম্পিয়ার মানের ফিউজ ব্যবহার করা হয়। 
দ্বিতীয় উপকরণটির জন্য কার্যকরী ফিউজ কত?",5 ampere,10 ampere,15 ampere,30 ampere,৫ অ্যাম্পিয়ার,১০ অ্যাম্পিয়ার,১৫ অ্যাম্পিয়ার,৩০ অ্যাম্পিয়ার,a
"In the bedroom of Esha's house, there are two tube lights and e one fan conndctied in paralled. Afuse of 10 ampere is used in the circuit of bedrood. 
 If an eletric kettle is used in that room-
 i. the wire of the fuse will melt when the switch will be on.
 iii. tube light and fan will be damaged
 iii. there is a possibility of electic accident.
 Which one is correct?","ইশার বাসার বেডরুমে দুটি টিউবলাইট ও একটি ফ্যান প্যারালালে সংযুক্ত করা হয়। বেডরুমের বর্তনীর সাথে ১০ অ্যাম্পিয়ার মানের ফিউজ ব্যবহার করা হয়।
উক্ত বেডরুমে ইলেতট্রিত কেটিলি ব্যবহার করলে-
 i. সুচণ করলে ফিউজের তার গলে যাবে
 ii. টিউবলাইট ও ফ্যাণ নষ্ট হয়ে যাবে
 iii. বৈদ্যুতিক দূর্ঘটনা ঘটার সম্ভবনা আছে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Two objdect of 25 kg and 30 kg mass are 10m far from each other. How is the force of attraction between these two objects?,২৫ কেজি ও ৩০ কেজি ভরের দুটি বস্তু পরষ্পর হতে ১০ মিটার দূরে আছে। এদের মধ্যবর্তী ক্রিয়াশীল আকর্ষণ বলের মান কত?,0.55G Newton,5.50 G Newtion,7.50G Newton,75.00 G Newton,০.৫৫ G নিউটন,৫.৫০ G নিউটন,৭.৫০ G নিউটন,৭৫.০০ G নিউটন,c
Which is the second level consumer in the Sundarbans?,সুন্দরবনের দ্বিতীয় স্তরের খাদক কোনটি?,"Monkey, Crain","Deer, Hen","Tiger, Crocodile","Inseect, Bird","বানর, সারস","হরিণ, মুরগি","বাঘ, কুমির","পোকামাকড়, পাখি",a
Which of the following flowers is large in size and has attractive colour?,কোন ফুল আকারে বড় এবং আকর্ষণী রংয়ের হয়?,Paddy,China rose,Shimul,Mustard,ধান,জবা,শিমুল,সরিষা,c
Where the value of 'g' is maximum?,কোথায় G এর মান বেশি?,At polar region,At the eqator,At the equinotical point,At the center of the earth,মেরু অঞ্চলে,বিষুবীয় অঞ্চলে,ক্রাস্তীয় অঞ্চলে,পৃথিবীর কেন্দ্রে,a
The animal of which phylum has haemocoel?,কোন পর্বের প্রাণীর হিমোসিল থাকে?,Nematoda,Annelida,Artropoda,Mollusca,নেমাটোডা,অ্যানেলিডা,আথ্রোপোডা,মলাস্কা,c
How many electrons are in the last orbit of phosphorus?,ফসফরাসের সর্ব শেষ শক্তিস্তরে কয়টি ইলেকট্রন থাকে,4,5,6,7,4,5,6,7,b
"The symptom of goiter is-
 i. voice becomes sharp 
 ii. Face trouble in swallowing of food
 iii. The gland presnet in throat becomes big
 Which one is correct?","গলগন্ড রোগের লক্ষণ- 
 i. গলার আওয়াজ তীক্ষ্ণ হয়
 ii. খাবার গিলতে অসুবিধা হয়
 iii. গলায় অবস্থিত গ্রন্থি বড় হতে থাকে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
In which stageof cell division nucleolus almost disappears?,কোষ বিভাজনের কোন ধাপে নিউক্লিওলাস প্রায় বিলুপ্ত হয়?,Prophase,Pro-metaphase,Metaphase,Anapase,প্রোফেজ,প্রো-মেটাফেজ,মেটাফেজ,অ্যানাফেজ,b
"X' is a physiological process of a plant which is occurred by stomata.
 Which one is occurred by mentioned process?"," উদ্ভিদের একটি শারীরবৃত্তীয় প্রক্রিয়া 'X' যা সম্পন্ন হয় পত্র রন্ধের মাধ্যমে। 
 উল্লেখিত প্রক্রিয়ার মাধ্যমে কোনটি ঘটে?",Water absorption,Salt absorption,Ion absorption,Loss of water,পাণি শোষণ,লবণ শোষণ,আয়ন শোষণ,পানি নির্গমন,d
"X' is a physiological process of a plant which is occurred by stomata.
 The pore of above stem is made of-
 i. upper epidermal cell 
 ii. Guard cell
 iii. Synergid cell
 Which one is correct?","উদ্ভিদের একটি শারীরবৃত্তীয় প্রক্রিয়া 'X' যা সম্পন্ন হয় পত্র রন্ধের মাধ্যমে।
উদ্দীপকের রন্ধ্রটি গঠিত হয়- 
 i. বহিঃত্বকীয় কোষ দ্বারা 
 ii. রক্ষীকোষ দ্বারা 
 iii. সহকারী কোষ দ্বারা
 নিচের কোনটি সঠিক",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one is base?,কোনটি ক্ষারক?,NaOH,NH_{4}OH,Ca(OH)_{2},AI(OH)_{3},NaOH,NH_{4}OH,Ca(OH)_{2},AI(OH)_{3},d
Which one is the characteristic of hen?,মুরগির বৈশিষ্ট্য কোনটি?,Cold bloded animal,Cartilaginous skeleton,Skin with glands,It has beak,শীতল রক্তের প্রাণী,কঙ্কাল তরুণাস্থিময়,ত্বক গ্রন্থিযুক্ত,চক্ষু থাকে,d
Which one is a pure food?,কোনটি বিশুদ্ধ খাদ্য?,Sugar,Milk,Egg,Chira,চিনি,দুধ,ডিম,চিড়া,a
What is the valency of phosphate?,ফসফেটের যোজনী কত?,1,2,3,4,1,2,3,4,c
In which process the smell of Jasmine is spreaded out?,বেলি ফুলের গন্ধ ছড়িয়ে পড়ে কোন প্রক্রিয়ায়?,Diffusion,Osmosis,Transpiration,Imbibition,ব্যাপন,অভিস্রবণ,প্রস্বেদন,ইমবাইবিশন,a
The weight of a body on moon is 20 Newton. What is the weight of that body on earth,চাঁদে একটি বস্তুর ওজন ২০ নিউটন। পৃথিবীতে এর ওজন কত?,3.33 Newton,2.04 Newton,120 Newton,196 Newton,৩.৩৩ নিউটন,২.০৪ নিউটন,১২০ নিউটন,১৯৬ নিউটন,c
Which one does not change th colour of litmus paper?,কোনটি লিটমাসের বর্ণ পরির্বতন করে না?,HCI,NaCI,NH_{3},Ca(OH)_{2},HCI,NaCI,NH_{3},Ca(OH)_{2},b
Which part of the brain controls the respiration?,মস্তিষ্কের কোন অংশ শ্বসন নিয়ন্ত্রণ করে?,Cerebellum,Cerebrum,Pons,Medulla,সেরিবেলাম,সেরিব্রাম,পনস,মেডুলা,d
"In case of pumpkin flower-
 i. it is big in size 
 ii. It's pollen grains is sticky
 iii. It is scented petals with nectars 
 Which one is correct?","কুমড়া ফুল- 
 i. আকৃতিতে বড় 
 ii. এর পরাগরেণু আঁঠাযুক্ত 
 iii. মধুগ্রন্থিযুক্ত
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one is the growth retarding agents hormone?,বৃদ্ধি প্রতিবন্ধক হরমোন কোনটি?,Auxin,Gibberellin,Ethylene,Cytokinin,অক্সিন,জিব্বেরেলিন,ইথিলিন,সাইটোকইনিন,c
What is the atomic number of carbon?,কার্বনের পারমাণবিক সংখ্যা কত?,6,7,8,9,6,7,8,9,a
In which part of a plant meiosis cell division takes place?,উদ্ভিদের কোথায় মিয়োসিস কোষ বিভাজন ঘটে?,In stem,In buds,In viz,In stamen,কান্ডে,মুকুলে,ভ্রুণে,পরাগধনীতে,d
3 ampere electric current is passing through the 5 Ohm resistance. What is the potential difference?,৫ ওহম রোধের মধ্য দিয়ে ৩ অ্যাম্পিয়ার তড়িৎ প্রবাহিত হলে বিভব পার্থক্য কত?,0.6 volt,1.6 volt,8 volt,15 volt,০.৬ ভোল্ট,৬ ভোল্ট,৮ ভোল্ট,১৫ ভোল্ট,d
What is the valency of ammonium in (NH4)_{2} SO_{4}?,(NH_{4})_{2}2SO_{4} যৌগে অ্যামোনিয়ামের যোজনী কত?,1,2,3,4,1,2,3,4,a
What is the organic element of ecosystem?,বাস্তুতন্ত্রের জৈব উপাদান কোনটি?,soil,water,wind,dead orgnism,মাটি,পানি,বায়ু,মৃত জীব,d
"(1) Ca+ O_{2}\rightarrow Y' 
 (2) Y+CH_{3}COOH \rightarrow Z+ H_{2}O
 What type of reaction the no (1) reaction is?","নিচের বিক্রিয়া দুটির আলোকে ২৬ ও ২৭ নং প্রশ্নের উত্তর দাও: 
 (1) Ca+O_{2} \rightarrow  Y
 (2) Y + CH_{3}COOH \geq  Z+ H_{2}O 
 (1) নং বিক্রিয়াটি কোন ধরনের?",Combustion,Decomposition,Addition,Substitution,দহন,বিয়োজন,সংযোজন,প্রতিস্থাপন,a
"(1) Ca+ O_{2}\rightarrow Y' 
 (2) Y+CH_{3}COOH \rightarrow Z+ H_{2}O
 Z compound-
 i. is a neutral substance
 ii. Does not change the colour of litmus paper 
 iii. Produces in stomach 
 Which one is correct?","Z যৌগটি- 
 i. নিরপেক্ষ পদার্থ
 ii. লিটমাসের বর্ণ অপরিবর্তিত রাখে
 iii. পাকস্থলীতে উৎপন্ন হয়
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which planet has maximum satellites?,কোন গ্রহের সবচেয়ে বেশি উপগ্রহ আছে?,Saturn,Jupiter,Uranus,Neptune,শনি,বৃহস্পতি,ইউরেনাস,নেপচুন,b
Which one is the most essential elements in fertilizer factory?,সার কারখানায় অতি প্রয়োজনীয় এসিড কোনটি?,H_{2}SO_{4},HNO_{3},HCI,HCIO_{4},H_{2}SO_{4},HNO_{3},HCI,HCIO_{4},a
Which is aggregate fruit?,কোনটি গুচ্ছ ফল?,Akando,Jack fruit,Balck Barry,Banana,আকন্দ,কাঁঠাল,জাম,কলা,a
Which is electrolyte material,কোনটি তড়িৎ বিশ্লেষ্য পদার্থ?,Sugar,Oil,Salt,`Glucose,চিনি,তেল,লবণ,গ্লুকোজ,c
A bulb of 100 volt is connected to an electric circuit of 5 ampere. What is the resistance of the circuit?,১০০ ভোল্টের একটি বাল্ব ৫ অ্যাম্পিয়ার তড়িৎপ্রবাহের বর্তনীতে সংযুক্ত করা হলো। বর্তনীর রোধ কত?,0.05 Ohm,20 Ohm,105 Ohm,500 Ohm,০.০৫ ও’ম,২০ ও’ম,১০৫ ও’ম,৫০০ ও’ম,b
Which is permeable membrane?,কোনটি ভেদ্য পর্দা?,Cell membrane,Cell wall,Membrance of fish potka,Membrance inside the egg shell,কোষ পর্দা,কোষপ্রাচীর,মাছের পটকার পর্দা,ডিমের খোসার পর্দা,b
From which disease is there a higher possibility of thick lips and mental retardation?,কোন রোগে ঠোঁট পুরু ও মানসিক প্রতিবন্ধী হওয়ার সম্ভাবনা বেশি থাকে?,Rickets,Goiter,Anemia,Cretinism,রিকেটস,গলগন্ড,অ্যানিমিয়অ,ক্রোটিনিজম,d
By which does the reproduction of sweet potato occer?,কোনটি দ্বারা মিষ্টি আলুর প্রজনন ঘটে?,Spore,Stem,Leaf,Root,অণুবীজ,কান্ড,পাতা,মূল,d
Of which element is Tritium an isotope?,ট্রিটিয়াম কোন মৌলের আইসোটোপ?,Hydrogen,Oxygen,Silicon,Carbon,হাইড্রোজেন,অক্সিজেন,সিলিকন,কার্বন,a
Which harmful substance does kidney sepatre from blood?,মানবদেহের ছাঁকনি যন্ত্রটি কোন বর্জ্য পদার্থ রক্ত থেকে পৃথক করে?,Carbon dioxide,Carbon monooxide,Urea,Sweat,কার্বন ডাই- অক্সাইড,কার্বন মনোক্সাইড,ইউরিয়া,ঘাম,c
What is the unit of current?,তড়িৎ প্রবাহের একক ক?,Ohm,Ampere,Coulomb,Volt,ও’ম,অ্যম্পিয়ার,কুলম্ব,ভোল্ট,b
How many atoms are there in amolecule of calcium sulphate?,ক্যালসিয়াম সাল ফেটের অণুতে কয়টি পরমাণু আছে?,1,2,3,6,1,2,3,6,d
Which flower dose not have coloured petals and sticky stigmas?,কোন ফুল বর্ণহীন এবং পরাগরেনু হালকা?,Mustard,Shimul,Aram,Paddy,সরিষা,শিমুল,কচু,ধান,d
"Read the following Passage and answer to the question no. 16 and 17: 
 A science teacher was discussing about cell division the class. He said that though there are four chromosomes at initial stage of cell division at the last stage there are two chromosomes. 
 As per the stem where does the cell divison occur?","বিজ্ঞান শিক্ষক শ্রেণিতে একটি কোষ বিভাজন নিয়ে আলোচনা করছিলেন। তিনি এ সময় বললেন, এতে প্রথম পর্যায়ে প্রতিটি কোষে চারটি ক্রোমোজোম থাকলেও শেষ ধাপে এস দুটি ক্রোমোজোমে পরিণত হয়। 
 উদ্দীপকের কোষ বিভাজনটি কোথায় সংঘটিত হয়?",Inside the stamen,Apex of root,Buds,In the stem,উদ্ভিদের পরাগধনীতে,মূলের অগ্রভাগে,মুকুলে,কান্ডে,a
"After the mentiond cell disision the cells will be-
 i. gamete 
 ii. Diploid 
 iii. Haploid","বিজ্ঞান শিক্ষক শ্রেণিতে একটি কোষ বিভাজন নিয়ে আলোচনা করছিলেন। তিনি এ সময় বললেন, এতে প্রথম পর্যায়ে প্রতিটি কোষে চারটি ক্রোমোজোম থাকলেও শেষ ধাপে এস দুটি ক্রোমোজোমে পরিণত হয়। 
উল্লেখিত বিভাজনটি সংঘটনের পর কোষগুলো হবে-
 i. জননকোষ 
 ii. ডিপ্লয়েড 
 iii. হ্যাপ্লয়েড",i & ii,i & iii,ii & iii,"I, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which part of human eyes is translucent?,মানচক্ষুর আলোকগ্রাহী অংশ কোনটি?,Retina,Pupil,Irish,Sclera,রেটিনা,তারারন্ধ্র,আইরিশ,শ্বেতমন্ডল,a
Which planet of the solar system has the third highest number of satellites?,সৌরজগতের তৃতীয় সর্বোচ্চ উপগ্রহ রয়েছে কোন গ্রহের?,Satum,Neptune,Jupiter,Urenus,শনি,নেপচুন,বৃহস্পতি,ইউরেনাস,d
Which of the following has citric acid?,কোনটিতে সাইট্রিক এসিড রয়েছে?,Orange,Tamarind,Tomato,Apple,কমলা,তেতুঁল,টমেটো,আপেল,a
Which one of the following helps to overcome dormancy of seeds?,কোনটি বীজের সুপ্তাবস্থা কাটাতে সাহায্য করে?,Auxin,Florigen,Ethylene,Gibberellin,অক্সিজেন,ফ্লোরিজেন,ইথিলিন,জিব্বেরেলিন,d
Which protein has easily quotient I?,কোন আমিষের সহজ পাচ্যতার গুণক ১?,Fish,Meat,Pulse,Egg,মাছ,মাংস,ডাল,ডিম,d
Which is the main element of producing soap?,কোনটি সাবান তৈরির মূল উপাদান,AI(OH)_{3},Ca(OH)_{2},NaOH,NH_{4}OH,A1(OH)_{3},Ca(OH)_{2},NaOH,NH_{4}OH,c
"If the distance between two objects is increased four times, how would the attraction force between them be?","দুটি বস্তুর মধ্যবর্তী দূরত্ব চারগুণ করা হলে এদের মধ্যবর্তী আকর্ষণ বল কত হবে? 
 .",\frac{1}{4},\frac{1}{16},4 times,16 times,\frac{১}{৪},\frac{১}{১৬},৪ গুন,১৬ গুন,b
Where is the weight of an object the highest?,বস্তুর ওজন কোথায় সবচেয়ে বেশি হয়?,At the centre of the earth,At the polar region,At the equator,At the surface of the earth,পৃথিবীর কেন্দ্রে,মেরু অঞ্চলে,বিষুব অঞ্চলে,ভূ-পৃষ্ঠে,b
"NaOH+A\rightarrow Na_{2}SO_{4}+H_{2}O
 How many atoms are there in first reactant compound of the reaction?","NaOH+A\rightarrow Na_{2}SO_{4}+H_{2}O
 বিক্রিয়ক প্রথম যৌগের পরমাণু সংখ্যা কয়টি?",1,2,3,4,১টি,২টি,৩টি,৪টি,c
"NaOH+A\rightarrow Na_{2}SO_{4}+H_{2}O
 The compound 'A' is used - 
 i. to digest food 
 ii. In fertilizer industry 
 iii. In producing rayon 
 Which one is correct?","NaOH+A\rightarrow Na_{2}SO_{4}+H_{2}O‍
A যৌগটি ব্যবহৃত হয়- 
 i. খাদ্যদ্রব্য হজম করতে
 ii. সার কারখানায়
 iii. রেয়ন তৈরিতে 
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which is the tertiary consumer in the ecosystem of pond?,পুকুরের বাস্তুসংসস্থানে কোনটি তৃতীয় স্তরের খাদক?,Frog,Tortoise,Mussels,Small fish,ব্যাঙ,কচ্ছপ,ঝিনুক,ছোট মাছ,b
Which is appropriate to remove acidity in the stomach?,পাকস্থলীর এসিডিটি নিরাময়ে কোনটি উপযোগী?,Calcium Hydroxide,Acetic Acid,Aluminium Hydroxide,Ammonium Hydroxide,ক্যালসিয়াম,এসিটিক এসিড,অ্যলুমিনিয়াম হাইড্রোক্সাইড,অ্যামোনিয়াম হাইড্রোক্সাইড,c
The skin of which animal is dry?,কোন প্রাণীটির ত্বক শুষ্ক?,Hilsha,Shark,Snake,Toad,ইলিশ,হাঙ্গর,সাপ,কুনোব্যাঙ,c
Which of the following is called cold blooded animal?,নিচের কোটি শীতল রক্ত বিশিষ্ট্য প্রাণী?,Toad,Hilsa fish,Wall lizard,Crocodile,কুনোব্যাঙ,ইলিশ মাছ,টিকটিকি,কুমির,a
Which of the following occurs meisosis cell division?,নিচের কোনটিতে মিয়োসিস কোষ বিভাজন ঘটে?,Ffloral axis,Apex of root,Buds,stamen,ভ্রুণ মুকুল,মূলের অগ্রভাগ,মুকুল,পরাগধানী,d
"Ethylene in plants-
 i. act as prevent growth 
 ii. Produce flower 
 iii. Brake the sleepood of buds
 Which one is correct?","উদ্ভিদের ইথিলিন-
 i. বৃদ্ধি প্রতিবন্ধক হিসেবে কাজ করে
 ii. ফুল উৎপন্ন করে
 iii. মুকুলের সুপ্তাবস্থা ভঙ্গ করে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which of the following plants occour cross pollination?,পর পরাগায়ন নিচের কোন উদ্ভিদটিতে ঘটে?,Mustard,Pumkin,Dutura,Shimul,সরিষা,কুমড়া,ধুতুরা,শিমুল,d
Which of the followings is fleshy fruits?,নিচের কোনটি রসালো ফল?,Custard apple,Banana,Pineapple,Jackfruit,আতা,কলা,আনারস,কাঁঠাল,b
Which of the following is called the stalk of the brain?,নিচের কোনটিকে মস্তিষ্কের বোটা বলা হয়?,pons,cerebellum,medulla,thalamus,পনস,সেরিবেলাম,মেডুলা,থ্যালামাস,c
How many proton is an oxygen atom?,অক্সিজেন পরমাণুতে কতটি প্রোটিন থাকে?,Two,Eight,Sixteen,Thirty two,দুই,আট,ষোল,বত্রিশ,b
How many electrons can stay in 4th orbit of an atom?,কোনো মৌলের চতুর্থ শক্তি স্তরে সর্বোাচ্চ কতটি ইলেকট্রন থাকতে পারে,8,18,32,50,8,18,32,50,c
A body of mass is 30 kg in Dhaka. How much weight in Newton of the body?,৩০ কেজি ভরের কোন বস্তুর ওজন ঢাকাতে কত নিউটন হবে?,48.9,293.4,294,294.9,48.9,293.4,294,294.4,c
Which is the formula of quicklime?,কুইক লাইমের সংকেত কোনটি?,Mg(OH)_{2},AI(OH)_{3},Ca(OH)_{2},KOH,Mg(OH)_{2},AI(OH)_{2},Ca(OH)_{2},KOH,c
Which of the following is the characteristics of Fuses?,নিচের কোনটি ফিউজের বৈশিষ্ট্য?,Made of alliy,The wire is thick,High melted,Never get hot,সংকর ধাতুর তৈরি,তারটি মোটা হয়,উচ্চ গলনাংকবিশিষ্ট,কখনও উত্তপ্ত হয় না,a
Which is most essentia acid ina fertilizer factory?,সার কারখানায় অতি প্রয়োজনীয় এসিড কোনটি?,HCI,H_{2}SO_{4},HNO_{3},H_{3}PO_{4},HCI,H_{2}SO_{4},HNO_{3},H_{3}PO_{4},b
Which palet has 67 Satellites?,নিচের কোন গ্রহের বাষট্টিটি উপগ্রহ আছে?,Jupiter,Saturn,Uranus,Neptune,বৃহষ্পতি,শনি,ইউরেনাস,নেপচুন,b
Which is the function of the earth observation satellite?,পৃথিবীর পর্যবেক্ষণকারী উপগ্রহের কাজ কোনটি?,Locate the exact positions of Biman on the sky,Observe the possible leakage of oil from ships in the sea,Observe the space where the cloud is formed,Support to relay the radio signal,আকাশে বিমানের অবস্থা জানা,সমুদ্রে জাহাজের জন্য তেল চুইয়ে পড়া পর্যবেক্ষণ,মেঘ সৃষ্টি হওয়ার স্থান পর্যবেক্ষণ,তোর সংকেত প্রেরণে সহায়তা করা,b
"Joni a student of class two, does not see clearly at the time being sunset. 
 Which group of food of the following is needed for Joni?",দ্বিতীয় শ্রেণির ছাত্র জনি সূযাস্তের পর ঠিকভাবে দেখতে পায় না। জনির নিচের কোন জাতীয় খাদ্য গুচ্ছ খাওয়া প্রয়োজন?,"Edible oil, Cabbage","Fish liver oil, Palong Shak","Egg yolk, Cauliflower","Soybean oil, Lettuce","ভোজ্য তেল, বাঁধাকপি","মাছের তেল, পালং শাক","ডিমের কুসুম, ফুলকপি","সয়াবিন তেল, লেটুস পাতা",b
How many percent of current wiil be save when it is used pressure cooker for cook?,প্রেসার কুকারে রান্না করলে শতকরা কত ভাগ বিদ্যুৎ সাশ্রয় হয়?,10,15,20,25,10,15,20,25,d
Which of the following is honey glandless flower?,নিচের কোনটি মধুগ্রন্থিহীন ফূল?,Kadom,Paddy,Arum,Shimul,কদম,ধান,কচু,শিমুল,b
What is the mass number of second isotope of Carbon?,কার্বনের দ্বিতীয় আইসোটোপের ভরসংখ্যা কত?,7,8,12,13,7,8,12,13,d
Which of the folloving is non-electrolyte?,নিচের কোনটি তড়িৎ অবিশ্লেষ্য পদার্থ?,Sugar,Table salt,Tunte,Citric Acid,চিনি,খাদ্য লবণ,তুঁতে,সাইট্রিক এসিড,a
How much kilo calories of energy is produced from 25 grams of carbohydrate and 25 grams of carbohydrate and 25 grams of protein?,২৫ গ্রাম শর্করা ও ২৫ গ্রাম আমিষ থেকে মোট কত কিলোক্যালরি শক্তি উৎপন্ন হয়?,450,325,200,50,৪৫০ কিলোক্যালরি,৩২৫কিলোক্যালরি,২০০ কিলোক্যালরি,৫০ কিলোক্যালরি,c
Which substance is Coloidal?,কলয়েডধর্মী পদার্থ কোনটি?,Polythene,Gelatine,Cutine,Vaseline,পলিথিন,জিলেটিন,কিউটিন,ভেসলিন,b
Which one contain the correct eye shape?,চোখের আকৃতি ঠিক রাখে কোনটি?,Seler,Cornea,Eye-ball,Iris,শ্বেতমন্ডল,কার্ণিয়া,অক্ষিগোলক,আইরিশ,a
Where produce the florigen hormone?,ফ্লোরিজেন নামক হরমোন কোথায় উৎপন্ন হয়?,In the root,In the stem,In the leaf,In the flower,মূলে,কান্ডে,পাতায়,ফুলে,c
Which vitamin found in foodgrains?,শস্যদানায় কোন ভিটামিন পাওয়া যায়?,K,D,E,C,কে,বি,ই,সি,c
Which on is stolon?,কোনটি স্টোলন?,Ginger,Garlic,Potato,Pudina,আদা,রসুন,আলু,পুদিনা,d
Which is the lower parts of the main part of human brain?,মানব মস্তিষ্কের প্রধান অংশের নিচের অংশগুলো কী কী?,Thalamus and pons,Medulla and pons,Thalamus and Hypothalamus,Hypothalamus and Medulla,থ্যালামাস ও পনস,মেডুলা ও পনস,থ্যালামাস ও হাইপোথ্যালস,হাইপোথ্যালামাস ও মেডুলা,c
Which animal's body bears flame cell?,কোন প্রাণীর দেহে শিখা অঙ্গ থাকে?,Crab,Earthworm,Roundworm,Tapeworm,কাঁকড়া,কেঁচো,গোলকৃমি,ফিতাকৃমি,d
Which of the follwing is related with the process of osmosis?,নিচের কোনটি অভ্রিস্রবণ প্রক্রিয়ার সাথে সম্পর্কিত?,Xylem tissue,Phloem tissue,Downward transportation,Reversible transportaton,জাইলেম টিস্যু,ফ্লোয়েম টিস্যু,নিম্নমুখী পরিবহন,উভমুখী পরিবহন,a
In which stage the daughter chromosome reached their opposite poles?,অপত্য ক্রোমোজোমগুলো বিপরীত মেরুতে আসে কোন ধাপে?,Pro-metaphase,Metaphase,Anaphase,Telophase,প্রো-মেটাফেজ,মেটাফেজ,অ্যানাফেজ,টেলোফেজ,d
"In the mentioned process-
 i. plants release body water through transpiration 
 ii. Plants absorb carbon dioxide for photosynthesis
 iii. Carrying Oxygen from lymph to cell 
 Which one is correct?","মিতু বেকারীর পাশ দেয় স্কুলে যাওয়ার সময় লক্ষ করল বেকারীর তৈরি বিস্কুটের সুবাসে চারপাশ ভরে গেছে। উক্ত কার্যক্রমের সাথে মিতু তার পাঠ্যবিইয়ের একটি বিশেষ প্রক্রিয়অর মিল পেল।
উল্লিখিত প্রক্রিয়ার-
 i. উদ্ভিদ দেহ থেকে প্রস্বেদনের মাধ্যমে পানি নিষ্কাশন করে
 ii. উদ্ভিদ সালোকসংশ্লেষণের জন্য কার্বন ডাইঅক্সাইড গ্রহণ করে
 iii. লাসিকা থেকে কোষ অক্সিজেন পরিবহন করে
 নিচের কোনটি সঠিক",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which prevents inhibiting the process of abscission of fruits?,ফলের অকালে ঝরে পড়া রোধ হয় নিচের কোনটির প্রভাবে?,Ethylene,Cytokinin,Auxin,Gibberellin,ইথিলিন,সাইটোকাইনিন,অক্সিন,জিব্বেরেলিন,c
How much weight of a 1kg mass object at the eqinoctial point?,ক্রান্তীয় অঞ্চলে ১ কেজি ভরের বস্তুর ওজন কত?,9.78 N,9.79 N,9.80 N,9.83 N,৯.৭৮ নিউটন,৯.৭৯ নিউটন,৯.৮০ নিউটন,৯.৮৩ নিউটন,b
