On which group of periodic table does Cu element stand?,কপার মৌলটি পর্যায় সারণির কোন গ্রুপে অবস্থিত?,10,11,12,13,10,11,12,13,b
"Vinegar-
i.destroy the bacteria
ii.it can form hydrogen bond
iii.strong acid
Which one is correct?","ভিনেগার-
 i. ব্যাকটেরিয়া ধ্বংস করে
 ii. হাইড্রোজেন বন্ধন গঠন করে
 iii. তীব্র অম্ল
 নিচের কোনটি সঠিক?",i,iii,i&ii,"I,ii&iii",i,iii,i ও ii,"i, ii ও iii",c
What percentage of vinegar in ethanoic acid?,ভিনেগারের মধ্যে ইথানয়িক এসিডের পরিমাণ কত?,1-2%,2-4%,4-6%,6-10%,1-2%,2-4%,4-6%,6-10%,d
For which one Bohr model is applicable?,কোনটির জন্য বোর মডেল প্রযোজ্য?,H^{+},H,He,Li^{+},H^{+},H,He,Li^{+},b
Which set is the value of m for 3d orbital?,3d অরবিটালের জন্য m এর মান কোন সেট হবে?,0,"- 1, 0, + 1","- 2, - 1, 0, + 1, + 2","- 3, - 2, - 1, 0, + 1, + 2, + 3",0,"- 1, 0, + 1","- 2, - 1, 0, + 1, + 2","- 3, - 2, - 1, 0, + 1, + 2, + 3",c
What is the angular momentum of last electron of Boron?,বোরনের শেষ ইলেকট্রনের কৌণিক ভরবেগ কত?,\frac{h}{2\pi},\frac{2h}{\pi},\frac{n}{2\pi},\frac{h}{\pi},\frac{h}{2\pi},\frac{2h}{\pi},\frac{n}{2\pi},\frac{h}{\pi},d
"For p Subshell-
i. l=1
ii. m=-1,0,+1
iii. orbital number 2
Which one is correct?","p-উপস্তরের জন্য-
 i. l=1
 ii.m=-1, 0, +1
 iii. অরবিটাল সংখ্যা 2
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
"NH_{4}OH+aq\rightarrow [A]+OH^{-}
Applicable information for'A' of the stem-
i.it gives brown precipitate
ii.with Nesslar's solution shape is tetrahedral
iii.it contains ionic,covalent and co-ordinate bonds
Which one is correct?","NH_{4}OH + aq \rightarrow [A] + OH^{-}
 
 উদ্দীপকের ’A’ এর জন্য প্রযোজ্য তথ্য হলো-
 i. নেসলার দ্রবণের সাথে বাদামী অধঃক্ষেপ দেয়
 ii. এর আকৃতি চতুস্তলকীয়
 iii. এর মধ্যে সমযোজী, সন্নিবেশ ও আয়নিক বন্ধন বিদ্যমান
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"I,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"NH_{4}OH+aq\rightarrow [A]+OH^{-}
The concentration of OH^{-} is 0.02 M in the stem, what will be the pH?","NH_{4}OH + aq \rightarrow [A] + OH^{-}
 
 উদ্দীপকে OH^{-} আয়নের গাঢ়ত্ব 0.02M হলে এর pH কত হবে?",12.6,12.3,1.7,1.4,12.6,12.3,1.7,1.4,b
Which one has the highest first ionisation potential?,কোনটিির প্রথম আয়নিকরণ বিভব অধিক?,NO,C,B,O,N,C,B,O,a
The bonding in Cl_{2} molecule is-,Cl_{2} অণুর মধ্যে বন্ধন হবে-,Ionic,"Non-ploar 
convalent",Polar-Covalent,Co-ordination,আয়নিক,অপোলার সমযোজী,পোলার সমযোজী,সন্নিবেশ,b
What type of hybridization occurs in 'Xe' of XeF_{2}?,XeF_{2} যৌগে Xe এর কোন ধরনের সংকরণ ঘটে?,SP,SP^{2}d,SP^{3}d^{2},SP^{3}d,sp,sp^{2}d,sp^{3}d^{2},sp^{3}d,d
Which  one is liquid at room temprature?,কক্ষ তাপমাত্রায় কোনটি তরল?,F_{2},Cl_{2},Br_{2},l_{2},F_{2},Cl_{2},Br_{2},I_{2},c
"Due to the presence of hydrogen bond-
i.H_{2}O is liquid
ii.ethanol is solube in water
iii.ethanoic acid forms dimer
Which one is correct?","হাইড্রোজেন বন্ধন উপস্থিতির কারণে-
 i. H_{2}O তরল
 ii. ইথানল পানিতে দ্রবীভূত হয়
 iii. ইথানয়িক এসিড ডাইমার গঠন করে
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Degree of dissociation of weak acid-,দুর্বল অম্লের বিয়োজন মাত্রা-,\sqrt{\frac{K_{b}}{C}},\sqrt{\frac{C}{K_{b}}},\sqrt{\frac{K_{a}}{C}},\sqrt{K_{a} C},\sqrt{\frac{K_{b}}{C}},\sqrt{\frac{C}{K_{b}}},\sqrt{\frac{K_{a}}{C}},\sqrt{K_{a} C},c
Which is the applicable for d-orbital in the outer most energy level?,সর্ববহিঃস্তরের d-অরবিটালের জন্য প্রযোজ্য কোনটি?,"n = 1, l = 0","n = 2, l = 1","n = 3, l = 2","n = 4, l = 3","n = 1, l = 0","n = 2, l = 1","n = 3, l = 2","n = 4, l = 3",c
"Intramolecular hydrogen bonding forms-
i.orthonitrophenol
ii.orthonitrotoluene
iii.orthohydroxybenzaldehyde
Which one is correct?","আন্তঃআণবিক হাইড্রোজেন বন্ধন গঠন করে-
 i. অর্থোনাইট্রোফেনল
 ii. অর্থোনাইট্রোটলুইন
 iii. অর্থোহাইড্রক্সি বেনজালডিহাইড
 নিচের কোনটি সঠিক",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which compound of the below contains π(pi)bond?,নিচের কোন যৌগে \pi (পাই) বন্ধন আছে?,CO_{2},PH_{3},PCI_{5},HF,CO_{2},PH_{3},PCl_{5},HF,a
Which is the correct order of the strength of base?,কোনটি ক্ষারকের তীর্ব্রতার সঠিক ক্রম?,"LiOH<NaOH<KOH
<CsOH","NaOH<LiOH<KOH<
CsOH","KOH<CsOH<LiOH<
NaOH","LiOH<KOH<CsOH<
NaOH",LiOH<NaOH<KOH<CsOH,NaOH<LiOH<KOH<CsOH,KOH<CsOH<LiOH<NaOH,LiOH<KOH<CsOH<NaOH,a
Which of the following reaction will have Kp=Kc?,নিম্নের কোন বিক্রিয়ার ক্ষেত্রে K_{p} = K_{c} হবে?,A+B\rightleftharpoons 2L+M,2A+B\rightleftharpoons L+2M,2A+B\rightleftharpoons L+M,A+B\rightleftharpoons 2L+2M,A+B\rightleftharpoons 2L+M,2A+B\rightleftharpoons L+2M,2A+B\rightleftharpoons L+M,A+B\rightleftharpoons 2L+2M,b
Which one contains more polarization  of the below?,নিচের কোনটিতে পোলারায়ন অধিক?,NaCI,CaCI_{2},AICI_{3},FeCI_{3},NaCl,CaCl_{2},AlCl_{3},FeCl_{3},c
What is the ratio of sigma and pi bond in C2H2 molecule?,C_{2}H_{2} অণুতে সিগমা ও পাই বন্ধনের অনুপাত কত?,01:02,03:01,03:02,04:03,01:02,03:01,03:02,04:03,c
"If the solubility of A_{3}B_{2} is S mol L^{-1}, What is the K_{sp} of it?",A_{3}B_{2} এর দ্রাব্যতা S molL^{-1} হলে K_{sp} কত?,8S^{3},16S^{4},27S^{3},108S^{5},8S^{3},16S^{4},27S^{3},108S^{5},d
"""Which is the hybridization of NH_{4}^{+} ion?",NH_{4}^{+} আয়নের সংকরণ কোনটি?,dsp^{2},sp^{3},sp^{2},sp,dsp^{2},sp^{3},sp^{2},sp,b
"Which one of the following molecule consists highest Vander Waals
attraction force?",নিম্নের কোনটির ক্ষেত্রে ভ্যান্ডার ওয়ালস আকর্ষণ বল সবচেয়ে বেশি?,F_{2},CI_{2},Br_{2},I_{2},F_{2},Cl_{2},Br_{2},I_{2},d
Which of the followin is applicable for Hund's principle?,নিম্নের কোনটিির ক্ষেত্রে হুন্ডের নীতি প্রযোজ্য?,Na,He,O,Be,Na,He,O,Be,c
Which of the following forms giant molecule?,নিম্নের কোনটি বৃহদাকার অণু গঠন করে?,HI,HBr,HCI,HF,HI,HBr,HC1,HF,d
"Barium carbide+HCI\rightarrow A+B(g),applicable for the B; it consists-
i.sp hybridization
ii.Hydrogen bond
iii.S-block element
Which one is correct?","বেরিয়াম কার্বাইড +HCl\rightarrow A+B(g); এখানে B এর ক্ষেত্রে প্রযোজ্য, এতে বিদ্যমান-
 i. sp সংকরণ
 ii. হাইড্রোজেন বন্ধন
 iii. S ব্লক মৌল",i,i&iii,ii&iii,"i.ii,&iii",i,i ও iii,ii ও iii,"i, ii ও iii",b
"In preparation of quick vinegar,which one is used to increase bacteria?",কুই ভিনেগার প্রস্তুতিতে কোনটি ব্যাকটেরিয়া বৃদ্ধিতে সহায়ক হিসেবে ব্যবহৃত হয়?,NH_{4}NO_{3},(NH_{4})_{2}SO_{4},(NH_{4})_{2}CO_{3},NH_{4}CI,NH_{4}NO_{3},(NH_{4})_{2}SO_{4},(NH_{4})_{2}CO_{3},NH_{4}Cl,b
"In which block ,the chalcogen element is included?",চাালকোজেন মৌল কোন ব্লকের অন্তর্ভুক্ত?,F,d,p,s,f,d,p,s,c
How maximum number of electrons is in an orbital?,একটি অরবিটালে সর্বাধিক কয়টি ইলেকট্রন থাকে?,2,6,10,14,2,6,10,14,d
Which is the unit of ionic product(K_{w}) of water?,পানির আয়নিক গুণফল (K_{w}) এর একক কোনটি?,mol L^{-1},mol^{2} L^{-2},mol^{-2} L^{2},mol^{2} L^{2},mol L^{-1},mol^{2}L^{-2},mol^{-2}L^{2},mol^{2}L^{2},b
Which enzyme converts glucose and fructose tp ethanol?,কোন এনজাইমের প্রভাবে গ্লুকোজ ও ফ্রুষ্টোজ ইথানলে পরিণত হয়?,Invertase,Diastase,Maltase,Zymase,ইনভার্টেজ,ডায়াস্টেজ,ম্যালটেজ,জাইমেজ,d
"A^{2+}+K4 [Fe(CN)_{6}] \rightarrow Brown precipitate applicable for A^{2+},here,this is-
i.transition element
ii.formed complex ion
iii.diamagenetic
Which one is correct?","A^{2+}+K_{4}[Fe(CN)_{6}]\rightarrow খয়েরী বর্ণের অঃক্ষেপ A^{2+} এর ক্ষেত্রে প্রযোজ্য। এটি-
 i. অবস্থান্তর মৌল
 ii. জটিল আয়ন গঠন করে
 iii. ডায়াচুম্বকীয়
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"i.ii,&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
"Which is the first transition element according to the  order of atomic
number?",পারমাণবিক সংখ্যার ক্রম অনুসারে প্রথম অবস্থান্তর মৌল কোনটি?,Ti,Cr,Fe,Ni,Ti,Cr,Fe,Ni,a
How many sub-shells are in 4th shell of any atom?,কোন পরমাণুর চতুর্থ শক্তিস্তরে কতটি উপশক্তিস্তর থাকে?,2,3,4,5,2,3,4,5,c
Which one of the following is applicable for Bohr's atom model?,নিচের কোনটির জন্য বোর পরমাণু মডেল প্রযোজ্য?,H^{+},He^{+},Li^{+},Be^{+},H^{+},He^{+},Li^{+},Be^{+},b
"Iron(III) Oxide +HCI  \rightarrow  A+H_{2}O.
What is the solubility product when solubility of 'A' is S?","আয়রন (III) অক্সাইড + HCl \rightarrow A + H_{2}O
 A এর দ্রাব্যতা S হলে দ্রাব্যতা গুণফল কত?",S^{2},4S^{3},27S^{4},108S^{5},S^{2},4S^{3},27S^{4},108S^{5},c
"Iron(III) Oxide +HCI  \rightarrow  A+H2O.
The reagent is used to identify of basic radical of the compound A-
i.Neslar reagent
ii.K_{3}[Fe(CN)_{6}]
iii.K_{4}[Fe(CN)_{6}]
Which one is correct?","আয়রন (III) অক্সাইড + HCl \rightarrow A + H_{2}O
 উদ্দীপকের A-যৌগে বিদ্যমান ক্ষারীয় মূলকটি শনাক্তকরণে ব্যবহৃত হয়-
 i. নেসলার বিকার
 ii. K_{3}[Fe(CN)_6]
 iii. K_4[Fe(CN)_6]
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
How many odd number electrons are in chromium atom?,ক্রোমিয়াম পরমাণুতে অযুগ্ম ইলেকট্রনের সংখ্যা কত?,8,6,5,3,8,6,5,3,b
"In which region of  electromagnetic emission the Lymann spectrum 
series is created?",লাইমেন বর্ণলি সিরিজ তড়িৎ চুম্বকীয় বিকিরণের কোন অঞ্চলে ঘটে?,UV,IR,X-ray,Visible ray,UV,IR,X-ray,Visible Ray,a
"M3N2+H2O \rightarrow A+B(g);for the compound B-
i.shows basic property
ii.is triangular pryamidal
iii.forms co-ordination bond
Which one is correct?","M_3N_2+H_2O \rightarrow A+B(g); B-এর জন্য প্রয়োজন্য, এটি-
 i. ক্ষার ধর্মীতা প্রদর্শiন করে
 ii. ত্রিকোণী পিরামিডীয়
 iii. সন্নিবেশ বন্ধন গঠন করে
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which of the following is a mixed anhydride?,নিচের কোনটি মিশ্র অ্যানহাইড্রাইড?,NO,N_{2}O_{3},N_{2}O_{4},N_{2}O_{5},NO,N_{2}O_{3},N_{2}O_{4},N_{2}O_{5},c
"M^{2+}(=(n-1)d^{6},n=4),The characteristics 'M' -element-
i.acts as a catalyst
ii.forms two halides
iii.shows diamagnetic properties
Which one is correct?","M_{2+} = ((n-1)d^{6}, n=4), M মৌলের বৈশিষ্ট্য হলো -
 i. প্রভাবক হিসাবে কাজ করে
 ii. দুটি হ্যালাইড যৌগ গঠন করে
 iii. ডায়াম্যাগনেটিক ধর্ম প্রদর্শন করে
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
Which type of hybridization is in H2O molecule?,কোন হাইব্রিডাইজেশন দ্বারা H_{2}O অণু গঠিত হয়?,Sp,Sp^{2},Sp^{3},Sp^{3}d,sp,sp^{2},sp^{3},sp^{3}d,c
What will be the bond angle in PCl_{5} molecule?,PCI_{5} অণুতে বিদ্যমান বন্ধন কোণের মান কত?,90^{\circ},105^{\circ},107^{\circ},109^{\circ},90\degree,105\degree,107\degree,109\degree,d
Which of the following shows more covalent properties?,নিচের কোনটি অধিক সমযোজী বৈশিষ্ট্য প্রদর্শণ করে?,AgF,AgCl,AgBr,AgI,AgF,AgC1,AgBr,AgI,d
Which bond is responsbible for liquifying the water?,পানি তরল হওয়ার জন্য নিচের কোন বন্ধন দায়ী,Ionic bond,Covalent bond,Hydrogen bond,Metallic bond,আয়নিক বন্ধন,সমযোজী বন্ধন,হাইড্রোজেন বন্ধন,ধাতব বন্ধব,c
What is the shape of SF6 molecule?,SF_{6} অণুটির আকৃতি কীরূপ?,pyramidal,Tetrahedral,Trigonal,Octahedral,পিরামিডীয়,চতুস্তলকীয়,ত্রিভুজীয়,অষ্টতলকীয়,d
"2A_{2}(g)+B_{2}(g) \rightleftharpoons 2A_{2}B(g); AH=(+)ve for this reaction applicable-
i.unit of Kp is atm^{-2}
ii.increases the product with increasing temperature
iii.rate constant is fixed
Which one is correct?","2A_{2}(g)+B_{2}(g) \rightleftharpoons 2A_{2}B(g); AH=(+)ve এই বিক্রিয়ার ক্ষেত্রে প্রযোজ্য এটির-
 i. K_{p} এর একক atm^{-2}
 ii. তাপমাত্রা বাড়লে উৎপাদ বাড়ে
 iii. হার ধ্রুবক নির্দিষ্ট
 নিচের কোনটি সঠিক?",i&ii,ii&iii,i&iii,"I,ii&iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
What is the value of ionic product of water?,পানির আয়নিক গুণফলের মান কত?,1.0 \times 10^{-14},1.0 \times 10^{-7},1.0 \times 10^{-12},1.0 \times 10^{-15},1.0 \times 10^{-14},1.0 \times 10^{-7},1.0 \times 10^{-12},1.0 \times 10^{-15},a
2AB\rightleftharpoons  A_{2}+B_{2}; \Delta H=+Ve which one is the correct for the following reaction?,2AB \rightleftharpoons A_{2} + B_{2}; \Delta H = + Ve এই বিক্রিয়ার জন্য কোনটি সঠিক?,Kp=K_{c}(RT)^{2},K_{p} = K_{c}(RT,KP=K_{c},Kp=K_{c}(RT)^{3},K_{p} = K_{c}(RT)^{2},K_{p} = K_{c}(RT),K_{p} = K_{c},K_{p} = K_{c}(RT)^[3},c
"In case of the value of K_{c},which one is correct?",K_{c} এর মানের ক্ষেত্রে কোনটি সঠিক?,May be 1,Depends on catalyst,Depends on pressure,May be infinitive,এর মান 1 হতে পারে,এর মান প্রভাবকের উপর নির্ভর করে,এর মান চাপের উপর নির্ভর করে,এর মান অসীম হতে পারে,a
Which of the following buffers controls the pH of the human body?,মানবদেহে কোন বাফারটি pH নিয়ন্ত্র করে?,CH_{3}COOH+HCO_{3}^{-},H_{2}CO_{3}+NaHCO_{3},NH_{4}OH + NH_{4}C,CH_{3}COOH+CH_{3}COONa,CH_{3}COOH + HCO_{3}^{-},H_{2}CO_{3} + NaHCO_{3},NH_{4}OH + NH_{4}Cl,CH_{3}COOH + CH_{3}COONa,b
Which of the following is used as natural preservatives?,নিচের কোনটি প্রাকৃতিক খাদ্য সংরক্ষক হিসাবে ব্যবহৃত হয়?,SO_{2},NaNO_{3},Na_{2}CO_{3},NaCI,SO_{2},NaNO_{3},Na_{2}CO_{3},NaCl,d
What percentage of ethanoic acid in vineger?,ভিনেগারে ইথানোয়িক এসিডের শতকরা পরিমাণ কত,6-10%,12-17%,15-20%,20-25%,6-10%,12-17%,15-20%,20-25%,a
Which of the following is used as chelating agent?,নিচের কোনটি কিলেটিং এজেন্ট হিসেবে ব্যবহৃত হয়?,BHA,BHT,HCHO,EDTA,BHA,BHT,HCHO,EDTA,d
What is the wavelength of visible light in nanometers?,দৃশ্যমান আলোর তরঙ্গ দৈর্ঘ করত nm?,380 - 780,10 -380,780 - 10^{6},10^{-6} - 380,380 - 780,10 - 380,380 - 10^{6},10^{-6} - 380,a
"Which spectral line is actually seen when the electron returns to the 
third energy level?",ইলেকট্রন ৩য় শক্তিস্তরে ফিরে আসলে কোন বর্ণালি রেখা দেখা যায়?,Lyman,Brackett,Paschen,Balmer,লাইম্যান,ব্রাকেট,প্যাশ্চেন,বামার,c
In which orbital electron first?,কোনটিতেে ইলেকট্রন আগে প্রবেশ করবে?,6p,5d,4f,7s,6p,5d,4f,7s,c
"Conecntration of F^{-} ion in saturated sol^{n} of CaF_{2} is 0.00655 gL^{-1}; What is its
solubility product?",CaF_{2}-এর সম্পৃক্ত জলীয় দ্রবণে ফ্লোরাইড আয়নের ঘনমাত্রা 0.00655 gL^{-1} হলে CaF_{2} এর দ্রাব্যতা গুণফল কত হবে?,3.7\times 10^{-13},2.048\times 10^{-10},3.7\times 10^{-12},2.048\times 10^{-11},3.7\times 10^{-13},2.048\times 10^{-10},3.7\times 10^{-12},2.048\times 10^{-11},d
Which does not test the flame?,কোনটি শিখা পরীক্ষা দেয় না?,Na,Be,K,Ca,Na,Be,K,Ca,b
In which compound covalent bond is absent?,কোনটিতে সমযোজী বন্ধন অনুপস্থিত?,HBr,H_{2}S,BeCI_{2},CaF_{2},HBr,H_{2}S,BeCl_{2},CaF_{2},d
Which one is non-polar solvent?,কোনটি অপোলার দ্রাবক?,CCI_{4},NH_{3},H_{2}O,HCI,CCl_{4},NH_{3},H_{2}O,HCl,a
Which is strongest acid?,কোনটি শক্তিশাালী এসিড?,HNO_{2},HNO_{3},H_2SO_{3},H_2SO_{4},HNO_{2},HNO_{3},H_{2}SO_{3},H_{2}SO_{4},d
What is the pOH of pure water?,বিশুদ্ধ পানির pOH কত?,14,7,1.4,0.7,14,7,1.4,0.7,b
Which one is conjugate acid of H2O?,H_{2}O-এর অনুবন্ধী অম্ল কোনটি?,OH^{-},H^{+},O^{2-},H_{3}^{+}O,OH^{-},H^{+},O^{2-},H_{3}^{+}O,d
"In reaction A_{2}(g)+B_{2}(g)\rightleftharpoons 2AB(g), \Delta H = +X Kj/mol-
i. pressure influences the reaction
ii. temperature influences the reaction
iii. catalyst influences the reaction
Which one is correct?","A_{2}(g)+B_{2}(g)\rightleftharpoons 2AB(g); \bigtriangleup H = +X Kj/mol; বিক্রিয়াটিতে-
 i. চাপের প্রভাব বিদ্যমান
 ii. তাপমাত্রার প্রভাব বিদ্যমান
 iii. প্রভাবকের ভূমিকা বিদ্যমান
 নিচের কোনটি সঠিক?",i,ii,i&ii,"i.ii,&iii",i,ii,i ও ii,"i, ii ও iii",b
Which mixture is vinegar?,নিচের কোন মিশ্রণটি ভিনেগার?,H_{2}SO_{4}+K_{2}Cr_{2}O_{7},CH_{3}COOH+H_{2}O,HCl+CH_{3}COOH,CH_{3}COOH+H_{2}SO_{4},H_{2}SO_{4}+K_{2}Cr_{2}O_{7},CH_{3}COOH+H_{2}O,HCl+CH_{3}COOH,CH_{3}COOH+H_{2}SO_{4},b
What is the name of atoms having same mass number but different atomic number?,"যে সব পরমাণুর ভর সংখ্যা একই কিন্তু পারমাণবিক সংখ্যা ভিন্ন, এদেরকে কী বলা হয়?",Isotone,Isomer,Isober,Isotope,আইসোটোন,আইসোমার,আইসোবার,আইসোটোপ,c
With the help of which particile did Rutherford test the scattering?,কোন কণার সাহায্যে রাদারফোর্ড বিচ্ছুরণ পরীক্ষা করেন?,\alpha,\beta,\gamma,X-ray,\alpha,\beta,\gamma,X-ray,a
In which case explanation of spectrum will be possible?,কোনটির ক্ষেত্রে বর্ণালির ব্যাখ্যা সম্ভব?,H^{+},He^{2+},Li^{2+},Be^{2+},H^{-},He^{2+},Li^{2+},Be^{2+},c
What is the angular momentum of the last electron of Boron?,বোরনের শেষ ইলেকট্রনের কৌণিক ভরবেগ কত?,\frac{2n}{2h},\frac{2h}{\pi},\frac{n}{2\pi},\frac{h}{\pi},\frac{2n}{2h},\frac{2h}{\pi},\frac{n}{2\pi},\frac{h}{\pi},d
Which one indicates shape?,কোনটি আকৃতি প্রকাশ করে?,"Principal quantum
 number",Magnetic quantum number,"Secondary quantum
number","Spin quantum 
number",প্রধান কোয়ান্টাম সংখ্যা,চৌম্বক কোয়ান্টাম সংখ্যা,সহকারী কোয়ান্টাম সংখ্যা,ঘূর্ণন কোয়ান্টাম সংখ্যা,c
Which orbital is possible?,কোন অরবিটালটি সম্ভব?,5s,3f,2d,1p,5s,3f,2d,1p,a
In which case concept of atomic orbital is found?,পরমাাণুতে অরবিটালের ধারণা নিচের কোনটি থেকে পাওয়া যায়?,Aufbau principle,Quantum model,Bhor model,Rutherford model,আউফবাউ নীতি,কোয়ান্টাম বলবিদ্যা,বোর পরমাণু মডেল,রাদারফোর্ড পরমাণু মডেল,b
"PH_{4}CI compound contains-
i.ionic bond
ii.covalent bond
iii.co-ordination bond
which one is correct?","PH_{4}Cl'-যৌগে বিদ্যমান-
 i. আয়নিক বন্ধন
 ii. সমযোজী বন্ধন
 iii. সন্নিবেশ বন্ধন
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is molecular shape with sp hybridization ?,sp-সংকরিত হলে অণুর আকৃতি কী হবে?,pyramidal,Triangular triangle,Linear,Tetrahedral,পিরামিডীয়,ত্রিকোণাকার ত্রিভুজ,সরলরৈখিক,চতুস্তলকীয়,c
"Exothermic reactions are-
i. L + M \rightarrow product +heat
ii. X + Y \rightarrow product; \Delta H = -ve
iii. A + B + heat \rightarrow product
Which one is correct?","তাপোৎপাদী বিক্রিয়া হলো-
 i. L + M \rightarrow উৎপাদ + তাপ
 ii. X + Y \rightarrow  উৎপাদ; \bigtriangleup H = -ve
 iii. A+ B+ তাপ \rightarrow  উৎপাদ
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"i.ii,&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
In which compound polarization is maximum?,কোনটিতে পোলারায়ন বেশি ঘটবে?,MgCI_{2},BeCI_{2},NaCI,LiCI,MgCl_{2},BeCl_{2},NaCl,LiCl,b
"In which sub-shell,will the electron enrer first?",কোন উপশক্তি স্তরে ইলেকট্রন আগে প্রবেশ করবে?,5s,4d,4p,5p,5s,4d,4p,5p,c
What is the pH of 0.05M H_{2}SO_{4}?,0.05M H_{2}SO_{4} এর pH কত?,0.1,1,1.3,2,0.1,1,1.3,2,b
"\pi Bonds are formed-
i.between two p orbitals
ii.between one p and one s orbital
iii. Between two hydrid obitals
Which one is correct?","\pi বন্ধন গঠিত হয়-
 i. দুটি p অরবিটালের মধ্যে
 ii. একটি p ও একটি s অরবিটালের মধ্যে
 iii. দুটি সংকর অরবিটালের মধ্যে
 নিচের কোনটি সঠিক?",i,ii,iii,"I,ii&iii",i,ii,iii,"i, ii ও iii",a
"60 mL 0.10 M NaOH solutions is added to the 50 mL 0.18M CH_{3}COOH
solution.p^{k}a=4.76
What happens when a small amount of H_{2}SO_{4} is  added to stem solution?","50 mL 0.18 M CH_{3}COOH দ্রবণে 60 mL 0.10M NaOH দ্রবণ যোগ করা হল। pKa = 4.76  
উদ্দীপকের দ্রবণের সামান্য পরিমাণ H_{2}SO_{4} যোগ করলে কী ঘটবে?",Increases pH,"pH remain and 
constant","Increases H^{+} ion
concentration","Decreases OH^{-}
ion concentration",pH বাড়বে,pH স্থির থাকবে,H_{+} এর ঘনমাত্রা বাড়বে,OH^{-} আয়নের ঘনমাত্রা কমবে,b
Which atomic model gives an idea about enetgy levels?,কোন পরমাণু মডেল কক্ষপথ সম্পর্কে ধারণা দেয়?,Rutherford,Thomson,Dalton,Bohr,রাদারফোর্ড,থমসন,ডাল্টন,বোর,d
What is the name of preservation method of food with vinegar?,ভিনেগার দ্বারা খাদ্য সংরক্ষণের পদ্ধতিটি কী নামে পরিচিত?,Curing,Canning,Blanching,Pickling,কিউরিং,ক্যানিং,ব্লাঞ্চিং,পিকলিং,d
In case of size which one is correct?,আকারের ক্ষেত্রে কোনটি সঠিক?,Be<B,Mg<Al,F>Ne,Mg>Na,Be < B,Mg < Al,F > Ne,Mg > Na,c
Which is the correct order of acid strength?,এসিডের শক্তির সঠিক ক্রম কোনটি?,HBrO_{4}>HClO_{4}>HNO_{3}>H_{3}PO_{4},HClO_{4}>HBrO_{4}>HNO_{3}>H_{3}PO_{4},HClO_{4}>HBrO_{4}>H_{3}PO_{4}>HNO_{3},HNO_{3}>H_{3}PO_{4}>HClO_{4}>HBrO_{4},HBrO_{4}>HClO_{4}>HNO_{3}>H_{3}PO_{4},HClO_{4}>HBrO_{4}>HNO_{3}>H_{3}PO_{4},HClO_{4}>HBrO_{4}>H_{3}PO_{4}>HNO_{3},HNO_{3}>H_{3}PO_{4}>HClO_{4}>HBrO_{4},b
Which set has the same number of electron?,কোন সেটটির ইলেকট্রন সংখ্যা সমান?,"Na^{+}, Ca^{2+}, Sc^{3+}, F^{-}","K^{+}, Cl^{-},Mg^{2+},Sc^{3+}","Na^{+}, Mg^{2+}, Al^{3+}, Cl^{-}","K^{+},Ca^{2+},Sc^{3+},Cl^{-}","Na^{+}, Ca^{2+}, Sc^{3+}, F^{-}","K^{+}, Cl^{-},Mg^{2+},Sc^{3+}","Na^{+}, Mg^{2+}, Al^{3+}, Cl^{-}","K^{+},Ca^{2+},Sc^{3+},Cl^{-}",d
"Green chemistry includes-
i.attempts to organize reaction at room temperature pressure
ii.to use less renewable raw materials
iii.to reduce secondary product","সবুজ রসাায়নের অন্তর্ভুক্ত-
 i. কক্ষ তাপমাত্রা ও চাপে বিক্রিয়া সংঘটনের চেষ্টা
 ii. নবায়নযোগ্য কাঁচামাল কম ব্যবহার করা
 iii. মাধ্যমিক গৌণ উৎপাদ হ্রাস করা
 নিচের কোনটি সঠিক?",i&ii,i&iii,ii&iii,"I,ii&iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
