Which part helps to pass oxygenated blood?,অক্সিজেনসমৃদ্ধ রক্ত হৃৎপিণ্ডের কোনটি অতিক্রম করে?,Tricuspid valve,Pulmonary valve,Pulmonary artery,Bicuspid valve,ট্রাইকাসপিড ভালভ,পালমোনারি কপাটিকা,পালমোনারি ধমনি,বাইকাসপিড ভালভ,d
What is the duration of forming faetus from human embryo?,কত সপ্তাহের (প্রায়) মানব ভ্রূণকে ফিটাস বলে?,3 weeks,4 weeks,5 weeks,8 weeks,3,4,5,8,d
Which is applicable for major thalassemia?,থ্যালাসেমিয়া মেজরের ক্ষেত্রে কোনটি প্রযোজ্য?,Obtains genes from both the parents,Obtain genes either form the father of mother,Does not express any symptom,Only functions as a carrier,মা-বাবা উভয়ের কাছ থেকে জিন পায়,বাবা অথবা মায়ের কাছ থেকে জিন পায়,কোনো উপসর্গ দেখায় না,কেবলমাত্র জিনের বাহক হিসেবে কাজ করে,a
"Similarity between kingdom fungi and plantae is-
i. reproduce by spore
ii. well structured nucleus
iii. cell wall present in cell
Which one is correct?","রাজ্য ফানজাই ও রাজ্য প্লানটি এর সাদৃশ্য হলো-
 i. স্পোর দিয়ে বংশবৃদ্ধি করে
 ii. নিউক্লিয়াস সুগঠিত
 iii. কোষে কোষপ্রাচীর উপস্থিত
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which component is responsible for contracting and expanding of muscular tissue?,কোন উপাদানের উপস্থিতির কারণে পেশি টিস্যু সংকুচিত-রপ্সারিত হয়?,Nucleus,Intercalated disk,Sarcolemma,Myofibril,নিউক্লিয়াস,ইন্টারক্যালেটেড ডিস্ক,সারকোলেমা,মায়োফাইব্রিল,d
Which organ contains Actine and Myocin?,অ্যাকটিন ও মায়োসিন প্রোটিন কোন অঙ্গাণুতে থাকে?,Centrosome,Ribosome,Cytoskeleton,Chloroplast,সেন্ট্রোজোম,রাইবোজোম,কোষকঙ্কাল,ক্লোরোপ্লাস্ট,c
How many cells are there in egg apparatus of embryo-sac?,ভ্রূণথলির গর্ভযন্ত্রে কয়টি কোষ থাকে?,4,3,2,1,4,3,2,1,b
"Which branch deals with respiration, excretion etc. of living organsms?","জীবদেহের শ্বসন, রেচন ইত্যাদি সম্পর্কিত বিজ্ঞান কোনটি?",Physiology,Medical Science,Pharmacy,Biochemistry,শারীরবিদ্যা,চিকিৎসাবিজ্ঞান,ফার্মেসি,প্রাণরসায়ন,a
Which system Urethra belongs to?,ইউরেথ্রা কোন তন্ত্রের অংশ?,Respiratory system,Endocrine system,Digestive system,Excretory system,শ্বসনতন্ত্র,অন্তঃক্ষরা গ্রন্থিতন্ত্র,পরিপাকতন্ত্র,রেচনতন্ত্র,d
Which product is produced in anaerobic respiration?,অবাত শ্বসন প্রক্রিয়ায় কোনটি উৎপন্ন হয়?,Amino-acid,Ethyl alcohol,Water,Oxygen,অ্যামানো এসিড,ইথাইল অ্যালকোহল,পানি,অক্সিজেন,b
"A' tissue has more matrix, number of cells is less and the cells are scattered within the matrix. Functions of 'A' tissue-
i. are to participate making pumping organ for the blood circulation in human body
ii. give the body definite shape and firmness
iii. are to maintain circulation of different items in the body
Which one is correct?","A' টিস্যুতে ম্যাট্রিক্স বেশি, কোষের সংখ্যা কম এবং কোষগুলো ম্যাট্রিক্সের মধ্যে ছড়ানো। 'A' টিস্যুর কাজ-
 i. দেহে রক্ত সঞ্চালনে পাম্পযন্ত্র তৈরিতে অংশ নেয়া
 ii. দেহকে নির্দিষ্ট আকৃতি ও দৃঢ়তা প্রদান করা
 iii. দেহের অভ্যন্তরে বিভিন্ন দ্রাব্যাদি পরিবহন করা
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
What percentage of the total transpiration in a plant occurs through the stomata?,কোনো উদ্ভিদের মোট প্রস্বেদনের কত ভাগ পত্ররন্ধ্রের মাধ্যমে সংঘটিত হয়?,15-20%,60-70%,80-85%,90-95%,১৫-২০%,৬০-৭০%,৮০-৮৫%,৯০-৯৫%,d
How many nephrons are present in a human body?,মানবদেহে মোট কতটি নেফ্রন থাকে?,10-12 Lac,20-24 Lac,25-30 Lac,30-36 Lac,১০-১২ লক্ষ,২০-২৪ লক্ষ,২৫-৩০ লক্ষ,৩০-৩৬ লক্ষ,b
Which flower's filaments are polyadelphous and cross pollinated?,কোন ফুলের পরাগদণ্ড বহুগুচ্ছ ও পর-পরাগী?,Cotton tree,Cucumber,Datura,Brassica,শিমুল,শসা,ধুতুরা,সরিষা,a
What is the length of two complete twist in DNA helix?,DNA অণুর দুটি পূর্ণ ঘূর্ণনের দৈর্ঘ্য কত?,3.4 A,34 A,68 A,102 A,3.4\AA,34\AA,68\AA,102\AA,c
"C_{6}H_{12}O_{6}+[A] \xrightarrow{enzyme} 6CO_{2}+6H_{2}O+energy

How many molecules ATP will produce in absence of 'A' in the stem?","C_{6}H_{12}O_{6} + [A] + \xrightarrow{বিভিন্ন এনজাইম}6CO_{2} + 6H_{2}O + শক্তি
 
 উদ্দীপকের প্রক্রিয়ায় A এর অনুপস্থিতিতে কত অণু ATP তৈরি হবে?",2,8,20,38,2,8,20,38,a
"C_{6}H_{12}O_{6}+[A] \xrightarrow{enzyme} 6CO_{2}+6H_{2}O+energy

Correct information for the last stage of the stem-
i. is occured in mitochondria
ii. produced water
iii. produced 34 molecules ATP
Which one is correct?","C_{6}H_{12}O_{6} + [A] + \xrightarrow{বিভিন্ন এনজাইম}6CO_{2} + 6H_{2}O + শক্তি
 
 উদ্দীপকের প্রক্রিয়ায় শেষ ধাপের ক্ষেত্রে সঠিক তথ্য হলো-
 i. মাইটোকন্ড্রিয়াতে ঘটে
 ii. পানি উৎপন্ন হয়
 iii. ৩৪ অণু ATP তৈরি হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"In case of asexual reproduction-
i. laborious and time consuming process
ii. the offspring are exactly same as mother organism
iii. very little variety is seen
Which one is correct?","অযৌন জননের ক্ষেত্রে-
 i. শ্রমসাধ্য ও সময় সাপেক্ষ প্রক্রিয়া
 ii. অপত্য জীবগুলো মাতৃজীবের অনুরূপ হয়
 iii. বৈচিত্র্যতা কম পরিলক্ষিত হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"The teacher discussed about pollination in the classroom. He showed a Kadam flower and said that one type of pollination occur in it.
Apart from the metioned flower, which one is same type pollination occur?","শিক্ষক শ্রেণিকক্ষে পরাগায়ন সম্পর্কে আলোচনা করেছিলেন। তিনি একটি কদম ফুল দেখিয়ে বললেন, এতে এক ধরনের পরাগায়ন।
 
 উল্লিখিত ফুলটি ছাড়াও কোন ফুলে উক্ত পরাগায়ন ঘটে?",cotton tree,Pumpkin,Datura,Mustard,শিমুল,কুমড়া,ধুতুরা,সরিষা,a
"The teacher discussed about pollination in the classroom. He showed a Kadam flower and said that one type of pollination occur in it.
For the mentioned flower, difficulty of pollination-
i. pollination is not ensured
ii. the purity of the species is impaired
iii. take less of pollen
Which one is correct?","শিক্ষক শ্রেণিকক্ষে পরাগায়ন সম্পর্কে আলোচনা করেছিলেন। তিনি একটি কদম ফুল দেখিয়ে বললেন, এতে এক ধরনের পরাগায়ন।
 
 উদ্দীপকের ফুলটির পরাগায়নের ক্ষেত্রে অসুবিধা হচ্ছে-
 i. পরাগায়নের নিশ্চয়তা কম
 ii. প্রজাতির বিশুদ্ধতা কমে যায়
 iii. পরাগরেণু কম লাগে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which one is the main component of the chromosome?,ক্রোমোসোমের প্রধান উপাদান কোনটি?,DNA,RNA,Gene,GMO,DNA,RNA,Gene,GMO,a
Purin is-,পিউরিন হলো-,Nitrogen base,Histone proteins,Phosphate base,Glucose,নাইট্রোজেন বেস,হিস্টোন প্রোটিন,ফসফেট ক্ষার,গ্লুকোজ,a
Which scientist is first discovered fossils?,কোন বিজ্ঞানী সর্বপ্রথম জীবাশ্ম আবিষ্কার করেন?,Aristole,Curtis Burns,Xenophen,Spencer,অ্যারিস্টটল,কার্টিস-বার্নস,জেনোফেন,স্পেনসার,c
What is the function of Lysosomes?,লাইসোজোমের কাজ কোনটি?,Food preparation,Produce energy,Germ eating,Protein synthesis,খাদ্য তৈরি,শক্তি উৎপাদন,জীবাণু ভক্ষণ,আমিষ সংশ্লেষণ,c
How many type of cell based on the structural of nucleus?,নিউক্লিয়াসের গঠনের ভিত্তিতে কোষ কত প্রকার?,2,3,4,5,2,3,4,5,a
Which organelle is present is bacteria?,ব্যাকটেরিয়াতে কোন অঙ্গাণুটি উপস্থিত?,Mitochondria,Plastid,Endoplasmic reticulum,Ribosome,মাইটোকন্ড্রিয়া,প্লাস্টিড,এন্ডোপ্লাজমিক রেটিকুলাম,রাইবোজোম,d
"In eukaryotic cell, chromosomes consist of-
i. RNA
ii. DNA
iii. Histone protein
Which one is correct?","প্রকৃত কোষের ক্রোমোসোমে থাকে-
 i. RNA
 ii. DNA
 iii. হিস্টোন প্রোটিন
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"Radish are usually grow under the soil. Some how they come out from the soil, the colour is changed.
Which one of the following is excessive at the root of the stem?","মূলা মাটির নিচে হয়। কোনো কারণে মাটির বাইরে বেরিয়ে এলে তার বর্ণের পরিবর্তন ঘটে।
 
 উদ্দীপকের মূলটিতে কোনটির আধিক্য রয়েছে।",Carotene,Chlorophyll,Leucoplast,Xanthophyll,ক্যারোটিন,ক্লোরোফিল,লিউকোপ্লাস্ট,জ্যান্থফিল,c
"Radish are usually grow under the soil. Some how they come out from the soil, the colour is changed.
In the root of the stem, can be found-
i. leucoplast
ii. carotene
iii. chlorophyll
Which one is correct?","মূলা মাটির নিচে হয়। কোনো কারণে মাটির বাইরে বেরিয়ে এলে তার বর্ণের পরিবর্তন ঘটে।
 
 উক্ত মূলে পাওয়া যেতে পারে-
 i. লিউকোপ্লাস্ট
 ii. ক্যারোটিন
 iii. ক্লোরোফিল
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which one is Adenosine Diphosphate?,কোনটি অ্যাডিনোসিন ডাই-ফসফেট?,AMP,ADP,AD_{2}P,ADP_{2},AMP,ADP,AD_{2}P,ADP_{2},b
Where the gens are positioned of colour blindness?,বর্ণান্ধ রোগের জিনের অবস্থান কোথায়?,Autosome,Sex-chromosome,Nucleus,Mitochondria,অটোসোম,সেক্স ক্রোমোসোম,নিউক্লিয়াস,মাইটোকন্ড্রিয়া,b
What is the function of thyroxin hormone?,থাইরক্সিন হরমোনের কাজ কোনটি?,"regulates mental development, sexual characteristics","growth of reproductive organ, milk secretion","produce sperms, deepening of the voice","enlargement of uterus, embryo","মানসিক বৃদ্ধি, যৌন লক্ষণ প্রকাশ","যৌনাঙ্গ বৃদ্ধি, দুগ্ধক্ষরণ","শুক্রাণু উৎপাদন, গলার স্বর পরিবর্তন","জরায়ু, ভ্রূণের বৃদ্ধি নিয়ন্ত্রণ",a
The universal colour blindness is called for which colour?,কোন রঙের বর্ণান্ধতাকে সর্বজনীন বর্ণান্ধতা বলে?,Red-Green,Red-Blue,Red-Skyblue,Red-Violet,লাল-সবুজ,লাল-নীল,লাল-আসমানি,লাল-বেগুনি,a
Which one is produce by respiration of yeast?,ইস্টের শ্বসন প্রক্রিয়ায় কোনটি উৎপন্ন হয়?,Lactic acid,Glucose,Oxaloacetic acid,Glyceric acid,ল্যাকটিক এসিড,গ্লুকোজ,অক্সালো অ্যাসিটিক এসিড,গ্লিসারিক এসিড,a
"Absence of oxygen, in the respiration-
i. respiratory substances are partially oxidized
ii. produce lactic acid
iii. produce large amount of energy
Which one is correct?","অক্সিজেনের অনুপস্থিতিতে যে শ্বসন হয় তাতে-
 i. শ্বসনিক বস্তুর আংশিক জারণ হয়
 ii. ল্যাকটিক অ্যাসিড উৎপন্ন হয়
 iii. বিপুল পরিমাণ শক্তি উৎপন্ন হয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"After how many weeks, the 'foctus' is fully developed?",ফিটাস' কত সপ্তাহে পূর্ণতাপ্রাপ্ত হয়?,8,18,28,38,8,18,28,38,c
In which portion of visible spercturm the photosynthesis is reduce?,আলোক বর্ণালির কোন অংশে সালোকসংশ্লেষণ ব্যাহত হয়?,Blue,Green,Orange,Red,নীল,সবুজ,কমলা,লাল,b
"Respiration rate will be higher in-
i. buds and roots 
ii. buds and tip of the stem
iii. roots and stems
Which one is correct?","স্বাভাবিকের চেয়ে শ্বসনের হার বেশি হবে-
 i. কুঁড়ি ও মূলে
 ii. কুঁড়ি ও কাণ্ডের অগ্রভাগে
 iii. মূল ও কাণ্ডে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"Nibir sees small living beings like umbrella under a big tree.
The living beings in the stem belong to which kingdom?","নিবিড় একটি বড় গাছের নিচে ছাতার মত ছোট ছোট জীব দেখতে পায়।
 
 উদ্দীপকের জীবটি-
 i. মৃত জীবদেহের উপর জন্মে
 ii. ভিন্নধর্মী গ্যামেটের মিলনে বংশবৃদ্ধি করে
 iii. কাইটিন নির্মিত কোষপ্রাচীর দ্বারা গঠিত
 নিচের কোনটি সঠিক?",Monera,Protista,Fungi,Plantae,i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"Nibir sees small living beings like umbrella under a big tree.
The living being given in the stem-
i. is born on dead organisms
ii. is reproduced by the union of two different gametes
iii. is made with cell wall which is composed of chitin
Which one is correct?","নিবিড় একটি বড় গাছের নিচে ছাতার মত ছোট ছোট জীব দেখতে পায়।
 
 উদ্দীপকের জীবটি-
 i. মৃত জীবদেহের উপর জন্মে
 ii. ভিন্নধর্মী গ্যামেটের মিলনে বংশবৃদ্ধি করে
 iii. কাইটিন নির্মিত কোষপ্রাচীর দ্বারা গঠিত
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"5 ATP \rightarrow 5 ADP + 5ip +energy.
How many kilo callories of energy is produced from the stem?","5ATP \rightarrow 5ADP + 5Pi + শক্তি
 
 উদ্দীপকে উৎপন্ন শক্তির পরিমাপ কত কিলোক্যালরি?",7.3,21.6,30.5,36.5,7.3,21.6,80.6,36.5,d
Which one of the following has lactose enzyme?,কোনটিতে ল্যাকটেজ এনজাইম থাকে?,Pancreatic juice,Salivary juice,Digestive juice,Intestinal juice,অগ্ন্যাশয় রসে,লালা রসে,পাচক রসে,আন্ত্রিক রসে,d
Which food provides energy quickly?,কোন খাদ্য থেকে দ্রুত শক্তি পাওয়া যায়?,Yougurt,Sugarcane molasses,Mango Juice,Rice,দই,আখের গুড়,আমের রস,ভাত,c
How many kilocalories of energy can be found from 25 gram of ghee?,25 গ্রাম ঘি থেকে কত কিলোক্যালরি শক্তি পাওয়া যায়?,100,125,175,225,100,125,175,225,d
Which disese is created by Helicobacter pilori.,Hellocobacter pylori কোন রোগ সৃষ্টি করে?,Dysentery,Peptic ulcer,Diarrhoea,Rheumatic fever,আমাশয়,পেপটিক আলসার,ডায়রিয়া,বাতজ্বর,b
"Mineral salt is absorbed in mango tree-
i. by osmosis process
ii. with the help of metabolic energy
iii. as ions
Which one is correct?","আমগাছে খনিজ লবণ শোষিত হয়-
 i. অভিস্রবণ প্রক্রিয়ায়
 ii. বিপাকীয় শক্তি খরচের মাধ্যমে
 iii. আয়ন হিসেবে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which is happened due to leukemia disease?,লিউকেমিয়া রোগে কোনটি হয়?,Increase of red blood cell,Decrease of white blood cell,Infected with bone marrow cancer,Small black spot are visible in the skin,লোহিত রক্তকণিকা বেড়ে যায়,শ্বেত রক্তকণিকা কমে যায়,অস্থিমজ্জা ক্যান্সারে আক্রান্ত হয়,ত্বকে ছোট কাল দাগ দেয়া দেয়,c
Which one produces ultra-filtrate?,কোনটি আল্ট্রাফিলট্রেট তৈরি করে?,Glomerulus,Hilus,Renal capsule,Bowman's capsule,গ্লোমেরুলাস,হাইলাস,রেনাল ক্যাপসুল,বোম্যান্স ক্যাপসুল,a
Which of the following can cause sudden damage of kidney?,আকস্মিক কিডনি অকেজো হতে পারে কোন কারণে?,Diabetes,Nehrritis,Severe diarrhoea,High blood pressure,ডায়াবেটিস,নেফ্রাইটিস,মারাত্মক ডায়রিয়া,উচ্চ রক্তচাপ,c
Which hormone helps to deepening of the voice?,কোন হরমোন গলার স্বর পরিবর্তন করে?,Androgen,Estrogen,Thyroxine,Gonadotropic,অ্যান্ড্রোজেন,ইস্ট্রোজেন,থাইরক্সিন,গোনাডোট্রপিক,a
After how many weeks embryo is called fetus?,কয় সপ্তাহ পর ভ্রূণকে ফিটাস বলা হয়?,4,5,8,28,4,5,8,28,c
"Colour blind Helena is married with healthy Rakib.
What is the probability of being colour blind if lthey have a male child?","স্বাভাবিক রাকিবের সাথে বর্ণান্ধ হেলেনার বিয়ে হয়।
 
 তাদের মেয়ে সন্তান হলে বর্ণান্ধতার বাহক হবার সম্ভাবনা কত ভাগ?",100%,50%,25%,0%,0%,25%,50%,100%,a
"Colour blind Helena is married with healthy Rakib.
What is the probability of being a carrier of colour blind if they have a female child?","স্বাভাবিক রাকিবের সাথে বর্ণান্ধ হেলেনার বিয়ে হয়।
 
 তাদের মেয়ে সন্তান হলে বর্ণান্ধতার বাহক হবার সম্ভাবনা কত ভাগ?",0%,25%,50%,100%,0%,25%,50%,100%,d
Which base in only found in RNA?,কোন বেসটি শুধু RNA তে পাওয়া যায়?,Adenine,Guanine,Thiamine,Uracil,এডিনিন,গুয়ানিন,থায়ামিন,ইউরোসিল,d
Which one of the following develop a long tube when their terminal walls are dissolved?,কোনটির প্রান্তীয় প্রাচীর গলে নলের সৃষ্টি হয়?,Sieve cell,Vessels,Tracheid,Companion cell,সিভকোষ,ভেসেল,ট্রাকিড,সঙ্গীকোষ,b
Which one of the following works as a filter?,কোনটি ছাঁকনির মতো কাজ করে?,Stratified epithelial tissue,Pseudo stratified epithelial tissue,Squamous epithelial tissue,Cuboidal epithelial tissue,স্ট্রাটিফাইড আবরণী টিস্যু,সিউডো-স্ট্রাটিফাইড আবরণী টিস্যু,স্কোয়ামাস আবরণী টিস্যু,কিউবয়ডাল আবরণী টিস্যু,c
For which reason the acidic condition in the cell of mesophyll tissue is increased?,পাতার মেসোফিল টিস্যুর কোষের অম্লত্ব বেড়ে যায় কোনটির কারণে?,The amount of CO_{2} in increased to a very high level,The amount O_{2} is decreased,In the presence of too much chloroplasts,If there is a deficiency of enzymes,CO_{2} এর মাত্রা খুব বেশি বেড়ে গেলে,O_{2} এর বেশি মাত্রা খুব কমে গেলে,খুব বেশি ক্লোরোপ্লাস্টের উপস্থিতিতে,এনজাইমের বেশি ঘাটতি থাকলে,a
How many molecules of ATP is produced when 3 molecules of glucose is oxidized in acrobic respiration?,সবাত শ্বসনে ৩ অণূ গ্লুকোজ জারিত হয়ে থাকলে কয় অণু ATP তৈরি হয়?,38,54,72,114,38,54,72,114,d
Which one is micro nutrients?,কোনটি মাইক্রোনিউট্রিয়েন্ট?,Magnesium,Copper,Hydrogen,Carbon,ম্যাগনেসিয়াম,কপার,হাইড্রোজেন,কার্বন,b
Which one of the following is included in applied Biology?,নিচের কোনটি ফলিত জীববিজ্ঞানের অন্তর্ভুক্ত?,Genetics,Evolution,Marine Biology,Biogeography,বংশগতিবিদ্যা,বিবর্তনবিদ্যা,সামুদ্রিক জীববিজ্ঞান,জীবভূগোল,c
Which one is the optimum temperature for respiration?,শ্বসনের জন্য উত্তম তাপমাত্রা কোনটি?,12-20\degree C,15-35\degree C,18-35\degree C,20-45\degree C,১২\degree - ২০\degree C,১৫\degree - ৩৫\degree C,১৮\degree - ৩৫\degree C,২০\degree - ৪৫\degree C,d
What percentage of Nitrogen is present in protein?,আমিষে শতকরা কত ভাগ নাইট্রোজেন বিদ্যমান,12,14,16,18,12,14,16,18,c
"The tomato leaves are being yellow in Rahim Mia's tomato field
Which minerals may absent in the tomato field of Rahim Mia?","রহিম মিয়ার টমেটো ক্ষেতে পাতাগুলো ধীরে ধীরে হলুদ হয়ে যাচ্ছে।
 
 রহিম মিয়ার টমেটো ক্ষেতে কোন কোন খনিজের অভাব হতে পারে?","N, K.","P, Ca.","N, B.","P, Cu.","N, K","P, Ca","N, B","P, Cu",a
"The tomato leaves are being yellow in Rahim Mia's tomato field
Rahim Mia need to apply in his field-
i. Urea
ii. Muriate of Potash
iii. Triple super Phosphate
Which one is correct?","রহিম মিয়ার টমেটো ক্ষেতে পাতাগুলো ধীরে ধীরে হলুদ হয়ে যাচ্ছে।
 
 রহিম মিয়ার ক্ষেতে প্রয়োগ করতে হবে-
 i. ইউরিয়া
 ii. মিউরেট অব পটাশ
 iii. ট্রিপল সুপার ফসফেট
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
Which blood corpascles secrete heparin?,কোন রক্তকণিকা হেপারিন নিঃসৃত করে?,Lymphocyte,Neutrophil,Monocyte,Basophil,লিম্ফোসাইট,নিট্রোফিল,মনোসাইট,বেসোফিল,d
Which one of the following is internal factor of respiration?,নিচের কোন শ্বসনের অভ্যন্তরীণ প্রভাবক?,Inorganic salt,Water,Carbon dioxide,Oxygen,অজৈব লবণ,পানি,কার্বন ডাই অক্সাইড,অক্সিজেন,a
Which one is the ultimate destination of water absorbed by root?,মূল দ্বারা উত্তোলিত পানির সর্বশেষ গন্তব্য কোনটি?,Epidermis,Sieve tube,Endodermis,Mesophyll tissue,এপিডার্মিস,সীভানল,এন্ডোডার্মিস,মেসোফিল টিস্যু,d
"Monir is taking a blood purifying treatment which is expensive and time consuming.
Which one may occur in Monir's body?","মনির রক্ত পরিশোধনের মাধ্যমে এক প্রকার চিকিৎসা গ্রহণ করছে, যেটা ব্যয় ও সময়সাপেক্ষ।
 
 মনিরের দেহে কোনটি ঘটে থাকবে?",Increasing the level of lipid in blood,Increasing the level of creatinine,Increasing the level of blood sugar,Increasing blood pressure in artery,রক্তে লিপিডের মাত্রা বাড়োবে,ক্রিয়েটিনিনের মাত্রা বাড়বে,রক্তে গ্লুকোজের মাত্রা বাড়বে,ধমনিতে রক্তচাপ বাড়বে,b
"Monir is taking a blood purifying treatment which is expensive and time consuming.
What is the function of glomerulus?",গ্লোমেরুলাসের কাজ কোনটি?,Filtering of blood,Circulating the blood throught the kidney,Carrying urine to the pelvis,Carrying blood to capsule,রক্ত ছাঁকনি দেয়া,কিডনিতে রক্ত সরবরাহ করা,পেলভিসে মূত্র বয়ে নিয়ে যাওয়া,ক্যাপসুলে রক্ত বয়ে নিয়ে যাওয়া,a
Generally how many renal pyramids are present in medulla of kidney?,বৃক্কের মেডুলায় সাধারণত কতটি রেনাল পিরামিড থাকে?,4-8,6-8,8-12,10-12,৪-৮,৬-৮,৮-১২,১০-১২,c
HGibiscus rosa-sinensis is scientific name of which plant?,Hibiscus rosa-sinensis কোন উদ্ভিদের বৈজ্ঞানিক নাম?,Rose,Jack fruit,China rose,Mango,গোলাপ,কাঠাঁল,জবা,আম,c
"Applicable for papaya-
i. unisexual flower
ii. diecious plant
iii. sessile flower
Which one is correct?","পেঁপের ক্ষেত্রে প্রযোজ্য-
 i. একলিঙ্গ ফুল
 ii. ভিন্নবাসী উদ্ভিদ
 iii. সবৃন্তক ফুল
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
In which flower of the following polyadelphous androcium present?,নিচের কোন ফুলে বহুগুচ্ছ পুংস্তবক বিদ্যমান?,China rose,Cotton tree,Pea,Datura,জবা,শিমুল,মটর,ধুতুরা,b
Which of the following external fertilization occurs?,নিচের কোনটিতে বহিঃনিষেক ঘটে?,Shark,Frog,Bird,Man,হাঙ্গর,ব্যাঙ,পাখি,মানুষ,b
How many pairs of chromosome are present in human zygote?,মানুষের জাইগোটে কত জোড়া ক্রোমোজোম বিদ্যমান?,21,22,23,24,21,22,23,24,c
How many people are colour blind our of 100?,প্রতি ১০০ জনে কতজন লোক বর্ণান্ধ হয়?,5,10,15,20,5,10,15,20,b
Which one is a part of reproductive system?,কোনটি জননতন্ত্রের অংশ?,Testis,Urinary bladder,Rectum,Pancreas,শুক্রাশয়,মূত্রথলি,মলাশয়,অগ্ন্যাশয়,a
Which is the function of centriole?,সেন্ট্রিওলের কাজ কোনটি?,To develop astral rays,To synthesis protein,To engult micro organisms,To produce energy,অ্যাস্টার তন্তু তৈরি করা,প্রোটিন সংশ্লেষণ করা,জীবাণু ধ্বংস করা,শক্তি উৎপন্ন করা,a
Glycolysis happens on which part of cell?,গ্লাইকোলাইসিসের বিক্রিয়াগুলো কোষের কোন অংশে সংঘটিত হয়?,Golgi body,Mitochondria,Nucleus,Cytoplasm,গলজি বস্তু,মাইটোকন্ড্রিয়ায়,নিউক্লিয়াসে,সাইটোপ্লাজমে,d
What amount of kilocalorie of energy is produce from the ATP that released from 1 mole of glucose in anacrobic respiration?,অবাত শ্বসনে ১ অণু গ্লুকোজ হতে যতটি ATP তৈরি হয় তা হতে কত কিলোক্যালরি শক্তি উৎপন্ন হয়?,12.6,14.6,16.6,18.6,12.6,14.6,16.6,18.6,b
Epipetalous androceium is found in which flower?,দললগ্ন পুংস্তবক কোন ফুলে দেখা যায়?,Cotton tree,Hibiscus,Bean,Datura,শিমুল,জবা,শিম,ধুতুরা,d
Which hormone creates womenish characteristics?,মেয়েদের নারীসুলভ লক্ষণ সৃষ্টি করে কোন হরমোন?,Androgen,Testosterone,Estrogen,Thyroxine,অ্যান্ড্রোজেন,টেস্টোস্টেরন,ইস্ট্রোজেন,থাইরক্সিন,c
Pregnancy lasts up to how many weeks?,গর্ভাবস্থা সাধারণত কত সপ্তাহ পর্যন্ত বিদ্যমান থাকে?,36-38,38-40,40-42,42-44,৩৬ - ৩৮,৩৮ - ৪০,৪০ - ৪২,৪২ - ৪৪,b
Where does the embryo implantation happen?,ভ্রূন সংস্থাপিত হয় কোনটিতে?,At placenta,At uterus,At ovary,At oviduct,অমরাতে,জরায়ুতে,ডিম্বাশয়ে,ডিম্বনালীতে,b
"After entrance of HIV in human, how many months it take to revealed the symptom?",HIV সুস্থ দেহে প্রবেশের পর প্রায় কত মাস পরে এইডস রোগের লক্ষণ প্রকাশ পায়?,2,4,6,8,2,4,6,8,c
Palash is very attractive flower with bright orange colour. What type of pollination happen to this flower?,পলাশ একটি উজ্জ্বল কমলা রঙ এর বড় আকর্ষণীয় ফুল। এতে কীসের মাধ্যমে পরাগায়ন ঘটে?,Air,Water,Insect,Animal,বায়ু,পানি,পতঙ্গ,প্রাণী,d
Purine constitue of which bases?,পিউরিন' কোন দুটি বেস এর সমন্বয়ে গঠিত হয়?,Adenine and cytosine,Adenine and guanine,Cytosine and guanine,Guanine and Thymine,এডিনিন ও সাইটোসিন,এডিনিন ও গুয়ানিন,সাইটোসিন ও গুয়ানিন,গুয়ানিন ও থায়ামিন,b
