English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which relation is correct?,নিচের কোন সম্পর্কটি সঠিক ?,I_{1} = I_{2},I_{2} > I_{3},I_{1} + I_{2} = I_{3},I_{1} > I_{3},I_{1} = I_{2},I_{2} > I_{3},I_{1} + I_{2} = I_{3},I_{1} > I_{3},c
Which one is the of conductivity (0)?,পরিবাহকত্ব \sigma এর একক কোনটি?,\Omega m^{-1},\Omega m,\Omega^{-1}m,\Omega^{-1}m^{-1},\Omega m^{-1},\Omega m,\Omega^{-1}m,\Omega^{-1}m^{-1},d
What is rheostat?,রিওস্টেট কী?,Circuit breaker,Variable resistance,Fuse,capacitor,সার্কিট ব্রেকার,পরিবর্তী রোধ,ফিউজ,ধারক,b
Which one is the unit of ibrwbaurt of sound?,শব্দের তীব্রতার একক কোনটি?,Nm^{-2},Hz,Wm^{-2},Nm,Nm^{-2},Hz,Wm^{-2},Nm,c
What type of motion is the motion of an electric fan?,বৈদ্যুতিক পাখার গতি কী রকম গতি?,Linear motion,Circular motion,Elliptical motion,Vibratory motion,রৈখিক গতি,ঘূর্ণন গতি,উপবৃত্তাকার গতি,স্পন্দন গতি,b
Which of the following is a vector quantity?,নিচের কোনগুলো ভেক্টর রাশি?,Work and velocity,Displacement and density,Distance and acceleration,Momentum and force,কাজ ও বেগ,সরণ ও ঘনত্ব,দূরত্ব ও ত্বরণ,ভরবেগ ও বল,d
The velocity of a body starting from rest with uniform acceleration is ____ the distance.,স্থির অবস্থান থেকে সমত্বরণে বস্তুর যেকোনো সময়ের বেগ বস্তুর অতিক্রান্ত দূরত্বের-,proportional to,proportional to the square of,inversely proportional to the square of,proportional to the square root of,সমানুপাতিক,বর্গের সমানুপাতিক,বর্গের ব্যস্তানুপাতিক,বর্গমূলের সমানুপাতিক,d
Flow of charge with respected to time is called-,সময়ের সাথে চার্জ প্রবাহের হারকে কী বলে?,potential,electric current,resistance,conductivity,বিভব,তড়িৎ প্রবাহ,রোধ,পরিবাহিতা,b
What is the unit of retardation?,মন্দনের একক কোনটি?,ms^{-2},ms^{-1},kgs^{-1},Kgs^{-2},ms^{-2},ms^{-1},kgs^{-1},Kgs^{-2},a
What is the dimention of power?,ক্ষমতার মাত্রা কোনটি?,MLT^{-2},ML^{-2}T^{2},ML^{2}T^{-2},ML^{2}T^{-3},MLT^{-2},ML^{-2}T^{2},ML^{2}T^{-2},ML^{2}T^{-3},d
What kind of energy is stored if a body is lifted from the earth surface?,একটি বস্তুকে ভূ-পৃষ্ঠ থেকে উপরে উঠালে এর মধ্যে কোন শক্তি জমা থাকে?,Kinetic energy,Potential energy,Heat energy,Chemical energy,গতি শক্তি,বিভব শক্তি,তাপ শক্তি,রাসায়নিক শক্তি,b
If we consider from the viewpoint of quantity most of the energy in the world is converted from which of the following?,পরিমাণের দিক থেকে বিবেচনা করলে পৃথিবীতে সবচেয়ে বেশি শক্তি রূপান্তর হয় নিচের কোনটি থেকে?,Electric energy,Chemical energy,Light energy,Heat energy,তড়িৎ শক্তি,রাসায়নিক শক্তি,আলোক শক্তি,তাপ শক্তি,d
"Length of the object AB = 50 cm, Magnification = 3.
 
 According to the above figure, what is the length of the image?","বস্তুর দৈর্ঘ্য AB = 50 cm, বিবর্ধন = 3.
 
 উপরোক্ত চিত্রে বিম্বের দৈর্ঘ্য কত?",0.1667 cm,1.5 m,15 cm,16.67 m,0.1667 cm,1.5 m,15 cm,16.67 m,b
"Length of the object AB = 50 cm, Magnification = 3.
 
 Which of the following is correct in case of image of the object AB?","বস্তুর দৈর্ঘ্য AB = 50 cm, বিবর্ধন = 3.
 
 AB বস্তুটির প্রতিবিম্বের ক্ষেত্রে নিচের কোনটি সঠিক?",Real and inverted,Real and diminished,Virtual and magnified,Real and upright,বাস্তব ও উল্টো,বাস্তব ও খর্বিত,অবাস্তব ও বিবর্ধিত,বাস্তব ও সোজা,c
"A body of mass m is kept at a height of 20m, 30m, 40m and 50m respectively. From which height, if the body is released then the kinetic energy will be maximum?","m ভরের একটি বস্তু 20 m, 30 m, 40 m, ও 50 m উপরের রাখা হলো। কোনো অবস্থান থেকে বস্তুটি ছেড়ে দিলে গতিশক্তি সবচেয়ে বেশি হবে?",20m,30m,40m,50m,20m,30m,40m,50m,d
"In case of measurement-
 i. relative error = \frac{Absolute error}{Measured value}
 ii. Vernier constant = \frac{Smallest division of main scale}{Total divisions of Vemier scale}
 iii. least count = \frac{Total divisions of circular scale}{Pitch}
 Which one is correct?","পরিমাপের ক্ষেত্রে-
 i. আপেক্ষিক ত্রুটি = \frac{চূড়ান্ত ত্রুটি}{পরিমাপ করা মান}
 ii. ভার্নিয়ার ধ্রুবক = \frac{প্রধান স্কেলের ক্ষুদ্রতম 1 ঘরের মান}{ভার্নিয়ার স্কেলে মোট ভাগ সংখ্যা}
 iii. লঘিষ্ঠ গণন = \frac{বৃতাকার স্কেলের ভাগ সংখ্যা}{পিচ}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i and ii,i and iii,ii and iii,"i, ii and iii",a
"Two persons of masses 40kg and 80kg are running with a velocity 8ms"" and 4ms respectively. Which of the following is correct in case of the two persons?",40kg ও 80kg ভরের দু'জন ব্যক্তি যথাক্রমে 8ms^{-1} ও 4ms^{-1} বেগে দৌড়াচ্ছে। দুজনের ক্ষেত্রে নিচের কোনটি সঠিক?,The kinetic energy of the 1st person is half of the 2nd person,The kinetic energy of the 1st person is four times of the 2nd person,The kinetic energy of the 1st person is,The kinetic energy of the 2nd person is twice of the 1st person,১ম ব্যক্তির গতিশক্তি দ্বিতীয় ব্যক্তির অর্ধেক,১ম ব্যক্তির গতিশক্তি দ্বিতীয় ব্যক্তির চারগুণ,১ম ব্যক্তির গতিশক্তি দ্বিতীয় ব্যক্তির দ্বিগুণ,দ্বিতীয় ব্যক্তির গতিশক্তি ১ম ব্যক্তির দ্বিগুণ,c
What is the wavelength of visible light of human eye?,মানুষের দৃশ্যমান আলোর তরঙ্গ দৈর্ঘ্য কত?,Less than 400 nm,More than 700 nm,400 nm to 600 nm,400 nm to 700 nm,400 nm এর নিচে,700 nm এর বেশি,400 nm থেকে 600 nm,400 nm থেকে 700 nm,d
Which colour of light has the lowest wavelength?,কোন আলোর তরঙ্গদৈর্ঘ্য সবচেয়ে কম?,Red,Blue,Violet,Yellow,লাল,নীল,বেগুনি,হলুদ,c
"The characteristics of the image formed in a plane mirror-
 i. image is virtual and erect
 ii. image is virtual and equal to the object
 iii. the distance between the mirror and image is half of the distance between the mirror and the object
 Which one is correct?","সমতল দর্পনে সৃষ্ট প্রতিবিম্বের বৈশিষ্ট্য-
 i. বিশ্ব অবাস্তব ও সোজা
 ii. বিম্ব অবাস্তব ও সমান দৈর্ঘ্যের
 iii. দর্পণ থেকে বস্তুর দূরত্ব যত, দর্পণ থেকে বিম্বের দূরত্ব তার অর্ধেক
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i and ii,i and iii,ii and iii,"i, ii and iii",a
Where convex mirrors are used?,উত্তল দর্পণ কোথায় ব্যবহৃত হয়?,Cars,Radar,Solar oven,Torch light,গাড়িতে,রাডারে,সৌর চুল্লিতে,টর্চ লাইটে,a
Which of the following is the most of conductivity?,নিচের কোনটির পরিবাহিতা সবচেয়ে বেশি?,Copper,Silver,Gold,Graphite,তামা,রূপা,সোনা,গ্রাফাইট,d
Which of the following relation is correct?,নিচের কোন সম্পর্কটি সঠিক?,V = \frac{R}{I},R = \rho \frac{A}{L},\rho = R.\frac{A}{L},A = \frac{R\rho}{L},V = \frac{R}{I},R = \rho \frac{A}{L},\rho = R.\frac{A}{L},A = \frac{R\rho}{L},c
"60W is written on a bulb of 220V.
 
 What amount of electric current is following through the bulb?","220V এর বাল্বের 60W লেখা আছে ।
 
 বাল্বটিতে কী পরিমাণ তড়িৎ প্রবাহিত হচ্ছে?",0.27 a,3.67a,27 a,36.7a,0.27 a,3.67a,27 a,36.7a,a
"60W is written on a bulb of 220V.
 
 The price of each unit is Tk. 10. How much will be the electric bill for the month of January if the bulb is used for 5 hours everyday?","220V এর বাল্বের 60W লেখা আছে ।
 
 প্রতি ইউনিটের মূল্য 10 টাকা। প্রতিদিন 5 ঘন্টা করে বাল্বটি জ্বালালে জানুয়ারি মাসের বিদ্যুৎ বিল কত টাকা হবে?",Tk. 93,Tk. 92,Tk. 91,Tk. 90,93 টাকা,92 টাকা,91 টাকা,90 টাকা,a
"In case of potential difference, resistance and electric currect -
 i. the less the value of potential difference, the less will be the value of electric current
 ii. if the value of potential difference is negative then the direction of electric current will change
 iii. if the resistance is high, the flow of electricity will be low
 Which one is correct?","বিভব পার্থক্য, রোধ, তড়িৎ প্রবাহের ক্ষেত্রে-
 i. যত কম বিভব পার্থক্য তত কম বিদ্যুৎ প্রবাহ
 ii. বিভব পার্থক্য নেগেটিভ হলে বিদ্যুৎ প্রবাহ দিক পরিবর্তন করবে
 iii. রোধ বেশি হলে বিদ্যুৎ প্রবাহ কম হবে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i and ii,i and iii,ii and iii,"i, ii and iii",d
What is called the displacement of screw gauge?,স্ক্রু-গজের স্ক্রুয়ের সরণকে কী বলে?,Error,Least count,Vemicr constant,Pitch,যান্ত্রিক ত্রুটি,লঘিষ্ঠ গণন,ভার্নিয়ার ধ্রুবক,পিচ,d
Which one of the following is the multiple of force and velocity?,নিচের কোনটি বল ও বেগের গুনফল?,Work,Energy,Power,Momentum,কাজ,শক্তি,ক্ষমতা,ভরবেগ,c
If a freely falling body travels 50 m in 5 sec then how much time in second will need to travel thr distance of 72 meter?,বিনা বাধায় পড়ন্ত বস্তু 5 সেকেন্ডে 50 মিটার পথ অতিক্রম করলে 72 মিটার পথ অতিক্রম করতে কত সেকেন্ড সময় লাগবে?,6,7.2,9.5,12,6,7.2,9.5,12,a
Which one is the minimum sub-multiple used in S.I unit?,S.I এককে ব্যবহৃত সবচেয়ে ছোট উপসর্গ কোনটি?,Peta,Femto,Nano,Micro,পেটা,ফেমটো,ন্যানো,মাইক্রো,b
"As high as someone goes up from the sea level of the surface-
 i. the weight of atmosphere increases 
 ii. The density of air decreases
 iii.the pressure of air decreases
 Which one is correct?","ভূ-পৃষ্ঠের সমুদ্রে সমতল থেকে যত উপরে উঠা যায়- 
 i. বায়ুমন্ডলের ওজন তত বৃদ্ধি পায় 
 ii. বায়ুর ঘনত্ব তত হ্রাস পায় 
 iii. বায়ুর চাপ তত হ্রাস পায়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which of the following has more conductivity?,নিচের কোনটির পরিবাহকত্ব বেশি?,Copper,Silver,Tungsten,Nichrom,তামা,রুপা,টাংস্টেন,নাইক্রোম,b
If the Vernier constant of any slide calipers is 0.0065 cm then how many divicions are there in ccale? [he smallest divisiom of main scale is 1 mm],কোনা স্লাইড ক্যালিপার্সে ভার্নিয়ার ধ্রুবকের মান 0.005 সেমি হলে ভার্নিয়ার স্কেলের ভাগ সংখ্যা কত? [প্রধান স্কেলের ক্ষুদ্রতম 1 ঘর = 1mm],5,10,20,200,5,10,20,200,c
Which of the following is inconsistent with a concave mirrer?,নিচের কোনটির সাথে অবতল দর্পণের অসম্পৃক্ততা আছে?,View mirror,Dental treatment,Torch light,telescopw,ভিউ মিরর,দাঁত পরীক্ষায়,টর্চ লাইটে,টেলিস্কোপে,a
How much mA of current will cause death to human if it floes through the human heart ?,মানুষের হৃৎপিন্ডের ভিতর দিয়ে কত mA বিদ্যুৎ প্রবাহিত হলে মানুষ মারা যায় ?,240,220,10,1.5,240,220,10,1.5,c
An electric motor of 500w lifted an object of mass 15 kg at height of 20 m in 10 sec. How much energy is wasted?,500W ক্ষমতার একটি তড়িৎ মোটর দ্বারা 10 sec এ একটি 15 kg ভরের বস্তুকে 20 m উচ্চতায় তোলা হলো। শক্তির অপচয় কত ?,2060 J,2940 J500 J,500 J,7500 J,2060 J,2940J,5000 J,75000 J,a
Whic of the following will be unchanged if the time is increased during the propagation of wave in different medium?,তরঙ্গে ভিন্ন ভিন্ন মাধ্যমের ভিতর দিয়ে যাওয়ার সময় নিচের কোনটি অপরিবর্তিত থাকে?,Wave length,Wave velocity,wave speed,Frequency,তরঙ্গদৈর্ঘ্য,তরঙ্গ বেগ,তরঙ্গ দ্রতি,কম্পাঙ্ক,d
The resultant of which force is zero?,কোন বলের লব্ধি শূন্য হয় ?,Balanced force,Unbalanced force,Tactile force,Non tactile force,সাম্যবল,অসাম্যবল,স্পর্শবল,অস্পর্শ বল,a
What is called the rate of change of distance?,অতিক্রান্ত দুরত্ব পরিবর্তনের হারকে কী বলে?,Displacement,Velocity,Speed,Acceleration,সরণ,বেগ,দ্রুতি,ত্বরণ,c
"Keeping the flow of courrent unchanged if the time is increased then the flow of current will be-
 i. increased 
 ii. decreased
 iii.unchanged
 Which one is correct?","পরিবাহীর আধান প্রবাহ অপরিবর্তিত রেখে সময় বৃদ্ধি করলে তড়িৎ প্রবাহ- 
 I. বৃদ্ধি পাবে 
 II. হ্রাস পাবে 
 III. অপরিবর্তিত থাকবে
 নিচের কোনটি সঠিক?",i,ii,i and ii,ii and iii,i,ii,i ও ii,"i, ii ও iii",b
"The reason of illumunated of the whole house is - 
 i.regular reflection 
 ii. Total internal reflection
 iii.irregular reflaction
 Which one is correct?","সম্পূর্ণ ঘর আলোকিত হওয়ার কারণ- 
 I. নিয়মিত প্রতিফলণ 
 II. পূর্ণ অভ্যন্তরীন প্রতিফলণ 
 III. ব্যপ্ত প্রতিফলণ
 নিচের কোনটি সঠিক?",i,ii,iii,"i, ii and iii",i,ii,iii,"i, ii ও iii",c
Which has the minimum elasticity?,কোনটির স্থিতিস্থাপকতা সবচেয়ে কম ?,Bone,wood,Glass,Aluminium,হাড়,কাঠ,কাচ,অ্যালুমিনিয়াম,a
Which musical instrument is made with the flow of air?,বাতাসের প্রবাহ দিয়ে তৈরি বাদ্যযন্ত্র কোনটি ?,Violin,Harmonium,Setar,Drums,বেহালা,হারমোনিয়াম,সেতার,ঢোল,b
Light eenergy is converted into ehich energy tor photoelectric effect on photograpfic plate?,ফটোগ্রাফিক প্লেটের উপর আলোক ক্রিয়ার ফলে আলোক শক্তি কোন শক্তিতে রূপান্তরিত হয়?,Elecrical energy,Sound energy,Mechanical energy,Cdhemecal energy,তড়িৎ শক্তি,শব্দ শক্তি,যান্ত্রিক শক্তি,রাসায়নিক শক্তি,d
Which one is the weakest force among the fundamental forces ?,মৌলিক বলগুলোর মধ্যে সবথেকে দুর্বল বল কোনটি?,Gravitational force,Electromagnetic force amd weak nuclear force,Weak nuclear force,strong nuclear force amd weak nuclear force,মহাকর্ষ বল,তড়িৎ চৌম্বক বল,দুর্বল নিউক্লীয় বল,সবল নিউক্লীয় বল,a
Which one is the source of the renewable energy?,নবায়নযোগ্য শক্তির উৎস কোনটি?,Gas,Coal,Nuclear,Geothermal,গ্যাস,কয়লা,নিউক্লিয়ার,জিওথার্মাল,d
"The repulsive force is - 
 i. gravitational force 
 ii. Magnetic force
 iii. Electrical force 
 Which one is correct?","বিকর্ষণধর্মী বল হচ্ছে-
 i. মহাকর্ষীয় বল
 ii. চৌম্বক বল
 iii. তড়িৎ বল
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
What is the dimenesion of acceleration?,ত্বরণের মাত্রা কোনটি?,LT^{-1},LT^{-2},L^{2}T^{-1},L^{2}T^{-2},LT^{-1},LT^{-2},L^{2}T^{-1},L^{2}T^{-2},b
"Which force will feel a marble, if it goes through glycerin?",একটি মার্বেল গ্লিসারিনের মধ্য দিয়ে গেলে কোন বল অনুভব করে?,Static friction,sliding griction,Rolling friction,Fluid friction,স্থিতি ঘর্ষণ,গতি ঘর্ষণ,আবর্ত ঘর্ষণ,প্রবাহী ঘর্ষণ,d
for safe and perfect driving which is the most necessary ?,নিখুঁত ও নিরাপদ গাড়ি চালানোর জন্য কোনটি সর্বাপেক্ষা প্রয়োজনীয়?,Cleanung the glasses of car,using pertol as fuel,Properly adjust the mirror,Keep the light on all the time,গাড়ির কাচ পরিষ্কার করা,জ্বালানী হিসেবে পেট্রোল ব্যবহার করা,দর্পণগুলো ঠিকমত উপযোজন করা,সবসময় বাতি জ্বালিয়ে রাখা,c
Which one is used as the fuel in nuclear reactor ?,নিউক্লিয়ার রি-অ্যাকটরে জ্বালানি হিসেবে নিচের কোনটি ব্যবহার করা হয়?,Neutron,Lrypton,Barium,Uranium,নিউট্রন,ক্রিপটন,বেরিয়াম,ইউরেনিয়াম,d
What is the density of human body?,মানবদেহের ঘনত্ব কত?,0.25 gm/cc,0.45 gm/cc,0.99 gm/cc,2.60 gm/cc,0.25 gm/cc,0.45 gm/cc,0.99 gm/cc,2.60 gm/cc,c
"In nuclear rector - 
 i. there is control rod
 ii. huge amunt of heat energy is radiated 
 iii.uranium is used as fuel
 Which one is correct?","মানবদেহের ঘনত্ব কত?
 i. কন্ট্রোল রড থাকে
 ii. বিপুল পরিমাণ তাপ শক্তি নির্গত হয়
 iii. জ্বালানি হিসেবে ইউরেনিয়াম ব্যবহৃত হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the unit of intensity of sound ?,শব্দের তীব্রতার একক কোনটি?,s^{-1},Hz,ms^{-1},Wm^{-2},s^{-1},Hz,ms^{-1},Wm^{-2},d
What is the Young's modulus of copper ?,তামার ইয়াং মডুলাস কত?,50 G-Pa,69 G-Pa,1176 G-Pa,200 G-Pa,50 G-Pa,69 G-Pa,1176 G-Pa,200 G-Pa,c
what is the second law of falling body?,পড়ন্ত বস্তুর দ্বিতীয় সূত্র কোনটি?,v \propto t,v \propto g,h \propto t,h \propto t^{2},v \propto t,v \propto g,h \propto t,h \propto t^{2},a
"the front part of pin is sharp- 
 i. to increase the pressure 
 ii. To increase the force 
 iii. To get more mechanical advantage 
 Which one is correct?","পেরেকের অগ্রভাগে সূঁচালো হয়-
 i. চাপ বাড়ানোর জন্য
 ii. বল বাড়ানোর জন্য
 iii. যান্ত্রিক সুবিধা বেশি পাওয়ার জন্য
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"The length of a conducting wire is 2 m, cross sectional area 6 \times 10^{8}m^{2} and resisitivity 1.68 \times 10^{8} \Omega-m. What is the resistance?","একটি পরিবাহী তারের দৈর্ঘ্য 2 m, প্রস্থচ্ছেদের ক্ষেত্রফল 6 \times 10^{8}m^{2} এবং রোধকত্ব 1.68 \times 10^{8} \Omega-m হলে তারের রোধ কত ওহম?",0.056\Omega,0.56\Omega,1.78\Omega,3.57\Omega,0.056\Omega,0.56\Omega,1.78\Omega,3.57\Omega,b
the specific resistance of which one is less?,কোনটির আপেক্ষিক রোধ কম?,Copper,Graphite,Silver,Gold,তাঁমা,গ্রাফাইট,রুপা,সোনা,c
Which one of the following is vector quantity?,নিচের কোনটি ভেক্টর রাশি?,Displacement,distance,Time,Speed,সরণ,দূরত্ব,সময়,দ্রুতি,a
In which way \frac{1}{2} mv^{2} can be written?,\frac{1}{2} mv^{2} কে নিচের কোন রূপে লেখা যায়?,mu^{2} + W,\frac{1}{2} mu^{2} + 2W,\frac{1}{2} mu^{2} + W,\frac{1}{2}mu^{2} + \frac{1}{2}W,mu^{2} + W,\frac{1}{2} mu^{2} + 2W,\frac{1}{2} mu^{2} + W,\frac{1}{2}mu^{2} + \frac{1}{2}W,c
"Main scale reading is 12mm, Vernier concides 7 and Vernier constant is 0.10min. What will be result?","প্রধান স্কেলের পাঠ 12 mm, ভার্নিয়ার সমপাতন 7 এবং ভার্নিয়ার ধ্রুবক 0.10 mm হলে পাঠ কত?",1.27mni,12.7cm,1.27cm,1.29 mm,1.27mm,12.7cm,1.27cm,1.29 mm,c
"In screw gauge, the number of circular divisions is 'a', the least constant is 'b' and the pitch is 'c'. Which one is correct?","একটি স্ক্রুগজের বৃত্তাকার স্কেলের ভাগসংখ্যা a, ন্যূনাঙ্ক b এবং স্ক্রুর পিচ c হলে নিচের কোনটি সঠিক?",abc = 1,c = ab,a = bc,b = ac,abc = 1,c = ab,a = bc,b = ac,b
An object moves 10m in straight path and come back 4m along the same path. What is the difference between distance and displacement?,একটি বস্তু সরল পথে 10 m অগ্রসর হয়ে সেখান থেকে একই পথে 4 m ফিরে এলো। দূরত্ব ও সরণের পার্থক্য কত?,4m,6m,8m,14m,4m,6m,8m,14m,c
The velocity of a body moving with uniform acceleration increases from 4ms^{-1} to 8ms^{-1} in 2 sec. What will be the velocity of the body after 4 sec?,সুষম ত্বরণে চলমান কোনো বস্তুর বেগ 2 s এ 4ms^{-1} হতে বৃদ্ধি পেয়ে 8ms^{-1} হলে 4 s পর বস্তুটির বেগ কত হবে?,12ms^{-1},16ms^{-1},20ms^{-1},24ms^{-1},12ms^{-1},16ms^{-1},20ms^{-1},24ms^{-1},a
"If velocity doesn't change (u = v), then the equation of displacement-
 i.s = ut + \frac{1}{2} at^{2}
 ii. S = \left ( \frac{u + v}{2} \right ) t
 iii. s = vt
 Which one is correct?","যদি বেগের পরিবর্তন না হয় (u = v), তাহলে অতিক্রান্ত দূরত্বের সমীকরণ-
 i.s = ut + \frac{1}{2} at^{2}
 ii. S = \left ( \frac{u + v}{2} \right ) t
 iii. s = vt
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i and ii,i and iii,ii and iii,"i, ii and iii",b
If one ampere electric current flows for one second then what is called the amount of charge?,এক সেকেন্ডে এক অ্যাম্পিয়ার বিদ্যুৎ প্রবাহ করতে যে পরিমাণ চার্জ প্রবাহিত হয় তাকে কী বলে?,One ampere,One volt,One ohm,One coulomb,এক অ্যাম্পিয়ার,এক ভোল্ট,এক ও'ম,এক কুলম্ব,d
"If 10C charge flows in 5 sec, what will be electric current?",5 সেকেন্ড সময়ে 10 C চার্জ প্রবাহিত হলে বিদ্যুৎ প্রবাহ কত?,0.5 A,2A,SA,10A,0.5 A,2A,SA,10A,b
"After cutting a hollow glass sphere of diameter of 40cm a spherical mirror is made by coating on outside with silver. A body is placed at a distance of 15cm from the centre of reflecting surface.
 
 What is the focal length of that spherical mirror?","40 সে.মি. ব্যাসের একটি ফাঁপা কাচের গোলককে কেটে বাইরের পৃষ্ঠে রূপার প্রলেপ লাগিয়ে গোলীয় আয়না তৈরি করে এর প্রতিফলক পৃষ্ঠের কেন্দ্রবিন্দু থেকে 15 সে.মি. দূরে বস্তু রাখা হলো।
 
 গোলীয় আয়নার ফোকাস দূরত্ব কত?",40cm,20cm,15cm,10cm,40 সে.মি.,20 সে.মি.,15 সে.মি.,10 সে.মি.,d
"After cutting a hollow glass sphere of diameter of 40cm a spherical mirror is made by coating on outside with silver. A body is placed at a distance of 15cm from the centre of reflecting surface.
 
 The image formed mirror- 
 i. real
 ii. inverted
 iii. at 30cm distance
 Which one is correct?","40 সে.মি. ব্যাসের একটি ফাঁপা কাচের গোলককে কেটে বাইরের পৃষ্ঠে রূপার প্রলেপ লাগিয়ে গোলীয় আয়না তৈরি করে এর প্রতিফলক পৃষ্ঠের কেন্দ্রবিন্দু থেকে 15 সে.মি. দূরে বস্তু রাখা হলো।
 
 আয়নায় গঠিত প্রতিবিম্বটি হবে-
 i. বাস্তব
 ii. উলটো
 iii. 30 সে.মি. দূরে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i and ii,i and iii,ii and iii,"i, ii and iii",d
"If 10% energy is wasted in every step, what is the efficiency in 2 steps?",প্রত্যেকটি ধাপে 10% শক্তি অপচয় হলে দুই ধাপে কর্মদক্ষতা কত?,90%,81%,80%,20%,90%,81%,80%,20%,b
What is resistance of dry skin of human beings?,শুকনো অবস্থায় মানুষের চামড়ার রোধ কত?,3Κ\Omega - 20Κ\Omega,3Κ\Omega – 30Κ\Omega,3Κ\Omega - 40Κ\Omega,3Κ\Omega - 50Κ\Omega,3Κ\Omega - 20Κ\Omega,3Κ\Omega – 30Κ\Omega,3Κ\Omega - 40Κ\Omega,3Κ\Omega - 50Κ\Omega,d
Which one is the scalar quantity?,কোনটি স্কেলার রাশি?,Velocity,Speed,Displacement,Acceleration,বেগ,দ্রুতি,সরণ,ত্বরণ,b
Which of the following substance has more conductivity?,নিচের কোনটির পরিবাহকত্ব বেশি?,Air,Diamond,Graphite,Gold,বাতাস,হীরা,গ্রাফাইট,সোনা,d
From how many square kilometer area about 5000 MW heat energy can be found from the sun as light?,কত বর্গ কি.মি. এলাকায় সূর্যের আলো থেকে তাপ হিসেবে প্রায় 5000 MW শক্তি পাওয়া যাবে?,5,500,1000,5000,5,500,1000,5000,a
Which one of the folloiwng is the unit of energy?,নিচে্র কোনটি শক্তির একক?,kgms^{-1},Kgm^{2}s,Kgm^{2}s^{-2},Jkg^{-1}K^{-1},kgms^{-1},Kgm^{2}s,Kgm^{2}s^{-2},Jkg^{-1}K^{-1},c
In thermocouple applying heat at the junction of two different metals which energy can be produced directly?,থার্মোকাপলে দুটি ভিন্ন ধাতব পদার্থের সংযোগস্থলে তাপ প্রদান করে সরাসরি কোন শক্তি উৎপাদন করা যায়?,Mechanical energy,Light energy,Electrical energy,Geothermal energy,যান্ত্রিক শক্তি,আলোক শক্তি,বিদ্যুৎ শক্তি,ভূতাপীয় শক্তি,c
At what angle two normal mirrors should be kept due to left and right unchanged image?,সাধারণ আয়নায় প্রতিবিম্ব ডান-বাম অবিকৃত রাখতে হলে দুটি আয়নাকে কত কোণে রাখতে হবে?,30\degree,45\degree,60\degree,90\degree,30\degree,45\degree,60\degree,90\degree,d
In which color the sensitivity of eyes is maximum?,কোন আলোতে চোখের সংবেদনশীলতা সবচেয়ে বেশি?,Blue,Violet,Green,Red,নীল,বেগুনি,সবুজ,লাল,c
"If the third line of Vernier scale concides with the thirteenth line of the main scale, what will be the Vernier reading?","ভার্নিয়ার স্কেলের 3 নং দাগটি মূল স্কেলের 13 নং দাগের সাথে মিলে যায়, ভার্নিয়ার সমপাতন কত হবে?",3,10,13,16,3,10,13,16,a
What is indicated by the symbol (\dashv \vdash),\dashv \vdash চিহ্নটি নিচের কোনটি নির্দেশ করে?,Battery,Cell,Capacitor,Disconnected wire,ব্যাটারী,কোষ,ধারক,সংযোগহীন তার,c
In case of a spherical mirror the linear magnification is 0.5 and the length of the object is 2m. What will be the length of the image?,কোনো গোলীয় দর্পণে রৈখিক বিবর্ধন 0.5 এবং বস্তুর দৈর্ঘ্য 2 m হলে বিম্বের দৈর্ঘ্য কত হবে?,0.5m,1m,2m,4m,0.5m,1m,2m,4m,b
If 100kg mass is lifted at height 10m in 15 sec using a motor of 1kW then how much energy will be lost?,1 kW মোটর ব্যবহার করে 15 s এ 100 kg ভরের বস্তুকে 10 m উপরে তোলা হলে শক্তির অপচয় কত?,9800J,5200J,1500J,1000J,9800J,5200J,1500J,1000J,b
"Without considering the circular motion of the wheel of a car, straight advancement of the car is called-",ঘূর্ণায়মান চাকা বিবেচনায় না আনলে সোজা পথে এগিয়ে যাওয়া একটি গাড়ির গতি-,translational motion,circular motion,periodic motion,simple oscillatory motion,চলন গতি,ঘূর্ণন গতি,পর্যায়বৃত্ত গতি,সরল স্পন্দন গতি,a
