English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"Infections of human's respiratory system are-
 i.pneumonia
 ii.leukemia
 iii.emphysema
 Which one is correct?","মানুষের শ্বাসতন্ত্রসংক্রান্ত নোগ -
 i. নিউমোনিয়া
 ii. লিউকোমিয়া
 iii. এফাইসেমা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
"During inspiration -
 i.diaphragm moves down
 ii. Intercostal muscle constricted
 iii.ribs moves upward
 Which one is correct?","প্রশ্বাস ক্রিয়ার সময়-
 i. ডায়াফ্রাম ম্নিগামী হয়
 ii. ইন্টারকোস্টাল পেশি সংকুচিত হয়
 iii. পর্শুকাগুলো উপরের দিকে উত্তোলিত হয়
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
"Muscles that helps in hand movement-
i. biceps muscle
ii. triceps muscle
iii. deltoid muscle
Which one is correct?","হাতের সঞ্চালনে যে পেশি সহায়তা করে-
 i. বাইসপস পেশি
 ii. ট্রাইসেপস পেশি
 iii. ডেলটয়েড পেশি
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which one is not the exception of Mendel's First Law?,মেন্ডেলের প্রথম সূত্রের ব্যতিক্রম নয় কোনটি?,Incomplete dominance,Lethal gene,Complementary gene,Codominance,অস্টিম্পূর্ণ প্রকটতা,ঘাতক জিন,পরিপূরক জিন,সমপ্রকটতা,c
"Human pectoral girdle consists of-
 i. one pair of scapulla
 ii. One pair of manubrium
 iii. One pair of clavicle
 Which one is correct?","মানুষের বক্ষ অস্থিচক্র গঠিত হয়-
 i. একজোড়া স্ক্যাগুলা নিয়ে
 ii. একজোড়া ম্যনুব্রিয়াম নিয়ে
 iii. একজোড়া ক্ল্যাভিকল নিয়ে
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Who is the father of Genetics?,বংশগতি বিদ্যার জনক কে?,Charles Robert Darwin,Jean Baptiste de Lamarck,G.Johann Mendel,"J, Gregor mendel",চার্লস রবার্ট ডারউইন,জ্যাঁ ব্যাপটিস্ট দ্যা ল্যামার্ক,গ্রেগর জোহান মেন্ডেল,জে. গ্রেগর মেন্ডেল,c
Which is protein metabolic enzyme?,কোনটি আমিষ পরিপাককারী এনজাইম?,Amylase,Maltase,Collaginage,Lipase,অ্যামাইলেজ,মল্টেজ,কোলাজিনেজ,লাইপেজ,c
Why is 13:3 instead of 9:3:3:1?,কেন ৯ : ৩ : ৩ : ১ : না হয়ে ১৩:৩ হয়েছে?,Duplicate recessive epistasis,Epistasis,Polygene,Lethal gene,দ্বৈত প্রচ্ছন্ন এপিস্ট্যাসিস,এপিস্ট্যাসিস,পলিজিন,লিথাল জিন,b
Skulo consist of how many bones?,করোটিতে কতটি অস্থি আছে?,29,36,31,35,২৯টি,৩০টি,৩১টি,৩৫টি,a
"The characteristicls of Arthropoda phyum are-
 i.trachea present
 ii. Malpighian tubules present
 iii. Water vascular system absent","Athropoda পর্বের বৈশিষ্ট্য হলো-
 i. এদের ট্রাকিয়া থাকে
 ii. ম্যালপিজিয়ান নালিকা থাকে
 iii. পানি সংবহনতনত্র থাকে না
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
Which is the correctd sequence of metamorphosis of Grasshopper?,ঘাসফড়িং এর রূপান্তরের সঠিক ক্রম কোনটি?,Egg→Nymph→Adult animal,Egg→Larva→Pupa→Image,Egg→Pupa→Adult animal,Egg→Larva→Nymph→Adult animal,ডিম \rightarrow নিস্ফ \rightarrow পূর্ণাঙ্গ প্রাণী,ডিম \rightarrow লার্ভা পিউপা \rightarrow ইমাগো,ডিম \rightarrow পিউপা \rightarrow পূর্ণাঙ্গ প্রাণী,ডিম \rightarrow লার্ভা \rightarrow নিস্ফ \rightarrow পূর্ণাঙ্গ প্রাণী,a
Which is secreted from the pancreas,অগ্ন্যাশয় থেকে নিঃসৃত হরমোন কোনটি?,Insulim and Oxytocin,Somatostatin and Dopamine,Glucagon and Oxytocin,Insulin and Glucagon,ইনসুলিন ও অক্সিটোসিন,সোমাটোস্ট্যাটিন ও ডোপামিন,গ্লুকাগন ও অক্সিটোসিন,ইনসুলিন ও গ্লুকাগন,d
Who first introduced the word 'Genetics'-,সর্বপ্রথম 'Genetics' শব্দ কে প্রচলন করেন?,Mendel,Carl Correns,William Bateson,Hugo de vries,মেন্ডেল,কার্ল করেন্স,উইলিয়াম বেটসন,হুগো দ্যা ভ্রিস,c
What locomotion does hudra perform to cover long distance?,Hydra লম্বা দূরত্ব অতিক্রম করার জন্য কোন চলন সম্পন্ন করে?,Somersaulting,Gliding,Crawling,Looping,সমারসন্টিং,গ্লাইডিং,ক্রলিং,লুপিং,d
"Right ventricle→Pulmonary artery→Lung
 It is included of what kind of circulation?",ডান ভেট্রিকল \rightarrow পালমোনারি ধমনি \rightarrow ফুসফুস এটি কোন ধরনের সংবহনের অন্তর্ভূক্ত?,Pulmonary,Systemic,Hepatic portal,Coronary,পালমোনারি,সিস্টেমিক,হেপাটিক পোর্টাল,করোনারি,a
"When Ruhani went for a walk in a red and green coloured dress,she met Sohani . Sohani could not identify the colour of Ruhani's dress.
 What is the problem of Sohani?","রুহানী লাল ও সবুজ রঙের ড্রেস পরে বেড়াতে গেলে সোহানীর সাথে দেখা হলো। সোহানী রুহানীর ড্রেসের রঙ শনাক্ত করতে পারেনি।
 
 সোহানীর সমস্যাটি কী?",Christmass disease,Colour blindness,Muscular dydtrophy,Brachyphalangy,ক্রিস্টমাস ডিজিজ,বর্ণান্ধতা,মাসক্যুলার ডিস্ট্রফি,ব্রাকিফ্যালাঞ্জি,b
"When Ruhani went for a walk in a red and green coloured dress,she met Sohani . Sohani could not identify the colour of Ruhani's dress.
Shoani's Problem is-
 i. conrolled by a recessive gene
 ii. Due to the possibility of blood clots
 iii.not be able to understand the traffic signal
 Which one is correct?","রুহানী লাল ও সবুজ রঙের ড্রেস পরে বেড়াতে গেলে সোহানীর সাথে দেখা হলো। সোহানী রুহানীর ড্রেসের রঙ শনাক্ত করতে পারেনি।
 
 সোহানীর সমস্যাটি -
 i. একটি প্রচ্ছন্ন জিন নিয়ন্ত্রিত 
 ii. এর কারণে রক্ত জমাট বেঁধে যাওয়ার সম্ভাবনা আছে
 iii. এর কারণে ট্রাফিক সিগনাল বুঝতে না পারা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Dorsal fin absent in which of the following animal?,নিচের কোন প্রাণীতে পৃষ্ঠ পাখনা অনুপস্থিত?,Hagfish,Lamprey,Shark,Lung fish,হাগফিশ,ল্যামপ্রে,হাঙর,লাংফিশ,a
Placoid' scales are found in which class of animal?,প্লাকয়েড' আঁইশ পাওয়া যায় কোন শ্রেণিভুক্ত প্রাণীতে?,Actinopterygii,Satcopterygii,Chodrichthyes,Amphibia,Actinopetrygii,Sarcopetrygii,Chondrichthyes,Amphibia,c
How much second of the systole of atrium?,অ্যাট্রিয়াসের সিস্টেলের সময়কাল কত সেকেন্ড?,0.7,0.5,0.3,0.1,0.7,0.5,0.3,0.1,d
Which cell remain in the matrix of bone?,অ্যাস্থির মাতৃকায় কোন কোষ থাকে?,Osteoblast and Osteocyte,Osteoblast and Chondrocite,Chondrocyte and Osteocyte,Chondromucoid and Chondroalbunoid,অস্টিওব্লাস্ট ও অস্টিও সাইট,অস্টিওব্লাস্ট ও কন্ড্রোসাইট,কন্ড্রোসাইট ও অস্টিও সাইট,কন্ড্রোমিউকয়েড ও কন্ড্রোঅ্যালবুনয়েড,a
"The function of basophil is-
 i. to secrete histamin
 ii.to work against allergies of body
 iii. To secrete heparin
 Which one is correct?","বেসোফিলর কাজ হচ্ছে-
 i. হিস্টামিন নিঃসৃত করা
 ii. দেহের অ্যালার্জির বিরুদ্ধে কাজ করা
 iii. হেপারিন নিঃসৃত করা 
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Which bone has jugular notch?,কোন অস্থিতে জুগুলার নচ থাকে?,Humerous,Sternum,Scapula,Clavicle,হিউমেরাস,স্টার্নাম,স্ক্যাপুলা,ক্ল্যাভিকল,b
"If the father's blood group is AB and the mother's blood group O, what is the probabulity of their children getting parental blood group?",বাবার রক্তের গ্রুপ AB এবং মায়ের রক্তের গ্রুপ O হলে তাদের সন্তানদের মধ্যে পিতা-মাতার রক্তের গ্রুপ হবার সম্ভাবনা কত?,0%,25%,75%,100%,0%,25%,75%,100%,a
"A black man (negro) and a white women got married .But though in F1 generation,all the children had the same skin colour,in F2 generation of different skin colours dhildren were born.
What is the reason for giving birth of different skin coloured children mentioned in the stem?","একজন নিগ্রো ও একজন শ্বেতাঙ্গ মহিলার বিয়ে হলো। কিন্তু F_{1} জনুতে সব সন্তানদের গায়ের বর্ণ একই হলেও F_{2} জনুতে বিভিন্ন গায়ের বর্ণের সন্তান জন্ম নিলো।
 
 উদ্দীপকে বিভিন্ন বর্ণের সন্তান জন্মানোর কারণ কী?",Polygene,Epistasis,subvital gene,Lethal gene,পলিজিন,এপিস্ট্যাসিস,সাব ভাইটাল জিন,লিথাল জিন,a
"The anterior cardinal veins of rui fish collect blood from-
 i.eye ball
 ii.nasal region
 iii.byoid region
 Which one is correct?","সম্মুখ কার্ডিনাল শিরা রুই মাছের যে অঞ্চল হতে রক্ত সংগ্রহ করে -
 i. চক্ষু গোলক
 ii. নাসা অঞ্চল
 iii. হাইওয়েড অঞ্চল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
In which disease the heart becomes enlarged?,কোন রোগে হৃৎপিন্ড বড় হয়ে যায়?,Rheumatic heart disease,Pericarditis,Cardiomyooathy,Cardiomegaly,রিউম্যটিক হৃদরোগ,পেরিকার্ডাইটিস,কার্ডিও মায়োপ্যাথি,কার্ডিও মেগালি,d
"Secretin-
 i.stops the secretion of gastric juice
 ii. Regulates the secretion of pancreatic juice
 iii. Is secreted from the mucosa of the duodenum
 Which one is correct?","সিক্রেটিন-
 i. গ্যাস্ট্রিক রস নিঃসরণ বন্ধ করে
 ii. অগ্ন্যাশয় রস নিঃসরনকে নিয়ন্ত্রন করে
 iii. ডিওডেনামের মিউকোসা থেকে ক্ষরিত হয়
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",c
In which animal does radial cleavage occur?,কোন প্রাণীতে অরীয় ক্লিভেজ ঘটে ?,Grasshopper,Mussel,Earth worm,Snail,ঘাসফড়িং,ঝিনুক,কেঁচো,শামুক,a
"Doctor examined the blood of Mr.Shafiq for the problem of the shortage of blood and said you can taka blood from any healthy person-
Which is the blood group of Mr. Shafiq?","শফিক সাহেবের রক্তাল্পতার সমস্যার জন্য ডাক্তার রক্ত পরীক্ষা করে বললেন, আপনি যেকোনো সুস্থ লোকের রক্ত নিতে পারেন।
 
 শফিক সাহেবের রক্তের গ্রুপ কোনটি?",A,B,AB,O,A,B,AB,O,c
"Doctor examined the blood of Mr.Shafiq for the problem of the shortage of blood and said you can taka blood from any healthy person-
The problem mentioned in the stem is which of the following element is reduced?","শফিক সাহেবের রক্তাল্পতার সমস্যার জন্য ডাক্তার রক্ত পরীক্ষা করে বললেন, আপনি যেকোনো সুস্থ লোকের রক্ত নিতে পারেন।
 
 উদ্দীপকে উল্লেখিত সমস্যা নিম্নের কোন উপাদান কমে গেলে হয়?",Leukocyte,Erythrocyte,Platelets,Heparin,শ্বেত রক্ত কণিকা,লোহিত রক্ত কণিকা,অনুচক্রিকা,হেপারিন,b
Totipotent types cell found in which animal's body?,কোন প্রণীর দেহে টটিপটেন্ট প্রকৃতির কোষ পাওয়া যায়?,Hydra,Labeo,Pila,Poekilocerus,Hydra,Labeo,Pila,Poekilocenrus,a
What kind if locomotion of hydra is called Joka locomotion?,Hydra-র কোন ধরনের চলনকে জোঁকা চলন বলে?,Gliding,Somersaulting,Looping,Waking,গ্লাইডিন,সমারসন্টিং,লুপিং,হাঁটা,c
Which gas absent in the swim bladder of Rui fish?,রুই মাছের পটকাতে কোন গ্যাস থাকে না?,Oxygen,Nitrogen,Hydrogen,Carbon di-oxide,অক্সিজেন,নাইট্রোজেন,হাইড্রোজেন,কার্বন-ডাই-অক্সাইড,c
The centrum of which vertebra is kidney shaped.,কোন কশেরুকার সেন্ট্রাম বৃক্ক আকৃতির?,Cervical,Thoracic,Lumber,Sacrum,সারভাইকাল,থোরাসিক,লাম্বার,স্যক্রাম,c
How mush second is the duration of diastole in the atrium of the heart?,হৃৎপিন্ডের অলিন্দের ডায়াস্টোলের সময়কাল কত সেকেন্ড?,0.7,0.5,0.3,0.1,0.7,0.5,0.3,0.1,a
In which animal doed occur in retrogressive metamorphosis?,কোন প্রাণীতে প্রতীপ রূপান্তর ঘটে?,Ascidia mentula,Ecsphyrna blochii,Myxine glutinosa,Neoceratodus frosteri,Ascidia mentula,Eusphyrna blochii,Myxine glutinosa,Neoceratiodus frosteri,a
Which part of the sternum of grasshopper's body is prolonged to from a sub-genital plate?,ঘাসফড়িং এর দেহের কত তম খন্ডকের স্টার্নাম প্রলম্বিত হয়ে সাবজেনিটাল প্লেট গঠন করে?,8th,9th,10th,11th,৮ম,৯ম,১০ম,১১তম,b
"The nerves that help in breathing are-
 i. vagus
 ii.phrenic
 iii. Intercostal
 Which one is correct?","শ্বসনে সহায়তাকারী স্নায়ু -
 i. ভেগাস
 ii. ফ্রেনিক
 iii.ইন্টার কোস্টাল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
"In super position image-
 i. dim light is used
 ii. Requires both oblique and longitudinal light
 iii. Forms partly conspicuous image of the separate of vision
 Which one is correct?","সুপার পজিশন প্রতিবিম্বে-
 i. মৃদু আলো ব্যবহার হয়
 ii. তির্যক ও উলম্বিত উভয় আলো দরকার
 iii. বস্তুর ভিন্ন ভিন্ন অংশের পৃথক ও সুস্পষ্ট প্রতিবিম্ব তৈরি হয়
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Which part of the respiratory system contains olfactory cell?,শ্বসন তন্ত্রের কোন অংশে অলফ্যাক্টরি কোষ থাকে?,Vestibule,Nasal cavity,Posterior nostrils,Nasopharynx,ভেস্টিবিউল,নাসাগহ্বর,পশ্চাৎ নাসারন্ধ্র,নাসা গলবিল,b
"The respiratory centre of the brain located on-
 i. pons
 ii.cerebellum
 iii.medulla oblongata
 Which one is correct?","শ্বাসকেন্দ্র মস্তিষ্কের যে অংশে থাকে-
 i. পনস
 ii. সেরেবেলাম
 iii. মেডুলা অবলংগাটা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Where goblet cell will be present?,গবলেট কোষ কোথায় থাকে?,Small intestine,Large intestine,Stomach,Liver,ক্ষুদ্রান্ত্র,বৃহদান্ত্র,পাকস্থলি,যকৃৎ,a
"Spiracles-
 i.ten pairs in number
 ii. 1st two pairs located in abdominal segment
 iii.open into atrial cavity
 Which one is correct?","স্পাইরাকল-
 i. সংখ্যায় ১০ জোড়া
 ii. প্রথম ২ জোড়া উদরীয় খন্ডকে অবস্থিত
 iii. অ্যাট্রিয়াল গহ্বর উন্মুক্ত
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
Which animal of the following is called as locust?,নিচের কোন প্রাণীটি পতঙ্গপালভুক্ত?,Butterfly,Honeybee,Dragonfly,Grasshopper,প্রজাপতি,মৌমাছি,ফড়িং,ঘাসফড়িং,d
BMI value a person is 38kg/m2.which class of obesity is he?,একজন ব্যক্তির BMI ৩৮ kg/m^{2}। তিনি স্থূলতার কোন স্তরে আছেন?,Class-1,Class-II,Class-III,Normal class,প্র্রথম স্তর,দ্বিতীয় স্তর,তৃতীয় স্তর,স্বাভাবিক স্তর,b
"White blood cells-
 i.nucleated
 ii.prevent disease
 iii. Contain hemoglobin
 Which one is correct?","শ্বেত রক্ত কণিকা -
 i. নিউক্লিয়াস যুক্ত
 ii. রোগ প্রতিরোধ করে
 iii. হিমোগ্লোবিন যুক্ত
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",a
Which is the analogous organ?,কোনটি সমবৃত্তীয় অঙ্গ?,Fore limb of man and flipper of whales,Fore limb of man and fore limb of horse,Wings of birds and bats,Wings of birds and butterfly,মানুষের হাত ও তিমির ফ্লিপার,মানুষের হাত ও ঘোড়ার সামনের পা,পাখি ও বাদুড়ের ডানা,পাখির ডানা ও প্রজাপতির ডানা,d
Histamine secret from-,হিস্টামিন নিঃসরন করে -,basophil,eosinophil,lymohocyte,monocyte,বেসোফিল,ইউসিনোফিল,লিম্ফোসাইট,মনোসাইট,a
Which is the largest gland in human body?,কোনটি মানবদেহের সব থেকে বড় গ্রন্থি?,Liver,Pancreas,Gastric gland,Intestinal gland,যকৃত,অগ্ন্যাশয়,গ্যাস্ট্রিক গ্রন্থি,আন্ত্রিক গ্রন্থি,a
"There is a leaf like organ present in human digestive system.
 What is the name of the organ mentioned in the stem?","মানবদেহের পরিপাকতন্ত্রে পাতার মতো একটি অঙ্গ আছে।
 
 উল্লিখিত অঙ্গটির নাম কী?",Pancreas,Liver,Stomach,Spleen,অগ্ন্যাশয়,যকৃৎ,পাকস্থলি,প্নীহা,a
Which is the example of radial symmetrical animal?,কোনটি অরীয় প্রতিসম প্রাণী?,Insect,Hydra,Star fish,Sponge,কীট-পতঙ্গ,হাইড্রা,তারামাছ,স্পঞ্জ,b
"Which are the parts of the Grasshopper's mouth?
 i.labrum
 ii. Maxilla
 iii.Mandible
 Which one is correct?","কোনগুলো ঘাসফড়িং এর মখোপাঙ্গের অংশ-
 i. ল্যাব্রাম
 ii, ম্যাক্সিলা
 iii. ম্যন্ডিবল
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
In which part of the Ommatidium image will form?,ওমাটিডিয়ামের কোন অংশ প্রতিবিম্ব গঠিত হয়?,Cornia,Crystaline cone,Retinylar,Rahabdome,কর্ণিয়া,ক্রিস্টালাইন কোণ,র‌্য,র‌্যাবডোম,d
How many numbers of paired fins are found in Rui fish?,রুই মাছের জোড় পাখনা কতটি?,1,2,3,4,১টি,২টি,৩টি,৪টি,b
"Rugae are present at the mucosa layer in the internal structure of the stomach of the human body. Gastric glands are in this layer.From this glands secret enzymes, mucus as well as a special type of inorganic acid.
 The enzyme which is secreted from the mentioned part is-","মানবদেহের পাকস্থলির অন্তর্গঠনে মিউকোসা স্তরে রুগি থাকে। এই স্তরে গ্যাস্ট্রিক গ্রন্থি থাকে। এই সব গ্রন্থি হতে এনজাইম, মিউকাসের পাশাপাশি বিশেষ এক ধরনের অজৈব এসিডও ক্ষরিত হয়।
 
 উদ্দীপকে বর্ণিত অংশ হতে ক্ষরিত এনজাইম হলো-",Pepsin,Tripsin,Ptyalim,Maltase,পেপসিন,টায়ালিন,ট্রিপসিন,মল্টেজ,a
"Rugae are present at the mucosa layer in the internal structure of the stomach of the human body. Gastric glands are in this layer.From this glands secret enzymes, mucus as well as a special type of inorganic acid.
The functions of the special type inorganic matter mentioned in the stem is-
 i. to create acidic medium
 ii.to activate inactive enzyme
 iii. Destroys bacteria
 Which one is correct?","মানবদেহের পাকস্থলির অন্তর্গঠনে মিউকোসা স্তরে রুগি থাকে। এই স্তরে গ্যাস্ট্রিক গ্রন্থি থাকে। এই সব গ্রন্থি হতে এনজাইম, মিউকাসের পাশাপাশি বিশেষ এক ধরনের অজৈব এসিডও ক্ষরিত হয়।
 
 উদ্দীপকে উল্লিখিত বিশেষ ধরনের অজৈব বস্তুটির কাজ হলো- 
 i. অম্লীয় মাধ্যম তৈরি করা
 ii. নিষ্ক্রিয় এনজাইমকে সক্রিয় করা
 iii. ব্যকটেরিয়া ধ্বংস করা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
"A student of class XII,Kabir's height is 1.75 meter and weight is 87 km.
 According to the stem Kabir's level of obesity is-","দ্বাদশ শ্রেণির ছাত্র কবিরের উচ্চতা ১.৭৫ মিটার এবং ওজন ৮৭ কেজি।
 
 উদ্দীপকে অনুসরে কবিরের স্বাস্থ্যগত শ্রেণি-",Class I obesity,over weight,class II obesity,normal weight,১ম শ্রেনির স্থূলতা,অতিরিক্ত ওজন,২য় শে্রণির স্থূলতা,স্বাভাবিক,b
"A student of class XII,Kabir's height is 1.75 meter and weight is 87 km.
The cause of the condition in the person mentioned in the stem is-
 i.genetic
 ii. Lifestyle of family
 iii.sleeplessness
 Which one is correct?","দ্বাদশ শ্রেণির ছাত্র কবিরের উচ্চতা ১.৭৫ মিটার এবং ওজন ৮৭ কেজি।
 
 উদ্দীপকে উল্লেখিত ব্যক্তির এ অবস্থার কারন-
 i. জিনগত
 ii. পারিবারিক জীবন যাত্রা
 iii. নিদ্রাহীনতা
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
The main fin of Rui which helps to locomotion is-,রুই মাছের চলাচলে সাহায্যকারী প্রধান পাখনা হলো -,pectoral fin,pelvic fin,caudal fin,anal fin,বক্ষ পাখনা,শ্রোণি পাখনা,পুচ্ছ পাখনা,পায়ু পাখনা,c
Which river is also known as a fish mine' rich in natural gene banks?,কোন নদীকে প্রাকৃতিক জিন ব্যাংক সমৃদ্ধ 'মৎস্যখনি' বলা হয়?,Surma,Jamuna,Karnaphuli,Halda,সুরমা,কর্ণফুলী,যমুনা,হালদা,d
Which blood corpuscle secrets Histamine?,কোন রক্তকণিকা থেকে হিস্টামিন ক্ষরিত হয়?,Basophil,Neutrophil,Eosinophil,monocyte,বেসোফিল,নিউট্রোফিল,ইও সিনোফিল,মনোসাইট,a
In which animal is sex -determinated XX-Xomethod?,XX-XO পদ্ধতিতে লিঙ্গ নির্ধারণ করা হয় কোন প্রাণীতে,Grasshopper,Drosophila,Guineapig,Man,ঘাসফড়িং,গ্রসফিল,গিনিপিগ,মানুষ,a
"Milk protein + water\xrightarrow[]{Renin}Paracaesin\overset{'A'}{\rightarrow}pepton
 From which 'cell' secretes the active enzyme at the 'A' marked place of the stem?","দুগ্ধ প্রোটিন + পানি \xrightarrow{রেনিন} প্যারাকেসিন \xrightarrow{A} পেপটোন
 
 উদ্দীপকের A চিহ্নিত স্থানে ক্রিয়াশীল এনজাইমটি ক্ষরিত হয় কোন কোষ থেকে?",Zymogenic,Argentaffin,Mucous,parietal,জাইমুজেনিক,আর্জেন্টাফিন,মিউকাস,প্যারাইটাল,a
Gregor Johann Mendel was born in which country?,গ্রেগর জোহান মেন্ডেল কোন দেশে জন্মগ্রহণ করেন?,France,Italy,England,Austria,ফ্রান্স,ইংল্যান্ড,ইতালি,অস্ট্রিয়া,d
Homologous organs are-,সমবৃত্তি অঙ্গ হল-,"birds wing,bats wing","birds wing,butterflies wing","birds wing,human hand","birds wing,forelimb of cat","পাখির ডানা, বাদুড়ের ডানা","পাখির ডানা, প্রজাপতির ডানা","পাখির ডানা, মানুষের হাত","পাখির ডানা, বিড়ালের অগ্রপদ",b
LamarcK's doctrine based on how may principle?,ল্যামার্ক মতবাদটি কতটি নীতির উপর প্রতিষ্ঠিত?,2,3,4,5,2,3,4,5,c
In which clan of animal venous heart is found?,ভেনাস হার্ট পাওয়া যায় নিচের কোন শ্রেণির প্রাণীদের মধ্যে?,Actinopterygii,Amphibia,Reptilia,Mammalia,Actinopterygii,Amphibia,Reptilia,Mammalia,a
Which is the correct one?,নিচের কোনটি সঠিক?,Parapodia→Mollusca,Radual→Arthropoda,Sponogocoel→Porifera,Notochord→Echinodermata,প্যারাপোডিয়া \rightarrow Mollusca,র‌্যাডুলা \rightarrow Arthropoda,স্পঞ্জোসিল \rightarrow Porifera,নটোকর্ড \rightarrow Echinodermata,c
"The part of stomodaeum is-
 i. crop
 ii.mesenteron
 iii.gizzard
 Which one is correct?","স্টোমোডিয়ামের অংশ হলো-
 i. ক্রপ
 ii. মেসেন্টেরন
 iii. গিজার্ভ
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"I,ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",b
The subclavian artery supplies blood in which organ of the Rui fish?,সাবক্লাভিয়ান ধমনি রুই মাছের কোন অঙ্গে রক্ত সরবরাহ করে?,Stomach,Liver,Prctoral fin,Pancreas,পাকস্থলি,যকৃত,বক্ষ পাখনা,অগ্ন্যাশয়,c
The characteristics of the class sarcopterygii is-,শ্রেণি শারচপ্তের‍্যগিই- এর বৈশিষ্ট্য হলো-,cndoskeleton cartilagenous,air bladder vascularized,heteroccrcal tail,placoid scale,অন্তঃ কঙ্কাল তরুণাস্থিময়,বায়ু পটকা রক্ত জালক সমৃদ্ধিময়,জে হেটারোসার্কাল,আঁইশ প্লাকয়েড,b
"Sabina learnt about a special organ of the insect that is named after the scientist Malpighi.
 The organ described in the strem is part of which system?","সাবিনা পতঙ্গের একটি বিশেষ অঙ্গ সম্পর্কে জানলো যার নামকরণ বিজ্ঞানী 'Malpighi' এর নাম অনুসারে করা হয়েছে।
 
 উদ্দীপকে বর্ণিত অঙ্গটি কোন তন্ত্রের অংশ?",Digestive,Excretory,Respiratory,Blood circularoty,পরিপাক,রেচন,শ্বসন,রক্ত সংবহন,b
"Sabina learnt about a special organ of the insect that is named after the scientist Malpighi.
The function of the mentioned organ in the stem is-
 i.collect nitrogrnous waste products
 ii.re-absorption potassium bicarbonate
 iii. Osmoregulation
 Which one is correct?","সাবিনা পতঙ্গের একটি বিশেষ অঙ্গ সম্পর্কে জানলো যার নামকরণ বিজ্ঞানী 'Malpighi' এর নাম অনুসারে করা হয়েছে।
 
 উদ্দীপকে বর্ণিত অঙ্গটির কাজ হলো-
 i. নাইট্রোজেন ঘটিত বর্জ্য সংগ্রহ
 ii. পটাশিয়াম বাই কার্বোনেট
 iii. অসমোরেগুলেশন
 নিচের কোনটি সঠিক?",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
"The function of the bile is-
 i.emulsification
 ii. Activation of lipas
 iii. Creating basic media in intestine
 Which one is correct?","পিত্ত রসের কাজ হলো-
 i. ইমালসিফিকেশন
 ii. লাইপেজ সক্রিয়করণ
 iii. অন্ত্রে ক্ষারীয় মাধ্যম সৃষ্টি
 নিচের কোনটি সঠিক?”",i & ii,i & iii,ii & iii,"i, ii & iii",i ও ii,i ও iii,ii ও iii,"i, ii, ও iii",d
