English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"A carnot's engine receives 800 J of heat from a source at 327\degree C and release heat to a sink at 127\degree C. Later the temperature of the sink is raised to 227\degree C.
What is the work done by the engine?","একটি কার্নো ইঞ্জিন 327\degree C তাপমাত্রায় 800 J তাপ গ্রহণ করে 127\degree C তাপমাত্রায় তাপগ্রাহকে তাপ বর্জন করে। পরবর্তীতে তাপ গ্রাহকের তাপমাত্রা 227\degree C এ উন্নীত করা হয়।
 
 ইঞ্জিন কর্তৃক সম্পাদিত কাজ হবে-",250 J,267 J,500 J,800 J,250 J,267 J,500 J,800 J,b
"A carnot's engine receives 800 J of heat from a source at 327\degree C and release heat to a sink at 127\degree C. Later the temperature of the sink is raised to 227\degree C.
 
 The efficiency compared to previous efficiency will be-","একটি কার্নো ইঞ্জিন 327\degree C তাপমাত্রায় 800 J তাপ গ্রহণ করে 127\degree C তাপমাত্রায় তাপগ্রাহকে তাপ বর্জন করে। পরবর্তীতে তাপ গ্রাহকের তাপমাত্রা 227\degree C এ উন্নীত করা হয়।
 
 পরবর্তী অবস্থায় দক্ষতা পূর্বের-",half,equal,double,triple,অর্ধেক,সমান,দ্বিগুণ,তিনগুণ,a
The phase difference between two points on the same wave front is-,একই তরঙ্গমুখে অবস্থিত যেকোনো দুটি বিন্দুর মধ্যে দশা পার্থক্য হবে-,3\frac{\pi}{2},\pi,\frac{\pi}{2},0,3\frac{\pi}{2},\pi,\frac{\pi}{2},0,d
The electric meter in a house is labelled as '15A - 220V'. How many 60W bulbs can be used in that house safely?,একটি বাড়ির মেইন মিটারে 15A-220V চিহ্নিত করা আছে। 60W এর কতটি বাতি ঐ বাড়িতে নিরাপদে ব্যবহার করতে পারবে?,22,33,44,55,22,33,44,55,d
At absolute zero temperature a semi-conductor behaves as a-,পরমশূন্য তাপমাত্রায় অর্থ পরিবাহীর আচরণ নিচের কোনটির অনুরূপ হবে?,good conductor,semi-conductor,super conductor,non-conductor,সুপরিবাহী,অর্ধ পরিবাহী,অতিপরিবাহী,অপরিবাহী,d
Which one exchange among system and environment in an open system?,উন্মুক্ত সিস্টেমে সিস্টেম ও পরিবেশের মধ্যে আদান-প্রদান হয় কোনটি?,Mass and momentum,Momentum and energy,Mass and energy,Mass pressure,ভর ও ভরবেগ,ভরবেগ ও শক্তি,ভর ও শক্তি,ভর ও চাপ,c
"For keeping unchange the volume if some heat provide in a gas then in this gas-
 i. increase pressure
 ii. increase kinetic energy
 iii. increase temperature
 Which one is correct?","আয়তন অপরিবর্তিত রেখে কোনো গ্যাস যদি কিছু তাপ প্রয়োগ করা হয়, তাহলে ঐ গ্যাসের ক্ষেত্রে-
 i. চাপ বৃদ্ধি পায়
 ii. গতিশক্তি বৃদ্ধি পায়
 iii. তাপমাত্রা বৃদ্ধি পায়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one is the unit of permitivity constant?,পরাবৈদ্যুতিক ধ্রুবকের একক কোনটি?,C^{2}N^{-2}m^{-1},C^{2}N^{-1}m^{-1},C^{2}N^{-1}m^{-2},Unitless,C^{2}N^{-2}m^{-1},C^{2}N^{-1}m^{-1},C^{2}N^{-1}m^{-2},একক বিহীন,d
How much angle create between electric field and uniform potential surface?,সমবিভব তল ও তড়িৎ ক্ষেত্রের মধ্যবর্তী কোণ কত ডিগ্রী?,0 \degree,45 \degree,90 \degree,180 \degree,0\degree,45\degree,90\degree,180\degree,c
Which one is the change of entropy from higher temperature T_{1} to lower temperature T_{2} of an object of mass 'm' and specific heat 's'?,m ভরের এবং s আপেক্ষিক তাপের কোনো বস্তুর উচ্চ তাপমাত্রা T_{1} থেকে নিম্ন তাপমাত্রার T_{2} তে পরিবর্তিত হলে এর এনট্রপির পরিবর্তন হবে কোনটি?,ms (ln T_{2} - ln T_{1}),ms (ln T_{1} - ln T_{2}),ms ln(T_{2} - T_{1}),ms ln(T_{1} - T_{2}),ms (ln T_{2} - ln T_{1}),ms (ln T_{1} - ln T_{2}),ms ln(T_{2} - T_{1}),ms ln(T_{1} - T_{2}),a
By how much the resistance of the wire increase if it is streched three times while keeping the temperature constant?,তাপমাত্রা স্থির রেখে একটি তারকে টেনে 3 গুণ করা হলে রোধ কত গুণ হবে?,Unchanged,3,9,27,অপরিবর্তিত,3,9,27,c
Which one is correct for changing Galvanometer to Ammeter?,গ্যালভানোমিটারকে অ্যামিটারে রূপান্তরের ক্ষেত্রে কোনটি সঠিক?,Conncect high values resistance in parallel,Connect high values resistance in series,Connect low values resistance in parallel,Conncect law values resistance in series,বেশি মানের রোধ সমান্তরালে যুক্ত করতে হয়,বেশি মানের রোধ শ্রেণিতে যুক্ত করতে হয়,স্বল্প মানের রোধ সমান্তরালে যুক্ত করতে হয়,স্বল্প মানের রোধ শ্রেণিতে যুক্ত করতে হয়,c
How much resistance of the bulb when 25W-200V writen in the bulb?,"একটি বৈদ্যুতিক বাল্বে 25 W - 200 V লেখা থাকলে, বাল্বটির রোধ কত?",1600 \Omega,8 \Omega,0.125 \Omega,6.25 \times 10^{4} \Omega,1600 \Omega,8 \Omega,0.125 \Omega,6.25 \times 10^{-4} \Omega,a
What is the value of \beta when \alpha = 0.9 in a transistor?,একটি ট্রানজিস্টরের ক্ষেত্রে \alpha = 0.9 হলে \beta কত হবে?,0.11,0.47,2.11,9,0.11,0.47,2.11,9,d
For a fission reaction _{92}^{235}\textrm{U} + _{0}^{1}\textrm{n} \rightarrow _{56}^{141}\textrm{Ba} + _{36}^{92}\textrm{Kr} + energy + ?,একটি ফিশন বিক্রিয়ায় _{92}^{235}\textrm{U} + _{0}^{1}\textrm{n} \rightarrow _{56}^{141}\textrm{Ba} + _{36}^{92}\textrm{Kr} + শক্তি + ?,Two neutrons,Three neutrons,Two protons,Three protons,দুটি নিউট্রন,তিনটি নিউট্রন,দুটি প্রোটন,তিনটি প্রোটন,b
What is the value of rydberg constant?,রিডবার্গ ধ্রুবকের মান কত?,1.097 \times 10^{7} m^{-1},1.097m^{-1},0.097m^{-1},1.097 \times 10^{-7}m^{-1},1.097 \times 10^{7} m^{-1},1.097m^{-1},0.097m^{-1},1.097 \times 10^{-7}m^{-1},a
Half life a radioactive element is 5 years. How much of the element will be eroded after 25 years?,কোনো তেজস্ক্রিয় মৌলের অর্ধায়ু 5 বছর। 25 বছর পর মৌলটির কত অংশ ক্ষয়প্রাপ্ত হবে?,3.127 \times 10^{-2},3.198 \times 10^{-1},6.802 \times \10^{-1},9.687 \times 10^{-1},3.127 \times 10^{-2},3.198 \times 10^{-1},6.802 \times \10^{-1},9.687 \times 10^{-1},d
How much mass in kg of a moving electron when it's velocity 0.8C? Rest mass of electron = 9.1 \times 10^{-31} kg.,একটি ইলেক্ট্রন 0.8 c বেগে গতিশীল হলে এর চলমান ভর কত kg? ইলেক্ট্রনের নিশ্চল ভর = 9.1 \times 10^{-31} kg,9.1 \times 10^{-31},14.22 \times 10^{-31},15.17 \times 10^{-31},32.76 \times 10^{-31},9.1 \times 10^{-31},14.22 \times 10^{-31},15.17 \times 10^{-31},32.76 \times 10^{-31},c
"For photon's-
 i. rest mass zero
 ii. energy h\upsilon
 iii. velocity 3 \times 10^{8} ms^{-1}
 Which one is correct?","ফোটনের ক্ষেত্রে-
 i. স্থির ভর শূন্য
 ii. শক্তি h\upsilon
 iii. বেগ 3 \times 10^{8} ms^{-1}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"For a Young's double slit experiment, a dark fringe create by the superposition of two waves. Which one is the phase difference of that point of these waves (n consider as a integer)?",ইয়ং এর দ্বিচিড় পরীক্ষায় দুটি তরঙ্গের উপরিপাতনের ফলে পর্দায় কোনো বিন্দুতে অন্ধকার ডোরা উৎপন্ন হলো। ঐ বিন্দুতে তরঙ্গদ্বয়ের মধ্যে দশা পার্থক্য (n পূর্ণসংখ্যা বিবেচনা করে) হলো নিম্নরূপ কোনটি?,2\pi n,2\pi n + \frac{\pi}{4},2\pi n + \frac{\pi}{2},2n\pi + \pi,2\pi n,2\pi n + \frac{\pi}{4},2\pi n + \frac{\pi}{2},2n\pi + \pi,d
What type of change is coming in the breath of the fringe when distance between slits becomes half and distance between slit to screen three times in Young's double slits experiment?,ইয়ং এর দ্বিচিড় পরীক্ষায় চিড়গুলোর মধ্যবর্তী দূরত্ব অর্ধেক এবং চিড় থেকে পর্দার দূরত্ব তিনগুণ করা হলে ডোরা প্রস্থের কীরূপ পরিবর্তন হবে?,Unchange,Will be 6 times,Will be 3 times,Will be 2 times,অপরিবর্তিত,6 গুণ হবে,3 গুণ হবে,2 গুণ হবে,b
"With the helps of Huygen's principle-
 i. refraction
 ii. reflection
 iii. polarization
 Which one is correct?","হাইগেন্‌স এর নীতির সাহায্যে ব্যাখ্যা করা যায়-
 i. প্রতিসরণ
 ii. প্রতিফলন
 iii. সমবর্তন
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
What is the relation between distance and electric intensity of an electric dipole moment?,একটি তড়িৎ দ্বিমেরুর ক্ষেত্রে দূরত্বের সাথে তড়িৎ প্রাবল্য কীরূপ সম্পর্কিত?,E \propto \frac{1}{r},E \propto \frac{1}{r^{2}},E \propto \frac{1}{r^{3}},E \propto \frac{1}{r^{4}},E \propto \frac{1}{r},E \propto \frac{1}{r^{2}},E \propto \frac{1}{r^{3}},E \propto \frac{1}{r^{4}},c
What is the nature of light rays and wave front is fresnel class of diffraction?,ফ্রেনেল শ্রেণির অপবর্তনে আলোকরশ্মি ও তরঙ্গমুখ কীরূপ হয়?,Convergent and spherical,Divergent and spherical,Parallel and plane,Parallel and cylindrical,অভিসারী ও গোলীয়,অপসারী ও গোলীয়,সমান্তরাল ও সমতল,সমান্তরাল ও বেলনাকৃতি,b
How much the equivalent energy in ev of mass 1 amu (1.66 \times 10^{-27} kg)?,1 amu (1.66 \times 10^{-27} kg) ভরের সমতুল্য শক্তি কত eV?,9.338 \times 10^{8},9.338 \times 10^{6},3.113,1.494 \times 10^{-10},9.338 \times 10^{8},9.338 \times 10^{6},3.113,1.494 \times 10^{-10},a
"Radioactivity-
 i. is a nuclear phenomenon
 ii. is a spontaneous phenomenon
 iii. is depending on the atomic number of the element
 Which one is correct?","তেজস্ক্রিয়তা-
 i. একটি নিউক্লিয় ঘটনা
 ii. একটি স্বতঃস্ফূর্ত
 iii. মৌলের পারমাণবিক সংখ্যার উপর নির্ভরশীল
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
What is the energy gap between conduction band valence band of silicon?,সিলিকনের জন্য যোজন ব্যান্ড ও পরিবহন ব্যান্ডের মধ্যে শক্তি ব্যবধান থাকে কোনটি?,0.3 ev,0.7 ev,1.1 ev,6 ev,0.3 eV,0.7 eV,1.1 eV,6 eV,c
The lengths of two conductive wires made of same material are 3m and 6m respectively and radius are 1 cm and 0.5 cm respectively. What is the ratio of specific resistance of these wires?,একই উপাদানে তৈরি দুটি পরিবাহী তারের দৈর্ঘ্য যথাক্রমে 3 m ও 6 m এবং ব্যাসার্ধ যথাক্রমে 1 cm ও 0.5 cm এদের আপেক্ষিক রোধের অনুপাত কত?,1 : 8,1 : 4,1 : 1,4 : 1,1:8,1:4,1:1,4:1,c
The protential barrier voltage for Si is-,Si এর জন্য বিভব বাধা ভোল্টেজের মান-,0.1 V,0.3 V,0.4 V,0.7 V,0.1 V,0.3 V,0.4 V,0.7 V,d
"The current i is obtained from a series combination of n number of cells of electromotive force E, (Internal resistance of cell is r and external resistance of circuit is R) then-",n সংখ্যক E তড়িচ্চালক বলের কোষকে শ্রেণিতে যুক্ত করলে প্রবাহ i হবে (কোষের আভ্যন্তরীণ রোধ r ও বহিঃবর্তনীর রোধ R) ।,i = \frac{nE}{R + nr},i = \frac{nE}{nR + r},i = \frac{nE}{nR + nr},i = \frac{nE}{R + \frac{r}{n}},i = \frac{nE}{R + nr},i = \frac{nE}{nR + r},i = \frac{nE}{nR + nr},i = \frac{nE}{R + \frac{r}{n}},a
The universal gate is-,সার্বজনীন গেইট হলো-,AND,NAND,OR,NOT,AND,NAND,OR,NOT,b
The length of a rocket having light speed will be-,আলোর দ্রুতিতে গতিশীল একটি রকেটের দৈর্ঘ্য হবে-,half,Zero,double,infinity,অর্ধেক,শূন্য,দ্বিগুণ,অসীম,b
"If the absorbed heat from the foodstuff preserved in the chamber of a refrigerator is Q_{2} and the released heat to the environment is Q_{1}, then the value of co-efficient of performance K is-",রেফ্রিজারেটর প্রকোষ্ঠে রক্ষিত খাদ্যদ্রব্য হতে গৃহীত তাপ Q_{2} এবং পরিবেশে বর্জিত তাপ Q_{1} হলে কার্যসহগ K এর মান হল-,K = \frac{Q_{1}}{Q_{2} - Q_{1}},K = \frac{Q_{1}}{Q_{1} - Q_{2}},K = \frac{Q_{2}}{Q_{1} - Q_{2}},K = \frac{Q_{2}}{Q_{2} - Q_{1}},K = \frac{Q_{1}}{Q_{2} - Q_{1}},K = \frac{Q_{1}}{Q_{1} - Q_{2}},K = \frac{Q_{2}}{Q_{1} - Q_{2}},K = \frac{Q_{2}}{Q_{2} - Q_{1}},c
In surgery to make instruments germ free-,শল্য চিকিৎসায় ব্যবহৃত যন্ত্রপাতি জীবাণুমুক্ত করতে ব্যবহৃত হয়-,X-ray,Ultraviolet ray,Gamma rays,infrared ray,এক্স-রে,অতিবেগুনী রশ্মি,গামা-রে,অবলোহিত রশ্মি,b
"The working substance at the second phase of Carnot's cycle-
 i. absorb heat
 ii. have decrease of pressure
 iii. have decrease of temperature
 Which one is correct?","কার্নো চক্রের দ্বিতীয় ধাপে কার্যনির্বাহক বস্তুর-
 i. তাপের শোষণ ঘটে
 ii. চাপ হ্রাস পায়
 iii. তাপমাত্রা হ্রাস পায়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
The unit for Poynting Vector is-,পয়েন্টিং ভেক্টরের একক কোনটি?,Wm^{-1},Wm^{-2},Wm^{-1} s^{-1},Wm^{-2} s^{-1},Wm^{-1},Wm^{-2},Wm^{-1} s^{-1},Wm^{-2} s^{-1},b
The ratio of moving length to the stationery length of a rocket is 1:3. The velocity of the rocket is-,কোনো রকেটের গতিশীল দৈর্ঘ্য ও স্থির দৈর্ঘ্যের অনুপাত 1 : 3 । রকেটের বেগ হল-,0.94 \times 10^{8} ms^{-1},1.73 \times 10^{8} ms^{-1},2.65 \times 10^{8} ms^{-1},2.83 \times 10^{8} ms^{-1},0.94 \times 10^{8} ms^{-1},1.73 \times 10^{8} ms^{-1},2.65 \times 10^{8} ms^{-1},2.83 \times 10^{8} ms^{-1},d
To make n-type semiconductor which impurities are added in intrinsic semiconductor?,বিশুদ্ধ অর্ধ-পরিবাহীতে কোন অপদ্রব্য মেশালে n টাইপ অর্ধ-পরিবাহী তৈরি হয়?,As,Ga,B,Al,As,Ga,B,Al,a
"U_[1} and U_{2} are the internal energy of two objects of temperature T_{1} and T_{2} respectively where T_{1} > T_{2}.
 Which of the following occurs if the two objects came to thermal equilibrium is an isolated system?",T_{1} ও T_{2} তাপমাত্রার দুটি বস্তুর অভ্যন্তরীণ শক্তি যথাক্রমে U_{1} ও U_{2}; যেখানে T_{1} > T_{2} । বিচ্ছিন্ন সিস্টেমে বস্তুদ্বয় তাপীয় সাম্যবস্থায় আসলে নিচের কোনটি ঘটে?,"U_{1} increases, U_{2} decreases","U_{1} decreases, U_{2} increases","U_{1} increases, U_{2} decreases","U_{1} decreases, U_{2} decreases",U_{1} বৃদ্ধি U_{2} হ্রাস,U_{1} হ্রাস U_{2} বৃদ্ধি,U_{1} বৃদ্ধি U_{2} বৃদ্ধি,U_{1} হ্রাস U_{2} হ্রাস,b
Accelerated reference frame is called-,ত্বরণযুক্ত প্রসঙ্গ কাঠামোকে বলে-,Galilean reference frame,Inertial reference frame,Non-inertial reference frame,Newtonian reference frame,গ্যালিলিও প্রসঙ্গে কাঠামো,জড় প্রসঙ্গে কাঠামো,অজড় প্রসঙ্গ কাঠামো,নিউটনীয় প্রসঙ্গ কাঠামো,c
A shunt of magnitude S is connected parallel to a Galvanometer of resistance R and the shunt current becomes double of galvanometer current. The relation between R and S is-,R রোধের কোনো গ্যালভানোমিটারের সমান্তরাল S মানের সাল্ট ব্যবহার করলে সান্টের প্রবাহ গ্যালভানোমিটার প্রবাহের দ্বিগুণ হয়। R ও S এর সম্পর্ক হলো-,S = 4R,S = 2R,S = R,S = \frac{R}{2},S = 4R,S = 2R,S = R,S = \frac{R}{2},d
The angle made by incident ray with the wave front is-,আপতিত আলোকরশ্মির তরঙ্গমুখের উৎপন্ন কোণ হলো-,0\degree,45\degree,90\degree,180\degree,0\degree,45\degree,90\degree,180\degree,c
In a common emitter NPN transistor circuit I_{b} = 6 \times 10^{-5} A and I_{E} = 4.38 \times 10^{-3} A. Current gain (\beta) of the circuit is-,কোনো সাধারণ নিঃসারক NPN ট্রানজিস্টর বর্তনীতে I_{b} = 6 \times 10^{-5} A এবং I_{E} = 4.38 \times 10^{-3} A । বর্তনীর প্রবাহ লাভ (\beta) এর মান-,71,72,73,74,71,72,73,74,b
"Inertial frame S^{\prime} is moving at constant velocity v with respect to a inertial frame S. The observers of the both frames determine the speed of light of a lamp as c^{\prime} and c respectively.
 The relation between c^{\prime} and c will be-","S^{\prime} জড় প্রসঙ্গ কাঠামো, S জড় প্রসঙ্গ কাঠামোর সাপেক্ষে v ধ্রুব বেগে গতিশীল। উভয় কাঠামোর পর্যবেক্ষক কোনো বাতির আলোর দ্রুতি নির্ণয় করলেন যথাক্রমে c^{\prime} ও c ।
 c^{\prime} ও c এর সম্পর্ক হবে-",c^{\prime} = c,c^{\prime} = c - v,c^{\prime} = c + v,c^{\prime} = \frac{c}{\sqrt{1 - v^{2}/c^{2}}},c^{\prime} = c,c^{\prime} = c - v,c^{\prime} = c + v,c^{\prime} = \frac{c}{\sqrt{1 - v^{2}/c^{2}}},a
Which of the following is the value of y for ozone gas?,ওজোন গ্যাসের জন্য \gamma এর মান কোনটি?,1.03,1.33,1.4,1.67,1.03,1.33,1.4,1.67,b
Post office box is used to determine which of the following?,পোস্ট অফিস বক্স নিচের কোনটি নির্ণয়ে ব্যবহৃত হয়?,Drift velocity,Electromotive force,Resistance,Reserve the file of post office,তাড়ন বেগ,তড়িৎ চালক বল,রোধ,ডাকঘরের নথি সংরক্ষণ,c
"Due to superposition of two light wave alternate bright and dark state is produced.
 The phenomenon is called-",দুটি আলোক রশ্মির উপরিপাতনের ফলে উজ্জ্বল ও অন্ধকার অবস্থা সৃষ্টির ঘটনাকে বলে-,Reflection,Refraction,spectrum,interference,প্রতিফলন,প্রতিসরণ,বর্ণালি,ব্যতিচার,d
For which of the following there is no energy gap between valence bond and conduction bond?,যোজন ব্যান্ড এবং পরিবহণ ব্যান্ডের মধ্যে কোনো ফাঁকা থাকে না নিচের কোনটিতে?,Silicon,Germanium,Ceramic,Copper,সিলিকন,জার্মেনিয়াম,সিরামিক,তামা,d
Characteristics of N-type semi-conductor-,একটি N টাইপ অর্ধ-পরিবাহীর বৈশিষ্ট্য হলো-,it is negatively charged,it contains more protone in it,number of holes is more,it is charge neutral,একটি ঋণাত্মক চার্জগ্রস্থ,এতে প্রোটনের আধিক্য থাকে,হোলের পরিমাণ বেশি থাকে,এটি আধান নিরপেক্ষ,d
A system absorbs 1500J heat from environment and 300J work is done on the system. What is the change of internal energy?,কোন ব্যবস্থা পরিবেশ থেকে 1500 জুল তাপ শোষণ করে এবং ব্যবস্থার উপর 300 জুল কাজ সম্পাদিত হয়। ব্যবস্থাটির অভ্যন্তরীণ শক্তির পরিবর্তন কত?,1200 J,- 1200 J,1800 J,- 1800 J,1200 জুল,- 1200 জুল,1800 জুল,- 1800 জুল,c
"For a conductor specific resistance depends of-
 i. length
 ii. temperature
 iii. material
 Which one is correct?","আপেক্ষিক রোধ নির্ভর করে পরিবাহীর-
 i. দৈর্ঘ্যের উপর
 ii. তাপমাত্রার উপর
 iii. উপাদানের উপর
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Two resistance of 20\Oemga and 30\Omega are connected in left and right gaps respectively of a meterbridge. What is the distance of neutral point from the left end?,একটি মিটার ব্রীজের বাম ও ডান ফাঁকে যথাক্রমে 20 \Omega এবং 30 \Omega রোধ যুক্ত রয়েছে। বাম প্রান্ত হতে কত দূরে সাম্য বিন্দু পাওয়া যাবে?,30 cm,40 cm,50 cm,60 cm,30 cm,40 cm,50 cm,60 cm,b
What is the frequency of an electromagnetic wave whose wavelength is 3500\AA ?,কোনো তড়িৎ চুম্বকীয় তরঙ্গের তরঙ্গদৈর্ঘ্য 3500 \AA হলে এর কম্পাংক কত?,6.5 \times 10^{14} Hz,7.57 \times 10^{15} Hz,8.57 \times 10^{14} Hz,9.67 \times 10^{14} Hz,6.5 \times 10^{14} Hz,7.57 \times 10^{15} Hz,8.57 \times 10^{14} Hz,9.67 \times 10^{14} Hz,c
What is the length of a meter scale moving with velocity 0.5C?,0.5 c বেগে গতিশীল একটি মিটার স্কেলের দৈর্ঘ্য কত হবে?,200 cm,115.47 cm,100 cm,86.6 cm,200 cm,115.47 cm,100 cm,86.6 cm,d
The emitter and base current of a transistor are 25 mA and 7 mA respectively- What is the value of collector current?,একটি ট্রানজিস্টরের নিঃসারক প্রবাহের মান 25 mA এবং ভূমি প্রবাহের মান 7 mA হলে সংগ্রাহক প্রবাহের মান কত?,32 mA,18 mA,3.2 mA,3 mA,32 mA,18 mA,3.2 mA,3 mA,b
"In case of Galilean transformation-
 i. time is not depended on observer
 ii. equations of Newtonian Mechanies remain in same form
 iii. electro-magnetic equations remain in same form
 Which one is correct?","গ্যালিলিও রূপান্তরে-
 i. সময় পর্যবেক্ষণ নির্ভর নয়
 ii. নিউটনিয়ান বলবিদ্যার সমীকরণের রূপ অপরিবর্তিত থাকে
 iii. তড়িৎ চুম্বকীয় সমীকরণের রূপ অপরিবর্তিত থাকে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"If the velocity of a particles of stationary mass m_{0} is \frac{C}{\sqrt{2}}, Then its momentum-",m_{0} স্থির ভরসম্পন্ন কণার বেগ \frac{c}{\sqrt{2}} হলে এর ভরবেগ-,\frac{1}{\sqrt{2}} m_{0}c,\frac{1}{2} m_{0}c,m_{0}c,2 m_{0}c,\frac{1}{\sqrt{2}} m_{0}c,\frac{1}{2} m_{0}c,m_{0}c,2 m_{0}c,c
"In case of adiabatic compression-
 i. heat is absorbed
 ii. work is done on the system
 iii. temperature of the system increases
 Which one is correct?","রুদ্ধতাপীয় সংকোচনের ক্ষেত্রে-
 i. তাপ শোষিত হয়
 ii. সিস্টেমের উপর কার্য সম্পাদিত হয়
 iii. সিস্টেমের তাপমাত্রা বৃদ্ধি হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
Which one of the following is demonstrated by Young's double slit experiment?,ইয়ং-এর দ্বিচি পরীক্ষা দ্বারা নিচের কোনটি প্রদর্শিত হয়?,Diffraction,Polarization,interference,Travels of light in straight line,অপবর্তন,সমবর্তন,ব্যতিচার,আলোর সরল পথে চলা,c
Laws of reflection and refraction can be proved by which of the following?,আলোর প্রতিফলন এবং প্রতিসরণের সূত্র প্রমাণ করা যায়-,Huygen's principle,Young's double slit experiment,Grating,Prism,হাইগেনস এর নীতির সাহায্যে,দ্বিচিড় পরীক্ষার সাহায্যে,গ্রেটিং এর সাহায্যে,প্রিজমের সাহায্যে,a
Which one of the following is not connect in case of Carnot's engine?,কার্নোর ইঞ্জিনের ক্ষেত্রে নিচের কোনটি সঠিক নয়?,Changes isothermally,Changes adiabatically,Temperature of source changes,Temperature of link does not change,সমোষ্ণ পরিবর্তন ঘটে,রুদ্ধতাপীয় পরিবর্তন ঘটে,তাপ উৎসের তাপমাত্রার পরিবর্তন হয়,তাপ গ্রাহকের তাপমাত্রার পরিবর্তন হয় না,c
Mathematical form of second law of thermodynamics-,তাপগতিবিদ্যার দ্বিতীয় সূত্রের গাণিতিক রূপ-,dQ = TdS,dQ = \frac{dS}{T},W = JH,dQ = dU + dW,dQ = TdS,dQ = \frac{dS}{T},W = JH,dQ = dU + dW,a
Concept of thermometer can be observed from which of the following Laws of thermodynamics?,থার্মোমিটার এর ধারণা পাওয়া যায় তাপগতিবিদ্যার কোন সূত্র হতে?,Zeroth,First,Second,Third,শূন্যতম,প্রথম,দ্বিতীয়,তৃতীয়,a
Which one of the following can be used as swith?,সুইচ হিসেবে ব্যবহার করা যায় নিচের কোনটি?,Resistor,Inductor,Diod,Transistor,রোধক,আবেশক,ডায়োড,ট্রানজিস্টর,d
What is the right fundamental equation of thermometry in the below?,থার্মোমিতির মূল সমীকরণ নিচের কোনটি?,\frac{N}{\theta - \theta_{ice}} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}},\frac{\theta - \theta_{ice}}{N} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}},\frac{N}{\theta - \theta_{ice}} = \frac{X_{steam} - X_{ice}{X_{\theta} - X_{ice}}},\frac{\theta - \theta_{ice}}{N} = \frac{X_{steam} - X_{ice}}{X_{\theta} - X_{ice}},\frac{N}{\theta - \theta_{ice}} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}},\frac{\theta - \theta_{ice}}{N} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}},\frac{N}{\theta - \theta_{ice}} = \frac{X_{steam} - X_{ice}{X_{\theta} - X_{ice}}},\frac{\theta - \theta_{ice}}{N} = \frac{X_{steam} - X_{ice}}{X_{\theta} - X_{ice}},b
"X \xarrowright{\beta} Y \xarrowright{\alpha} Z \xrightarrow{\gamma} M
 [Where \alpha , \beta and \gamma are the emitted particles from X, Y and Z elements respectively. The mass number of the element M is 210 and its atomic number is 82.]
 
 What is the atomic number of the elementry?","X \xarrowright{\beta} Y \xarrowright{\alpha} Z \xrightarrow{\gamma} M
 [এখানে, \alpha , \beta ও \gamma যথাক্রমে X, Y ও Z হতে রশ্মি বিকিরণ বোঝানো হয়েছে। M মৌলের ভরসংখ্যা 210 এবং পারমাণবিক সংখ্যা 82]
 
 Y মৌলের পারমাণবিক সংখ্যা কত?",84,82,80,78,84,82,80,78,a
"X \xarrowright{\beta} Y \xarrowright{\alpha} Z \xrightarrow{\gamma} M
 [Where \alpha , \beta and \gamma are the emitted particles from X, Y and Z elements respectively. The mass number of the element M is 210 and its atomic number is 82.]
 
 X and Y elements of the stem are-","X \xarrowright{\beta} Y \xarrowright{\alpha} Z \xrightarrow{\gamma} M
 [এখানে, \alpha , \beta ও \gamma যথাক্রমে X, Y ও Z হতে রশ্মি বিকিরণ বোঝানো হয়েছে। M মৌলের ভরসংখ্যা 210 এবং পারমাণবিক সংখ্যা 82]
 
 উদ্দীপকের X ও Y মৌল হলো-",Isobar,Isotone,Isotope,Isomer,আইসোবার,আইসোটোন,আইসোটোপ,আইসোমার,a
What is unit of entropy?,এনট্রপির একক কোনটি?,NK^{-1},JK^{-1},JK^{-1} mol^{-1},N^{-1} m^{-2} C^{2},NK^{-1},JK^{-1},JK^{-1} mol^{-1},N^{-1} m^{-2} C^{2},b
