English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
What is the compound profit of TK.500 in 2 years if the rate of profit is TK.5% per snnum?,5% হার মুনাফায় 500 টাকার 2 বছরের চক্রবৃদ্ধি মুনাফা কত?,TK.512.5,TK.51.25,TK.50.75,TK.50.25,512.5 টাকা,51.25 টাকা,50.75 টাকা,50.25 টাকা,b
How many mile is equal to one kilometer?,1 কি.মি. = কত মাইল?,62 mile,61.1 mile,1.61 mile,0.62 mile,62 মাইল,61.1 মাইল,1.61 মাইল,0.62 মাইল,d
What is the volume of a cube having the sides 3cm each?,3 সে.মি বাহুবিশিষ্ট ঘনকের আয়তন কত ঘন সে.মি.?,27cc,18cc,9cc,6cc,27 ঘন সে.মি.,18 ঘন সে.মি.,9 ঘন সে.মি.,6 ঘন সে.মি.,a
"If the length of a reservoir is 3 metres, the breadth is 2 metres and height is 1 metres.How many liters of water are there in the reservoir?","একটি চৌবাচ্চার দৈর্ঘ্য 3 মি., প্রস্থ 2 মি., উচ্চতা 1 মিটার হলে চৌবাচ্চাটিতে কত লিটার পানি ধরে?",6 Litres,60 Litres,600 Litres,6000 Litres,6 লি.,60 লি.,600 লি.,6000 লি.,d
In Greek language hecto means -,গ্রিক ভাষায় হেক্টো অর্থ-,100 times,10 times,one tenth,one hundredth,100 গুণ,10 গুণ,দশমাংশ,শতাংশ,a
"If x - \frac{1}{x} = 5, which one is the value of \left ( s + \frac{1}{x} \right )?","x - \frac{1}{x} = 5 হলে, \left ( s + \frac{1}{x} \right ) এর মান নিচের কোনটি?",\sqrt{21},\sqrt{23},\sqrt{27},\sqrt{29},\sqrt{21},\sqrt{23},\sqrt{27},\sqrt{29},d
"If 4x - 3 = 5, what is the value of 64x^{3} - 27 - 180x?","4x - 3 = 5 হলে, 64x^{3} - 27 - 180x = কত?",25,125,140,305,25,125,140,305,b
Which one is the factor of a^{2} - 2ab + 2b - 1?,a^{2} - 2ab + 2b - 1 এর একটি উৎপাদক-,(a + 1),(a - 1),(a - 2b),(a + 2b),(a + 1),(a - 1),(a - 2b),(a + 2b),b
"For the two expressions of x^{3} - 8 and x^{2} + 2x + 4 - 
 i. the H.C.F is x^{2} + 2x + 4
 ii. The L.C.M is x^{3} - 8 
 iii. the product is (x - 2) (x^{2} + 2x + 4)^{2}
 which one is correct?","x^{3} - 8 এবং x^{2} + 2x + 4 রাশি দুইটির-
 i. গ.সা.গু x^{2} + 2x + 4
 ii. ল.সা.গু x^{3} - 8 
 iii. গুণফল (x - 2) (x^{2} + 2x + 4)^{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
\frac{a}{a - 5} - \frac{a^{2}}{a^{2} - 25} = What?,\frac{a}{a - 5} - \frac{a^{2}}{a^{2} - 25} = কত?,\frac{5a}{a - 5},\frac{2a^{2} - 5}{a^{2} - 25},\frac{2a^{2} - 5}{a^{2} + 25},\frac{5a}{a^{2} - 25},\frac{5a}{a - 5},\frac{2a^{2} - 5}{a^{2} - 25},\frac{2a^{2} - 5}{a^{2} + 25},\frac{5a}{a^{2} - 25},d
"Which equation is satisfied by the point (3, 2)?","(3, 2) বিন্দুটি নিচের কোন সমীকরণকে সিদ্ধ করে?",x - y = 0,2x - 3y = 0,x = \frac{1}{y},2x + 3y = 5,x - y = 0,2x - 3y = 0,x = \frac{1}{y},2x + 3y = 5,b
The sum and the difference of the numerator and the denominator of a proper fraction are 12 and 2. what is the denominater of the fraction?,একটি প্রকৃত ভগ্নাংশের লব ও হরের যোগফল 12 এবং বিয়োগফল 2 । ভগ্নাংশটির হর কত?,3,5,7,9,3,5,7,9,c
"x + 2y = 1, x - y = 7
 
 What is the abscissa of the system of equation?","x + 2y = 1, x - y = 7
 
 সমীকরণ জোটের ভুজ নিচের কোনটি?",5,2,-2,-5,5,2,-2,-5,a
"x + 2y = 1, x - y = 7
 
 In which quadrant does the root of the equation exist?","x + 2y = 1, x - y = 7
 
 সমীকরণ জোটের মূল কোন চতুর্ভাগে অবস্থিত?",First,Second,Third,Fourth,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,d
If A = {x \epsilon N : x is prime number and x ≤ 11}. How many elements are there in set A?,"A = {x \epsilon N : x মৌলিক সংখ্যা, x ≤ 11 হলে A সেটটির উপাদান কয়টি?",4,5,6,7,4,5,6,7,b
"A{3, 5, 7, 9}, B = {x \epsiolon N: x is miltiple of 3}. Whate is the value of (A - B)?","A{3, 5, 7, 9}, B = {x \epsilon N: x, 3 এর গুণিতক} হলে, (A - B) এর মান কোনটি?","{5, 7}","{5, 9}","{7, 9}","{3, 9}","{5, 7}","{5, 9}","{7, 9}","{3, 9}",a
"In a Rhombus - 
 i. the diagonls are equal
 ii. Opposite angles are equal
 iii. The diagonals bisect each other at right angles
 which one is correct?","রম্বসের-
 i. কর্ণদ্বয় পরস্পর সমান
 ii. বিপরীত কোণদ্বয় সমান
 iii. কর্ণদ্বয় পরস্পরকে সমকোণে সমদ্বিখণ্ডিত করে
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
The distance between the parallel sides of a trapeziom is 5cm and its area is 40sq.cm. What is the sum of length of the two parallel sides?,একটি ট্রাপিজিয়ামের সমান্তরাল বাহুদ্বয়ের মধ্যবর্তী দূরত্ব 5 cm এবং ক্ষেত্রফল 40 বর্গ সে.মি. এর সমান্তরাল বাহুদ্বয়ের সমষ্টি কত?,8cm,13cm,16cm,21cm,8 সে.মি.,13 সে.মি.,16 সে.মি.,21 সে.মি.,c
"The diameter of a circle is 12cm.What is the circumference of the circle? (use \pi = 3, 14)","12 সে.মি. ব্যাসের বৃত্তের পরিধি কত? (\pi = 3, 14)",18.84cm,37.68cm,113.76cm,452.16cm,18.84cm,37.68cm,113.76cm,452.16cm,b
"if in \Delta PQR, \angle{R} = 90\degree then - 
 i. the hypotenuse is PQ
 ii. The area is \frac{1}{2} PR \times QR 
 iii. PR^{2} = PQ^{2} - QR^{2}
 which one is correct?","\Delta PQR এ \angle{R} = 90\degree হলে- 
 i. অতিভুজ PQ
 ii. ক্ষেত্রফল = \frac{1}{2} PR \times QR 
 iii. PR^{2} = PQ^{2} - QR^{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"25, 15, 19, 23, 30, 12, 27, 35, 17, 21
 
 What is the median of the numbers?","25, 15, 19, 23, 30, 12, 27, 35, 17, 21
 
 সংখ্যাগুলোর মধ্যক কত?",22,23,26,30,22,23,26,30,a
"25, 15, 19, 23, 30, 12, 27, 35, 17, 21
 
 What is range of the data?","25, 15, 19, 23, 30, 12, 27, 35, 17, 21
 
 উপাত্তগুলোর পরিসর কত?",12,13,23,24,12,13,23,24,d
What is the sum of the first six odd numbers?,প্রথম 6টি বিজোড় স্বাভাবিক সংখ্যার যোগফল কত?,42,36,30,25,42,36,30,25,b
Which one of the following is a pattern of Fibonacci number?,নিচের কোনটি ফিবোনাক্কি সংখ্যার প্যাটার্ন?,"0, 2, 2, 4, 6","0, 1, 1, 3, 5","0, 1, 1, 2, 5","0, 1, 2, 3, 4","0, 2, 2, 4, 6","0, 1, 1, 3, 5","0, 1, 1, 2, 4","0, 1, 2, 3, 4",a
"For the natural number - 
 i. 37 is the 7th term of the pattem (5a + 2)
 ii. 28 is the 5th term of 8, 13, 18…….
 iii.80 is the 10th term of a2 - 1
 Which on is correct?","স্বাভাবিক সংখ্যার ক্ষেত্রে-
 i. 5ক + 2 রাশিটির 7ম পদ 37
 ii. 8, 13, 18, ... ... এর 5ম 28
 iii. ক^{2} - 1 এর 10ম পদ 80
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"What is the simple profit of TK. 3, 000 in 2 years at the rate of simple profit of 6% per annum?",বার্ষিক 6% মুনাফায় 6000 টাকার 1 বছরের সরল মুনাফা কত?,TK.36,TK.90,TK.180,TK.360,36 টাকা,90 টাকা,180 টাকা,360 টাকা,d
Which one of the following is 3% of TK. 350?,350 টাকার 3% সমান নিচের কোনটি?,TK.1.05,TK.10.50,TK.35,TK.105,1.05 টাকা,10.50 টাকা,35 টাকা,105 টাকা,b
"What is the compound profit of TK.8, 000 at the profit of 12% per annum in 2 years?",বার্ষিক 12% মুনাফায় 8000 টাকার 2 বছরের চক্রবৃদ্ধি মুনাফা কত?,TK.1920,TK.2035.20,TK.9920,TK.10035.20,1920 টাকা,2035.20 টাকা,9920 টাকা,10035.20 টাকা,b
What will be the area of a circle of diameter 6 cm?,6 সে.মি. ব্যাসবিশিষ্ট বৃত্তের ক্ষেত্রফল কত?,6\pi sq.cm,9\pi sq.cm,12\pi sq.cm,36\pi sq.cm,6\pi বর্গ সে.মি.,9\pi বর্গ সে.মি.,12\pi বর্গ সে.মি.,36\pi বর্গ সে.মি.,b
"The area of square garden of 225 sq. metre.
 
 What is the perimeter of the garden?","একটি বর্গাকার বাগানের ক্ষেত্রফল 225 বর্গমিটার।
 বাগানটির পরিসীমা কত?",15 metres,30 metres,45 metres,60 metres,15 মিটার,30 মিটার,45 মিটার,60 মিটার,d
"The area of square garden of 225 sq. metre.
 
 What is the diagonal of the garden?","একটি বর্গাকার বাগানের ক্ষেত্রফল 225 বর্গমিটার।
 বাগানটির কর্ণের দৈর্ঘ্য কত?",21.21 metres,25.98 metres,30 metres,45 metres,21.21 মিটার,25.98 মিটার,30 মিটার,45 মিটার,a
"If a + b = 5 and a - b = 2, What is the value of a^{2} + b^{2}?",a + b = 5 এবং a - b = 2 হলে a^{2} + b^{2} এর মান কত?,\frac{21}{2},\frac{29}{2},21,29,\frac{21}{2},\frac{29}{2},21,29,b
"If x^{2} - 4x - 1 = 0, When x \neq 0, What is the value of \left ( x - \frac{1}{x} \right )^{2}?","x^{2} - 4x - 1 = 0 হলে \left ( x - \frac{1}{x} \right )^{2} এর মান কত? যখন, x \neq 0",-4,-1,4,16,-4,-1,4,16,d
Which one of the following is equal to 10 hectres?,10 হেক্টর সমান নিচের কোনটি?,2.47 acres,24.7 acres,247 acres,2470 acres,2.47 একর,24.7 একর,247 একর,2470 একর,b
What is the cube of \sqrt{2}?,\sqrt{2} এর ঘন কত?,2^{\frac{1}{3}},2\sqrt{2},3\sqrt{2},8,2^{\frac{1}{3}},2\sqrt{2},3\sqrt{2},8,b
"x + 1, x^{2} - 1 and x^{3} - 1 are three algebraic expressions. What is the HCF of the three expression?","x + 1, x^{2} - 1 এবং x^{3} - 1 বীজগণিতীয় রাশিগুলোর গ.সা.গু কোনটি?",x - 1,x + 1,(x + 1)(x3 - 1),1,x - 1,x + 1,(x + 1)(x^{3} - 1),1,d
Which one of the following is the value of \frac{a^{2} + 2a + 1}{a^{2} - 2a + 1} \div \frac{a + 1}{a - 1}?,\frac{a^{2} + 2a + 1}{a^{2} - 2a + 1} \div \frac{a + 1}{a - 1} এর মান নিচের কোনটি?,\frac{a + 1}{a^{2} - 1},\frac{a^{2} - 1}{a + 1},\frac{a - 1}{a + 1},\frac{a + 1}{a - 1},\frac{a + 1}{a^{2} - 1},\frac{a^{2} - 1}{a + 1},\frac{a - 1}{a + 1},\frac{a + 1}{a - 1},d
"In which quadrant the point ( - 1, 2) will be?","(- 1, 2) বিন্দুটি কোন চতুর্ভাগে অবস্থিত?",First,Second,Third,Fourth,1ম,2য়,3য়,4র্থ,b
"What is the number of subsets of the set B = {a, b, c, d}","B = {a, b, c, d} হলে B এর উপসেট কয়টি?",4,8,15,16,4,8,15,16,d
If 3x + 5y = 10 and x - 2y = 3 which one of the following will be value of \frac{x}{y}?,3x + 5y = 10 এবং x - 2y = 3 হলে \frac{x}{y} এর মান কত?,\frac{1}{70},\frac{1}{35},35,70,\frac{1}{70},\frac{1}{35},35,70,c
Th present age of father and son are 70 yeare and 40 years respectively .What was the ratio of their age befor 10 years?,পিতা ও পুত্রের বর্তমান বয়স যথাক্রমে 70 বছর ও 40 বছর। 10 বছর পূর্বে পিতা ও পুত্রের বয়সের অনুপাত কত হবে?,5 : 8,2 : 1,8 : 5,1 : 2,5 : 8,2 : 1,8 : 5,1 : 2,b
How many degree is found in the centre of pie-chart?,বৃত্তেলেখের কেন্দ্রে কত ডিগ্রি কোণ উৎপন্ন হয়?,90\degree,180\degree,270\degree,360\degree,90\degree,180\degree,270\degree,360\degree,d
"What is the mode of the numbers : 8, 7, 9, 8, 7, 9, 6, 7, 8, 6, 7, 8, 9, 8?","8, 7, 9, 8, 7, 9, 6, 7, 8, 6, 7, 8, 9, 8 সংখ্যাগুলোর প্রচুরক কত?",6,7,8,9,6,7,8,9,c
Which one of the following expression is the factors of x^{2} - x - 6?,x^{2} - x - 6 এর উৎপাদকে বিশ্লেষিত রূপ নিচের কোনটি?,(x + 3)(x - 2),(x - 6) (x + 1),(x + 6)(x - 1),(x - 3)(x + 2),(x + 3) (x - 2),(x - 6) (x + 1),(x + 6) (x - 1),(x - 3) (x + 2),d
If x + \frac{1}{x} = \sqrt{6} then \left ( x - \frac{1}{x} \right )^{2} = ?,"x + \frac{1}{x} = \sqrt{6} হলে, \left ( x - \frac{1}{x} \right )^{2} এর মান কোনটি?",2,4,32,40,2,4,32,40,a
If x + y = 3 and x - y = - 1 then which is the value of xy?,x + y = 3 এবং x - y = - 1 হলে xy এর মান কত?,-1,-2,2,4,-1,-2,2,4,c
"U = {1, 2, 3, 4, 5, 6}, A = {1, 3, 4, 5}
 B = {2, 4, 6}
 (A \cap B)' = ?","A = {1, 2}, B = {2, 3}, C = {1, 5, 6} হলে, C \cap (A \cup B) = ?","{1, 2, 3, 5, 6}",{4},"{1, 2, 3, 4, 5, 6}",\varnothing,{1},"{1, 2, 3, 5, 6}","{1, 2, 3}",{ },a
\frac{1 - x^{2}}{b + b^{2}} \times \frac{1 - b^{2}}{1 + x} = ?,\frac{1 - x^{2}}{b + b^{2}} \times \frac{1 - b^{2}}{1 + x} = কত?,\frac{(1 + x) (1 - b)}{b},\frac{(1 - x) (1 + b)}{b},\frac{(1 - x) (1 - b)}{b},\frac{(1 + x) (1 + b)}{b},\frac{(1 + x) (1 - b)}{b},\frac{(1 - x) (1 + b)}{b},\frac{(1 - x) (1 - b)}{b},\frac{(1 + x) (1 + b)}{b},c
"In a class , 70% of the students like Bangla, 57% of the students like English and 50% of the students like both.How many students dislike both the subjects?","কোনো ক্লাসে 70% ছাত্র বাংলা পছন্দ করে, 57% ছাত্র ইংরেজি পছন্দ করে এবং 50% ছাত্র উভয় বিষয় পছন্দ করে। কতজন ছাত্র উভয় বিষয় পছন্দ করে না?",20%,23%,77%,177%,20%,23%,77%,177%,b
"In which quadrant the point (2a, - 5)where a > 0 will be?","(2a, - 5), a > 0 বিন্দুটি কোন চতুর্ভাগে অবস্থিত?",First,Second,Third,Fourth,প্রথম,দ্বিতীয়,তৃতীয়,চতুর্থ,d
Which one of the following denotes the equation for the straight line?,নিচের কোনটি সরলরেখার সমীকরণ নির্দেশ করে?,x^{2} + 2y + 5 = 0,x + 2y^{2} + 5 = 0,x + 2y + 5 = 0,x + \frac{1}{y} + 5 = 0,x^{2} + 2y + 5 = 0,x + 2y^{2} + 5 = 0,x + 2y + 5 = 0,x + \frac{1}{y} + 5 = 0,c
"Which one will be the H.C.F. of 18x^{3}y^{2}, 27x^{2}y, 45xy^{3}?","18x^{3}y^{2}, 27x^{2}y, 45xy^{3} এর গ.সা.গু কোনটি?",9x^{2}y^{2},9xy^{2},9x^{2}y,9xy,9x^{2}y^{2},9xy^{2},9x^{2}y,9xy,d
Which one is the factorized form of 2x^{2} + 7x - 4?,2x^{2} + 7x - 4 এর উৎপাদকে বিশ্লেষিত রূপ কোনটি?,(2x - 1) (x - 4),(2x + 1) (x - 4),(2x - 1) (x + 4),(2x + 1) (x + 4),(2x - 1) (x - 4),(2x + 1) (x - 4),(2x - 1) (x + 4),(2x + 1) (x + 4),c
"35, 42, 42, 43, 42, 48, 55, 56, 55, 58, 52
 
 What is the median of the number?","35, 42, 43, 42, 48, 55, 56, 55, 58, 52
 
 সংখ্যাগুলোর গড় কত?",48,43,55,42,42,47,48,49,c
"35, 42, 42, 43, 42, 48, 55, 56, 55, 58, 52
 
 What is the arithmetic mean of the numbers?","35, 42, 43, 42, 48, 55, 56, 55, 58, 52
 
 সংখ্যাগুলোর গড় কত?",42,47,48,49,42,47,48,49,c
1 + 2 + 3 + …….. + 25 = ?,1 + 2 + 3 + ...... + 25 = কত?,300,325,625,650,300,325,625,650,b
24% = ?,24% = কত?,\frac{6}{25},\frac{4}{25},\frac{12}{25},\frac{3}{25},\frac{6}{25},\frac{4}{25},\frac{12}{25},\frac{3}{25},a
Which one of the following is the simple value of \left ( \frac{1}{2x} + \frac{1}{y} \right ) \div \left ( \frac{1}{y} - \frac{1}{2x} \right )?,\left ( \frac{1}{2x} + \frac{1}{y} \right ) \div \left ( \frac{1}{y} - \frac{1}{2x} \right ) এর সরল মান নিচের কোনটি?,\frac{(2x + y)^{2}}{4xy},\frac{4x^{2} - y^{2}}{4x^{2}y^{2}},\frac{2x + y}{2x - y},\frac{(2x + y)^{2}}{4x^{2}y^{2}},\frac{(2x + y)^{2}}{4xy},\frac{4x^{2} - y^{2}}{4x^{2}y^{2}},\frac{2x + y}{2x - y},\frac{(2x + y)^{2}}{4x^{2}y^{2}},c
"If A = {1, 2}, B = {2, 3}, C = {1, 5, 6}, then C \cap (A \cup B) = ?","A = {1, 2}, B = {2, 3}, C = {1, 5, 6} হলে, C \cap (A \cup B) = ?",{1},"{1, 2, 3, 5, 6}","{1, 2, 3}",{ },{1},"{1, 2, 3, 5, 6}","{1, 2, 3}",{ },a
"If a + \frac{1}{a} = 3
 
 a^{3} + \frac{1}{a^{3}} = ?","a + \frac{1}{a} = 3 হলে
  
  a^{3} + \frac{1}{a^{3}} এর মান নিচের কোনটি?",18,36,24,0,18,36,24,0,a
"\frac{x^{2} + 5x - 14}{x^{2} + 3x - 28}, Which one of the following is the lowest value of the fraction?",\frac{x^{2} + 5x - 14}{x^{2} + 3x - 28} এর লঘিষ্ঠ মান নিচের কোনটি?,\frac{x + 7}{x - 4},\frac{x - 2}{x + 7},\frac{x + 2}{x - 4},\frac{x - 2}{x - 4},\frac{x + 7}{x - 4},\frac{x - 2}{x + 7},\frac{x + 2}{x - 4},\frac{x - 2}{x - 4},d
"If the length of a box is 4m, width is 3m 20cm and height is 2m 50cm. What is the volume of the box?","একটি বাক্সের দৈর্ঘ্য 4 মি., প্রস্থ 3 মি. 20 সে.মি. এবং উচ্চতা 2 মি. 50 সে.মি. হলে এর আয়থন নিচের কোনটি?","320, 000 Cubic cm","32, 00, 000 Cubic cm","320, 00, 000 cubic cm","320, 000, 000 cubic cm",320000 ঘ. সে.মি.,3200000 ঘ. সে.মি.,32000000 ঘ. সে.মি.,320000000 ঘ. সে.মি.,c
"What is the simple prifit if Tk. 2,500 in 7 years at the rate of simple profit of 15%",বার্ষিক 15% সরল মুনাফা 2500 টাকার 7 বছরের মুনাফা কত টাকা?,105,175,375,2625,105,175,375,2625,d
"AB and CD be two equal chords of a circle with the centre 'O' , If OM \perp AB, ON \perp CD then which one is correct?","O' কেন্দ্রবিশিষ্ট বৃত্তে AB ও CD বৃত্তের দুইটি সমান জ্যা। OM \perp AB, ON \perp CD হলে নিচের কোনটি সঠিক?",OM < ON,OM < ON,OM < ON,AM < ON,OM < ON,OM = ON,OM > ON,AM = ON,b
The radius of a right circular cylinder is 5 cm and its height is 7 cm. What is the area of the whole surface of the cylinder?,"একটি সমবৃত্তভূমিক বেলনের ব্যাসার্ধ 5 সে.মি., উচ্চতা 7 সে.মি.। বেলনটির সমগ্র পৃষ্ঠের ক্ষেত্রফল কত?",25\pi,50\pi,70\pi,120\pi,25\pi,50\pi,70\pi,120\pi,d
2 Bigha = ?,2 বিঘা = ?,1600 sq.yards,1337.8 sq. Metres,"3200 sq, yards",2672.8 sq.metres,1600 বর্গ গজ,1337.8 বর্গ গজ,3200 বর্গ গজ,2672.8 বর্গ গজ,c
"If a + \frac{1}{a} = 2
 i. a^{2} + \frac{1}{a^{2}} = 2
 ii. a^{3} + \frac{1}{^{3}} = 2
 iii. a^{4} + \frac{1}{a^{4}} = 5
 Which one is correct?","a + \frac{1}{a} = 2 হলে-
  i. a^{2} + \frac{1}{a^{2}} = 2
  ii. a^{3} + \frac{1}{^{3}} = 2
  iii. a^{4} + \frac{1}{a^{4}} = 5
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
The area of the square garden is 1600 sq. metres then what is the length of the diagonal?,বর্গাকার বাগানের ক্ষেত্রফল 1600 বর্গমিটার হলে এর একটি কর্ণের দৈর্ঘ্য কত?,40 metres,40\sqrt{2} metres,80 metres,80\sqrt{2} metres,40 মিটার,40\sqrt{2} মিটার,80 মিটার,80\sqrt{2} মিটার,b
"0, 1, 1, 2, 3, 5, …….
 i. These are Fibonacci numbers
 ii. 7th term is 8
 iii. The summation of the first eighth term is 33
 Which one is correct?","0, 1, 1, 2, 3, 5, ......
 i. এরা ফিবোনাক্কি সংখ্যা
 ii. 7ম পদ 8
 iii. প্রথম আটটি পদের সমষ্টি 33
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
Which one of the algebraic expression of the pattern of odd natural number?,বিজোড় স্বাভাবিক সংখ্যার প্যাটার্নের বীজগাণিতিক রাশি নিচের কোনটি?,2a,3a + 1,2a - 1,3a,2ক,3ক + 1,2ক - 1,3ক,c
"What type of number pattern 0, 1, 1, 2, 3, 5, 8, 13, ……..are?","0, 1, 1, 2, 3, 5, 8, 13, ... ... কোন ধরনের সংখ্যা প্যাটার্ন?",Consecutive,Fibonacci,Odd,Prime,ধারাবাহিক,ফিবোনাজি,বিজোড়,মৌলিক,b
"If the rate of simple profit is 10% per annum, what will be the profit of TK.1, 200 in 4 years?","বার্ষিক 10% সরল মুনাফায় 1,200 টাকার 4 বছরের মুনাফা নিচের কোনটি?",TK. 1680,TK.480,TK. 120,TK.48,1680 টাকা,480 টাকা,120 টাকা,48 টাকা,b
"Present population a town is 10 lac.The grawth rate of population of the town is 30 per thousand.
 
 How many population of the town will increasw in one year?","কোনো শহরের বর্তমান জনসংখ্যা 10 লক্ষ। ঐ শহরের জনসংখ্যা বৃদ্ধির হার প্রতি হাজারে 30 জন।
 
 এক বছরে ঐ শহরের জনসংখ্যা কত বৃদ্ধি পাবে?",3000,30000,1003000,1030000,3000 জন,30000 জন,1003000 জন,1030000 জন,b
"Present population a town is 10 lac.The grawth rate of population of the town is 30 per thousand.
 
 What will be the population of the town after 3 years?","কোনো শহরের বর্তমান জনসংখ্যা 10 লক্ষ। ঐ শহরের জনসংখ্যা বৃদ্ধির হার প্রতি হাজারে 30 জন।
 
 3 বছর পরে ঐ শহরের জনসংখ্যা কত হবে?","10, 90, 000","10, 92, 772","10, 92, 720","10, 92, 727",1090000 জন,1092772 জন,1092720 জন,1092727 জন,d
"U = {1, 2, 3, 4}, A = {2, 3} and B = {3, 4). What is the value of ?","U = {1, 2, 3, 4}, A = {2, 3} ও B = {3, 4) হলে (A \cap B)' নিচের কোনটি?","{1, 2, 4, }","{1, 4}","{1, 2}",{1},"{1, 2, 4}","{1, 4}","{1, 2}",{1},a
"If the length of the side of a square is 5 cm, then its-
 i. Area = 25sq.cm.
 ii. Length of a diagonal = 5\sqrt{2} cm
 iii. Peremeter = 10 cm
 Which one is correct?","একটি বর্গের বাহুর দৈর্ঘ্য 5 সে.মি. হলে-
 i. ক্ষেত্রফল = 25 বর্গ সে.মি.
 ii. একটি কর্ণের দৈর্ঘ্য = 5\sqrt{2} সে.মি.
 iii. পরিসীমা = 10 সে.মি.
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"The length of a rectangular garden is one and half times its breadth. If breadth is 16 metres , what is its peremeter?","একটি আয়তাকার বাগানের দৈর্ঘ্য প্রস্থের দেড়গুণ। এর প্রস্থ 16 মিটার হলে, বাগানের পরিসীমা কত?",40m,64m,80m,96m,40 মিটার,64 মিটার,80 মিটার,96 মিটার,c
"The area of a triangular land is 225 sq. merers.If the height is 25 metres , which one is the base?","একটি ত্রিভুজাকৃতি জমির ক্ষেত্রফল 225 বর্গমিটার। এর উচ্চতা 25 মিটার হলে, ভূমি কত?",9 m,18 m,25 m,36 m,9 মিটার,18 মিটার,25 মিটার,36 মিটার,b
Which one of the following expressions is the factors of 2x^{2} - 7xy + 6y^{2}?,2x^{2} - 7xy + 6y^{2} এর উৎপাদকে বিশ্লেষিত রূপ নিচের কোনটি?,(x - 2y) (2x - 3y),(x + 2y) (2x - 3y),(x - 2y) (2x + 3y),(x + 2y) (2x + 3y),(x - 2y) (2x - 3y),(x + 2y) (2x - 3y),(x - 2y) (2x + 3y),(x + 2y) (2x + 3y),a
"5x^{3}yz^{2}, 15xy^{3}z and 20x^{4}y^{2}z^{3} are three algebraic expression, then - 
 i. H.C.F = 10xyz
 ii. L.C.M = 60x^{4}y^{3}z^{3}
 iii. Product = 1,500 x^{8}y^{6}z^{6}
 which one is correct?","এবং তিনটি বীজগাণিতিক রাশির-
 i. গ.সা.গু = 10xyz
 ii. ল.সা.গু = 60x^{4}y^{3}z^{3}
 iii. গুণফল = 1,500 x^{8}y^{6}z^{6}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
"If x^{2} + \frac{1}{x^{2}} = 10, then what is the value of x + \frac{1}{x}?","x^{2} + \frac{1}{x^{2}} = 10 হলে, x + \frac{1}{x} এর মান কোনটি?",\sqrt{6},2\sqrt{2},2\sqrt{3},\sqrt{14},\sqrt{6},2\sqrt{2},2\sqrt{3},\sqrt{14},c
"x + y = 5 and x - y = 3
 
Which one is the value of x^{2} - y^{2}?","x + y = 5 এবং x - y = 3
 
 x^{2} + y^{2} এর মান নিচের কোনটি?",2,8,9,15,1,4,8,17,d
"x + y = 5 and x - y = 3
 
Which one is the value of x^{2} + y^{2}?","x + y = 5 এবং x - y = 3
 
 x^{2} + y^{2} এর মান নিচের কোনটি?",1,4,8,17,1,4,8,17,d
"If x + \frac{1}{x} = 4, Which one is the value of x^{3} + \frac{1}{x^{3}}?","x + \frac{1}{x} = 4 হলে, x^{3} + \frac{1}{x^{3}} এর মান কত?",52,56,72,76,52,56,72,76,a
Which one is the product of (x - 11) and (x + 5)?,(x - 11) এবং (x + 5) এর গুণফল নিচের কোনটি?,x^{2} - 6x + 55,x^{2} + 6x - 55,x^{2} + 6x + 55,x^{2} - 6x - 55,x^{2} - 6x + 55,x^{2} + 6x - 55,x^{2} + 6x + 55,x^{2} - 6x - 55,d
Which one is the lowest form of \frac{x^{2} - x - 12}{x^{2} - 16}?,\frac{x^{2} - x - 12}{x^{2} - 16} এর লঘিষ্ঠ আকার নিচের কোনটি?,\frac{x + 3}{x - 4},\frac{x - 3}{x - 4},\frac{x - 3}{x + 4},\frac{x + 3}{x + 4},\frac{x + 3}{x - 4},\frac{x - 3}{x - 4},\frac{x - 3}{x + 4},\frac{x + 3}{x + 4},d
"Where the point ( - 2, 0) is situated?","(- 2, 0) বিন্দুটি কোথায় অবস্থিত?",1st quadrant,2nd quadrant,On the x - axix,On the y - axis,1ম চতুর্ভাগে,2য় চতুর্ভাগে,x-অক্ষের উপর,y-অক্ষের উপর,c
