English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"The eq^{n}. of the conic is 9x^{2} + 25y^{2} = 225.
 
 What is the coordinates of the foci?","9x^{2} + 25y^{2} = 225
 
 উদ্দীপকের কণিকের উপকেন্দ্রের স্থানাঙ্ক কোনটি?","(\pm 4, 0)","(\pm 5, 0)","(0, \pm 4)","(0, \pm 5)","(\pm 4, 0)","(\pm 5, 0)","(0, \pm 4)","(0, \pm 5)",a
"The eq^{n}. of the conic is 9x^{2} + 25y^{2} = 225.
 
 What is the distance between the directrices?","9x^{2} + 25y^{2} = 225
 
 উদ্দীপকের কণিকের নিয়ামকদ্বয়ের মধ্যবর্তী দূরত্ব কত?",\frac{25}{4},\frac{25}{2},4,8,\frac{25}{4},\frac{25}{2},4,8,b
Which one is the general solution of tan5\theta. tan4\theta = 1?,tan5\theta. tan4\theta = 1 সমীকরণের সাধারণ সমাধান কোনটি?,(2n + 1)\frac{\pi}{9},(2n - 1)\frac{\pi}{9},(2n + 1)\frac{\pi}{18},(2n - 1)\frac{\pi}{18},(2n + 1)\frac{\pi}{9},(2n - 1)\frac{\pi}{9},(2n + 1)\frac{\pi}{18},(2n - 1)\frac{\pi}{18},c
What is the value of \theta for sin2\theta + 3sin\theta = 0?,"sin2\theta + 3sin\theta = 0 হলে, \theta এর মান কোনটি?",(2n + 1)\frac{\pi}{2},(4n + 1)\frac{\pi}{2},(2n + 1) \pi,n\pi,(2n + 1)\frac{\pi}{2},(4n + 1)\frac{\pi}{2},(2n + 1) \pi,n\pi,d
What is the equations of directrices of the parabola x^{2} + 5y = 0?,x^{2} + 5y = 0 পরাবৃত্তের নিয়ামকের সমীকরণ কোনটি?,4y + 5 = 0,4x + 5 = 0,4y - 5 = 0,4x - 5 = 0,4y + 5 = 0,4x + 5 = 0,4y - 5 = 0,4x - 5 = 0,c
"x^{2} - 5x + k = 0 is a quadratic equation whose roots are \alpha, \beta .
 
 For what value of k, the roots of the equation will be equal and real?","x^{2} - 5x + k = 0 সমীকরনের মূলদ্বয় \alpha, \beta 
 
 k এর মান কত হলে সমীকরণটির মূলদ্বয় বাস্তব ও সমান হবে?",k = 4,k = \frac{25}{4},k < \frac{25}{4},k > \frac{25}{4},k = 4,k = \frac{25}{4},k < \frac{25}{4},k > \frac{25}{4},b
"x^{2} - 5x + k = 0 is a quadratic equation whose roots are \alpha, \beta .
 
 If k = 6, then what is the equation whose roots are \alpha + 2 and \beta + 2.","x^{2} - 5x + k = 0 সমীকরনের মূলদ্বয় \alpha, \beta 
 
 k = 6 হলে, \alpha + 2 and \beta + 2 মূলবিশিষ্ট সমীকরণ নিচের কোনটি?",x^{2} - 9x + 20 = 0,x^{2} + 9x + 20 = 0,x^{2} + 9x - 20 = 0,x^{2} - 9x - 20 = 0,x^{2} - 9x + 20 = 0,x^{2} + 9x + 20 = 0,x^{2} + 9x - 20 = 0,x^{2} - 9x - 20 = 0,a
"What is the focal distance of the point (2, 6) on the parabola y^{2} = 18x?","y^{2} = 18x পরাবৃত্তের উপরস্থ (2, 6) বিন্দুর উপকেন্দ্রিক দূরত্ব কত?",\frac{3}{2},\frac{5}{2},\frac{21}{2},\frac{13}{2},\frac{3}{2},\frac{5}{2},\frac{21}{2},\frac{13}{2},d
What is represented by |z - 1| = 5 where z = x + iy?,z = x + iy হলে |z - 1| = 5 সমীকরণটি কী নির্দেশ করে?,Straight line,Circle,Parabola,Ellipse,সরলরেখা,বৃত্ত,পরাবৃত্ত,উপবৃত্ত,b
"R is the resultant of two forces P and Q which are acting at a point inclined at an angle \alpha, then-
 i. R = P + Q, \alpha = 90\degree
 ii. R = P ~ Q, \alpha = 180\degree
 iii. Q = P, R = 2Pcos \frac{\alpha}{2}
 Which one is correct?","একই বিন্দুতে \alpha কোণে ক্রিয়ারত P ও Q বলের লব্ধি R হলে-
 i. R = P + Q যখন \alpha = 90\degree
 ii. R = P ~ Q যখন \alpha = 180\degree
 iii. Q = P হলে R = 2Pcos \frac{\alpha}{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
What is the principle argument of (1 - i\sqrt{3})?,- 1 - i\sqrt{3} এর মুখ্য আর্গুমেন্ট কত?,- \frac{2\pi}{3},\frac{2\pi}{3},- \frac{4\pi}{3},\frac{4\pi}{3},- \frac{2\pi}{3},\frac{2\pi}{3},- \frac{4\pi}{3},\frac{4\pi}{3},a
A train moving with velocity 30 ms^{-1} creates a retardation of 5 ms^{-2} applying brake. What distance will it achieve in 4th second?,একটি ট্রেন 30 মি./সে. বেগে চলা অবস্থায় ব্রেক করে 5 মি./সে. মন্দন সৃষ্টি করা হলো। চতুর্থ সেকেন্ডে এটি কত দূরত্ব অতিক্রম করবে?,12.5 m,14.5 m,15.5 m,18.5 m,12.5 মি.,14.5 মি.,15.5 মি.,18.5 মি.,a
A body is thrown vertically upwards with velocity u. What is the difference of time of remaining the body at height h?,u বেগে খাড়া উপরের দিকে নিক্ষিপ্ত একটি বস্তু h উচ্চতায় আসার দুটি সময়ের পার্থক্য কত?,\sqrt{u^{2} - 2gh},\frac{2}{g}\sqrt{u^{2} - 2gh},\frac{g}{2}\sqrt{u^{2} - 2gh},g\sqrt{u^{2} - 2gh},\sqrt{u^{2} - 2gh},\frac{2}{g}\sqrt{u^{2} - 2gh},\frac{g}{2}\sqrt{u^{2} - 2gh},g\sqrt{u^{2} - 2gh},b
"If a projectile has horizontal range R, time of flight T, maximum height H and angle of projection \alpha, then
 i. R = 4H cos\alpha
 ii. H = \frac{gT^{2}}{8}
 iii. \alpha = tan^{-1} \left ( \frac{gT^{2}}{2R} \right )
 Which one is correct?","কোনো প্রক্ষেপকের আনুভূমিক পাল্লা R, বিচরণকাল T, সর্বাধিক উচ্চতা H এবং প্রক্ষেপ কোণ \alpha হলে-
 i. R = 4H cos\alpha
 ii. H = \frac{gT^{2}}{8}
 iii. \alpha = tan^{-1} \left ( \frac{gT^{2}}{2R} \right )
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"If a stone is thrown vertically upward from the ground, it comes back to the point of projection in 5 seconds. What is the velocity of fall of the stone?",একটি পাথরকে ভূমি থেকে খাড়া উপরের দিকে নিক্ষেপ করা হলে এটি 5 সেকেন্ড পরে নিক্ষেপণ বিন্দুতে ফিরে আসে। পাথরটির ভূমিতে পতন বেগ কত?,18.56 ms^{-1},24.5 ms^{-1},25.57 ms^{-1},22.40 ms^{-1},18.56 ms^{-1},24.5 ms^{-1},25.57 ms^{-1},22.40 ms^{-1},b
Find the value of i^{7} + i^{8} + i^{11} + i^{13}?,i^{7} + i^{8} + i^{11} + i^{13} এর মান কত?,-1,1,- i,0,-1,1,- i,0,d
"x = \sqrt[3]{1}
 
 Sum of the roots of the equation is-","x = \sqrt[3]{1} একটি সমীকরণ।
 
 সমীকরণের মূলগুলোর যোগফল-",\omega,\omega^{2},0,1,\omega,\omega^{2},0,1,c
"x = \sqrt[3]{1}
 
 Product of the roots of the equation is-","x = \sqrt[3]{1} একটি সমীকরণ।
 
 সমীকরণের মূলগুলোর যোগফল-",-1,0,1,1 + i,\omega,\omega^{2},0,1,c
"If z_{1} = 1 + i and z_{2} = 2 + i, then modulus of z_{1}\overline{z}_{2} is-",z_{1} = 1 + i এবং z_{2} = 2 + i হলে z_{1}\overline{z}_{2} এর মডুলাস-,tan^{-1}2,2\sqrt{5},5\sqrt{2},\sqrt{10},tan^{-1}2,2\sqrt{5},5\sqrt{2},\sqrt{10},d
"If the roots of a quadratic equation are rational and unequal, then the discriminant is-
 i. perfect square
 ii. positive number
 iii. negative number
 Which one is correct?","কোনো দ্বিঘাত সমীকরণের মূলদ্বয় মূলদ ও অসমান হলে পৃথায়ক হবে-
 i. পূর্ণবর্গ
 ii. ধনাত্মক সংখ্যা
 iii. ঋণাত্মক সংখ্যা
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"The roots of the equation 3x^{2} - 5x + 1 = 0 are \alpha, \beta.
 
 The equation with roots \alpha^{2}, \beta^{2} is-","3x^{2} - 5x + 1 = 0 সমীকরণের মূল \alpha ও \beta.
 
 \alpha^{2} ও \beta^{2} মূলবিশিষ্ট সমীকরণ-",9x^{2} + 19x + 1 = 0,9x^{2} - 19x + 1 = 0,9x^{2} + 19x - 1 = 0,9x^{2} - 19x - 1 = 0,9x^{2} + 19x + 1 = 0,9x^{2} - 19x + 1 = 0,9x^{2} + 19x - 1 = 0,9x^{2} - 19x - 1 = 0,b
"If the roots of the equation 3x^{3} - 1 = 0 are \aplha, \beta, \gamma, then the value of \alpha^{3} + \beta^{3} + \gamma^{3} is-","3x^{3} - 1 = 0 এর মূলগুলো \aplha, \beta, \gamma হলে, \alpha^{3} + \beta^{3} + \gamma^{3} এর মান-",-1,0,\frac{1}{3},1,-1,0,\frac{1}{3},1,d
sin \left ( \frac{\pi}{2} cos^{-1}x \right ) = ?,sin \left ( \frac{\pi}{2} cos^{-1}x \right ) = কত?,sinx,x,1 - x,1 + x,sinx,x,1 - x,1 + x,b
"In the equation, 2sin^{-1}x = sin^{-1}y if x = \frac{\sqrt{3}}{2}, then what is the value of y?","2sin^{-1}x = sin^{-1}y সমীকরণে x = \frac{\sqrt{3}}{2} হলে, y এর মান কত?",\frac{1}{2},\frac{1}{\sqrt{2}},\frac{\sqrt{3}}{2},1,\frac{1}{2},\frac{1}{\sqrt{2}},\frac{\sqrt{3}}{2},1,c
"cot\theta = k, the solution is \theta = n\pi + \alpha
 
 If k = \frac{1}{\sqrt{3}}, then \alpha = ?","cot\theta = k সমীকরণটির সমাধান \theta = n\pi + \alpha
 
 k = \frac{1}{\sqrt{3}} হলে \alpha = কত?",\frac{\pi}{6},\frac{\pi}{4},\frac{\pi}{3},\frac{\pi}{2},\frac{\pi}{6},\frac{\pi}{4},\frac{\pi}{3},\frac{\pi}{2},c
"cot\theta = k, the solution is \theta = n\pi + \alpha
 
 If k = 1 and \frac{\pi}{4} < \theta < 2\pi, then \theta = ?","cot\theta = k সমীকরণটির সমাধান \theta = n\pi + \alpha
 
 k = 1 এবং \frac{\pi}{4} < \theta < 2\pi হলে, \theta এর মান কত?",\frac{3\pi}{2},\frac{5\pi}{4},\frac{3\pi}{4},\frac{\pi}{2},\frac{3\pi}{2},\frac{5\pi}{4},\frac{3\pi}{4},\frac{\pi}{2},b
What is the transverse axis of the hyperbola \frac{y^{2}}{16} - \frac{x^{2}}{25} = 1?,\frac{y^{2}}{16} - \frac{x^{2}}{25} = 1 অধিবৃত্তের আড় অক্ষ নিচের কোনটি?,x-axis,y-axis,Parallel to the x-axis,Parallel to the y-axis,x অক্ষ,y অক্ষ,x অক্ষের সমান্তরাল,y অক্ষের সমান্তরাল,b
What is the eccentricity of the conic x^{2} = 16y?,x^{2} = 16y কণিকের উৎকেন্দ্রিকতা কত হবে?,e = 1,e = 0,e > 1,0 < e < 1,e = 1,e = 0,e > 1,0 < e < 1,a
"For the ellipse \frac{x^{2}}{100} + \frac{y^{2}}{36} = 1-
 i. eccentricity = \frac{4}{5}
 ii. coordinates of the foci = \left ( 0, \pm \frac{24}{5} \right )
 iii. distance between the directrices = 25
 Which one is correct?","\frac{x^{2}}{100} + \frac{y^{2}}{36} = 1 উপবৃত্তটির
 i. উৎকেন্দ্রিকতা = \frac{4}{5}
 ii. উপকেন্দ্রদ্বয়ের স্থানাঙ্ক = \left ( 0, \pm \frac{24}{5} \right )
 iii. নিয়ামক দুইটির দূরত্ব = 25
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
"Considering the axes of the ellipse as x and y axes respectively, length of the minor axis = 2 units and eccentricity = \frac{1}{\sqrt{5}}.
 
 What unit is the length of major axis?","স্থানাঙ্কের অক্ষদ্বয়কে উপবৃত্তের অক্ষ ধরে ক্ষুদ্রাক্ষের দৈর্ঘ্য 2 একক এবং উৎকেন্দ্রিকতা \frac{1}{\sqrt{5}} ।
 
 বৃহৎ অক্ষের দৈর্ঘ্য কত একক?",\sqrt{5},\frac{3}{\sqrt{5}},\frac{2}{\sqrt{5}},\frac{1}{\sqrt{5}},\sqrt{5},\frac{3}{\sqrt{5}},\frac{2}{\sqrt{5}},\frac{1}{\sqrt{5}},a
"Considering the axes of the ellipse as x and y axes respectively, length of the minor axis = 2 units and eccentricity = \frac{1}{\sqrt{5}}.
 
 What is the equation of ellipse?","স্থানাঙ্কের অক্ষদ্বয়কে উপবৃত্তের অক্ষ ধরে ক্ষুদ্রাক্ষের দৈর্ঘ্য 2 একক এবং উৎকেন্দ্রিকতা \frac{1}{\sqrt{5}} ।
 
 উপবৃত্তের সমীকরণ নিচের কোনটি?",3x^{2} + 5y^{2} = 5,4x^{2} + 3y^{2} = 5,2x^{2} + 3y^{2} = 5,4x^{2} + 5y^{2} = 5,3x^{2} + 5y^{2} = 5,4x^{2} + 3y^{2} = 5,2x^{2} + 3y^{2} = 5,4x^{2} + 5y^{2} = 5,d
Two forces of same magnitude P acting at a point have also the resultant equal to P. What is the angle between the line of action of the forces?,P মানের দুইটি সমান বলের লব্ধি P হলে বলদ্বয়ের মধ্যবর্তী কোণ কত?,0\degree,30\degree,60\degree,120\degree,0\degree,30\degree,60\degree,120\degree,d
"The two equal forces of magnitude \sqrt{7} acting at a point at an angle 120\degree -
 i. the resultant = \sqrt{7} units
 ii. the resultant makes an angle 60\degree with the force \sqrt{7} units
 iii. the resultant is less than the sum of the forces
 Which one is correct?","120\degree কোণে আনত \sqrt{7} এককের দুইটি সমান বল একই বিন্দু হতে ক্রিয়ারত-
 i. লব্ধির মান \sqrt{7} একক
 ii. লব্ধি \sqrt{7} একক বলের সাথে 60\degree কোণ উৎপন্ন করে
 iii. লব্ধি বলদ্বয়ের যোগফল অপেক্ষা ক্ষুদ্রতর
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"Two like parallel forces 8N and 6N act at two points at a distance of 21 units on a rigid body. If the forces be interchanged in position, then what length the point of action of the resultant will be displaced?",8 ও 6 একক মানের দুইটি সমমুখী সমান্তরাল বল 21 একক দূরত্বে একটি অনড় বস্তুর উপর ক্রিয়ারত। বলদ্বয় অবস্থান বিনিময় করলে লব্ধির ক্রিয়াবিন্দু কত একক দূরত্বে সরে যাবে?,1 unit,2 units,3 units,4 units,1 একক,2 একক,3 একক,4 একক,c
Which one is the quadratic equation having root \sqrt{3} - 1?,\sqrt{3} - 1 মূলবিশিষ্ট দ্বিঘাত সমীকরণ কোনটি?,x^{2} - 2x - 2 = 0,x^{2} + 2x - 2 = 0,x^{2} - 2\sqrt{3}x + 2 = 0,x^{2} + 2\sqrt{3}x + 2 = 0,x^{2} - 2x - 2 = 0,x^{2} + 2x - 2 = 0,x^{2} - 2\sqrt{3}x + 2 = 0,x^{2} + 2\sqrt{3}x + 2 = 0,b
"The roots will be real of the quadratic equation if-
 i. discriminant is zero
 ii. discriminant is positive
 iii. discriminant is negative
 Which one is correct?","দ্বিঘাত সমীকরণের মূলগুলো বাস্তব হবে যদি-
 i. পৃথায়ক শূন্য হয়
 ii. পৃথায়ক ধনাত্মক হয়
 iii. পৃথায়ক ঋণাত্মক হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
The roots of the equation x^{2} + 5x - 7 = 0 are-,x^{2} + 5x - 7 = 0 সমীকরণের মূলগুলো-,real and rational,real and irrational,complex,real and equal,বাস্তব ও মূলদ,বাস্তব ও অমূলদ,জটিল,বাস্তব ও সমান,b
"If the two roots of the equation 2x^{2} - 5x + c = 0 are multiplicative inverse to each other, then waht is the value of c?",2x^{2} - 5x + c = 0 সমীকরণের মূলদ্বয় পরস্পর গুণাত্মক বিপরীত হলে c এর মান কত?,\frac{1}{2},- \frac{1}{2},-2,2,\frac{1}{2},- \frac{1}{2},-2,2,d
What is the summation of the roots of the equation 2x^{3} - x^{2} - 5x - 2 = 0?,2x^{3} - x^{2} - 5x - 2 = 0 সমীকরণের মূলত্রয়ের সমষ্টি কত?,- \frac{5}{2},\frac{1}{2},-2,2,- \frac{5}{2},\frac{1}{2},-2,2,b
"If \alpha, \beta and \gamma are three roots of the equation x^{3} - px^{2} + 1 = 0, then what is the value of \Sigma \alpha^{2}?","x^{3} - px^{2} + 1 = 0 সমীকরণের মূলত্রয় \alpha, \beta ও \gamma হলে \Sigma \alpha^{2} এর মান কত?",p^{2},p^{2} - 2q,- p^{2},- q,p^{2},p^{2} - 2q,- p^{2},- q,a
"3x^{2} - 4y + 6x - 5 = 0 is a parabola.
 
 Which one is the focus of the parabola?","3x^{2} - 4y + 6x - 5 = 0 একটি পরাবৃত্ত।
 
 পরাবৃত্তের ফোকাস কোনটি?","\left ( -1, - \frac{5}{3} \right )","\left ( 0, - \frac{1}{3} \right )","\left ( 0, \frac{1}{3} \right )","(-1, -2)","\left ( -1, - \frac{5}{3} \right )","\left ( 0, - \frac{1}{3} \right )","\left ( 0, \frac{1}{3} \right )","(-1, -2)",a
"3x^{2} - 4y + 6x - 5 = 0 is a parabola.
 
 Which one is the equation of the directrix of the parabola?","3x^{2} - 4y + 6x - 5 = 0 একটি পরাবৃত্ত।
 
 পরাবৃত্তটির নিয়ামক রেখা কোনটি?",3y + 2 = 0,3y + 5 = 0,3y + 7 = 0,3y - 7 = 0,3y + 2 = 0,3y + 5 = 0,3y + 7 = 0,3y - 7 = 0,c
"In the ellipse 3x^{2} + 4y^{2} = 1-
 i. Eccentricity = \frac{1}{2}
 ii. Foci (\pm 2\sqrt{3}, 0)
 iii. Length of latus rectum = \frac{\sqrt{3}}{2}
 Which one is correct?","3x^{2} + 4y^{2} = 1 উপবৃত্তের-
 i. উৎকন্দ্রিকতা = \frac{1}{2}
 ii. উপকেন্দ্র (\pm 2\sqrt{3}, 0)
 iii. উপকেন্দ্রিক লম্বের দৈর্ঘ্য = \frac{\sqrt{3}}{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which one is the equation of the directrix of the ellipse 9x^{2} + 16y^{2} = 144?,9x^{2} + 16y^{2} = 144 উপবৃত্তের নিয়ামক রেখা কোনটি?,\sqrt{7}x \pm 16 = 0,\sqrt{7}x \pm 12 = 0,\sqrt{7}y \pm 16 = 0,\sqrt{7}y \pm 12 = 0,\sqrt{7}x \pm 16 = 0,\sqrt{7}x \pm 12 = 0,\sqrt{7}y \pm 16 = 0,\sqrt{7}y \pm 12 = 0,a
"If the line y = 3x + c touches the ellipse 3x^{2} + 4y^{2} = 12, what is the value of c?",y = 3x + c রেখাটি 3x^{2} + 4y^{2} = 12 উপবৃত্তটিকে স্পর্শ করলে c এর মান কত?,\pm 5,\pm \sqrt{7},\pm \sqrt{31},\pm \sqrt{39},\pm 5,\pm \sqrt{7},\pm \sqrt{31},\pm \sqrt{39},d
Which one is the eccentricity of hyperbola x^{2} - 8y^{2} = 2?,x^{2} - 8y^{2} = 2 অধিবৃত্তের উৎকেন্দ্রিকতা কোনটি?,\frac{3}{\sqrt{2}},\frac{3}{2\sqrt{2}},\frac{\sqrt{3}}{\sqrt{2}},\frac{\sqrt{7}}{2\sqrt{2}},\frac{3}{\sqrt{2}},\frac{3}{2\sqrt{2}},\frac{\sqrt{3}}{\sqrt{2}},\frac{\sqrt{7}}{2\sqrt{2}},b
What is the length of latus rectum of hyperbola 4x^{2} - 9y^{2} - 1 = ?,4x^{2} - 9y^{2} - 1 = 0 অধিবৃত্তের উপকেন্দ্রিক লম্বের দৈর্ঘ্য কত?,-9,\frac{4}{9},\frac{3}{2},\frac{8}{3},9,\frac{4}{9},\frac{3}{2},\frac{8}{3},b
"If f(x) = tan^{-1}x -
 i. 2f(x) = tan^{-1} \frac{2x}{1 - x^{2}}
 ii. 2f(x) = sin^{-1} \frac{2x}{1 - x^{2}}
 iii. 2f(x) = cos^{-1} \frac{1 - x^{2}}{1 + x^{2}}
 Which one is correct?","যদি f(x) = tan^{-1}x হলে-
 i. 2f(x) = tan^{-1} \frac{2x}{1 - x^{2}}
 ii. 2f(x) = sin^{-1} \frac{2x}{1 - x^{2}}
 iii. 2f(x) = cos^{-1} \frac{1 - x^{2}}{1 + x^{2}}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
tan \left ( tan^{-1} \frac{1}{3} + tan^{-1} \frac{1}{5} \right ) = what?,tan \left ( tan^{-1} \frac{1}{3} + tan^{-1} \frac{1}{5} \right ) = কত?,\frac{1}{8},\frac{1}{2},\frac{8}{15},\frac{4}{7},\frac{1}{8},\frac{1}{2},\frac{8}{15},\frac{4}{7},d
sec^{2} (tan^{-1}2) + cosec^{2}(cot^{-1}3) = what?,sec^{2} (tan^{-1}2) + cosec^{2}(cot^{-1}3) = কত?,5,7,11,15,5,7,11,15,d
"If sin^{-1}x + cos^{-1}x = \theta, then what is the value of sin\theta?",sin^{-1}x + cos^{-1}x = \theta হলে sin\theta এর মান কত?,0,1,2x,2x\sqrt{1 - x^{2}},0,1,2x,2x\sqrt{1 - x^{2}},b
Which one is the general solution of the equation cos2\theta = \frac{1}{2}? (n is an integer),cos2\theta = \frac{1}{2} সমীকরণের সাধারণ সমাধান কোনটি? (n একটি পূর্ণসংখ্যা),2n\pi \pm \frac{\pi}{6},2n\pi \pm \frac{\pi}{3},n\pi \pm \frac{\pi}{6},n\pi \pm \frac{\pi}{3},2n\pi \pm \frac{\pi}{6},2n\pi \pm \frac{\pi}{3},n\pi \pm \frac{\pi}{6},n\pi \pm \frac{\pi}{3},c
"If cot2x cotx = 1, then x = what?",cot2x cotx = 1 হলে x = কত?,(2n + 1) \frac{\pi}{2},(2n + 1) \frac{\pi}{6},(2n + 1) \frac{\pi}{3},(2n \pm 1) \frac{\pi}{2},(2n + 1) \frac{\pi}{2},(2n + 1) \frac{\pi}{6},(2n + 1) \frac{\pi}{3},(2n \pm 1) \frac{\pi}{2},b
What is the resultant when two equal forces P act at a point at an angle 60\degree?,দুটি সমান বল P পরস্পর 60\degree কোণে কোনো বিন্দুতে ক্রিয়া করলে এদের লব্ধি কত হবে?,3P,2P,\sqrt{3}P,\sqrt{2}P,3P,2P,\sqrt{3}P,\sqrt{2}P,c
Two forces P and Q acting at a point at an angle 45\degree. Resultant of the forces 16N makes an angle 30\degree along the direction of force P. What is the value of Q force?,"P ও Q মানের দুটি বল পরস্পর 45\degree কোনো একটি বিন্দুতে ক্রিয়ারত। এদের লব্ধি 16N, P বলেরসাথে 30\degree কোণ উৎপন্ন করে। Q বলের মান কত?",8\sqrt{2}N,4\sqrt{2}N,32\sqrt{2}N,8N,8\sqrt{2}N,4\sqrt{2}N,32\sqrt{2}N,8N,a
\sqrt{2}P is a resultant of two equal forces P. What is the angle between them?,দুটি সমান বল P এর লব্ধি \sqrt{2}P । বল দুটির মধ্যবর্তী কোণ কত?,0\degree,45\degree,90\degree,180\degree,0\degree,45\degree,90\degree,180\degree,c
"Three forces \sqrt{37}N,3N and 4N acting at an object are in equilibrium. What is the angle between the forces 3N and 4N?","\sqrt{37}N,3N এবং 4N মানের তিনটি বল একটি বস্তুর উপর ক্রিয়া করে ভারসাম্য সৃষ্টি করে। 3N ও 4N বলদ্বয়ের মধ্যবর্তী কোণ কত?",30\degree,45\degree,60\degree,90\degree,30\degree,45\degree,60\degree,90\degree,c
"If f(x) = cosec (cot^{-1}x), then f(2) = ?",f(x) = cosec (cot^{-1}x) হলে f(2) এর মান কত?,\frac{1}{\sqrt{5}},\frac{1}{3},\sqrt{5},3,\frac{1}{\sqrt{5}},\frac{1}{3},\sqrt{5},3,c
"Two forces 10N and 5N act at a point and angle between them is 120\degree.
 
 What is the angle between the resultant and greatest force of them is-","10N ও 5N মানের বলদ্বয় একটি বিন্দুতে পরস্পর 120\degree কোণে ক্রিয়াশীল।
 
 লব্ধি বলের ক্রিয়ারেখা বৃহত্তর বলটির সাথে কত কোণে অবস্থান করে?",30\degree,45\degree,60\degree,90\degree,30\degree,45\degree,60\degree,90\degree,a
"Three co-planar forces P, \sqrt{3}P, P acting at a point are equilibrium. The angle between first and second force will be-","এক বিন্দুতে ক্রিয়ারত তিনটি বল P, \sqrt{3}P, P সাম্যবস্থায় থাকলে প্রথমোক্ত বল দুইটির মধ্যবর্তী কোণ কত?",30\degree,60\degree,120\degree,150\degree,30\degree,60\degree,120\degree,150\degree,d
The value of sin(2sin^{-1}x) is-,নিচের কোনটি sin(2sin^{-1}x) এর মান?,2x\sqrt{x^{2} -1},2x\sqrt{1 - x^{2}},\frac{2x}{1 - x^{2}},\frac{2x}{1 + x^{2}},2x\sqrt{x^{2} -1},2x\sqrt{1 - x^{2}},\frac{2x}{1 - x^{2}},\frac{2x}{1 + x^{2}},b
If one root of the quadratic equation x^{2} - kx - 6 = 0 is -6 then another root is-,x^{2} - kx - 6 = 0 সমীকরণের একটি মূল -6 হলে অপর মূলটি কত?,-5,-1,1,5,-5,-1,1,5,c
"Two unlike parallel forces of magnitude 42N and 24N acting at the point A and B respectively on a rigid body. If the resultant act at the point C beside the line BA, the ratio AB : BC will be-",কোনো জড় বস্তুর উপর A ও B বিন্দুতে যথাক্রমে 42N এবং 24N মানের দুইটি অসদৃশ সমান্তরাল বল ক্রিয়ারত আছে। যদি তাদের লব্ধির ক্রিয়াবিন্দু BA এর বর্ধিতাংশকে C বিন্দুতে ছেদ করে তবে AB : BC = কত?,3 : 7,4 : 7,7 : 3,7 : 4,3 : 7,4 : 7,7 : 3,7 : 4,a
"For what values of p, 2x^{2} - px + 8 will be perfect square?",2x^{2} - px + 8 রাশিটি একটি পূর্ণবর্গ হলে p এর মান কত?,\pm 2\sqrt{2},\pm 4,\pm 4\sqrt{2},\pm 8,\pm 2\sqrt{2},\pm 4,\pm 4\sqrt{2},\pm 8,d
"9x^{2} - 4y^{2} + 36 = 0 is an equation of a hyperbola.
 
 Length of transverse axis?","9x^{2} - 4y^{2} + 36 = 0 একটি অধিবৃত্তের সমীকরণ।
 
 অধিবৃত্তটির আড় অক্ষের দৈর্ঘ্য কত?",4,6,8,18,4,6,8,18,b
"9x^{2} - 4y^{2} + 36 = 0 is an equation of a hyperbola.
 
 Coordinates of the foci?","9x^{2} - 4y^{2} + 36 = 0 একটি অধিবৃত্তের সমীকরণ।
 
 অধিবৃত্তটির উপকেন্দ্রের স্থানাঙ্ক কত?","(\pm \sqrt{13}, 0)","(\pm \sqrt{5}, 0)","(0, \pm \sqrt{5})","(0, \pm \sqrt{13})","(\pm \sqrt{13}, 0)","(\pm \sqrt{5}, 0)","(0, \pm \sqrt{5})","(0, \pm \sqrt{13})",d
