English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
"The function of salt-bridge is-
i. it connects two half-cell
ii. it minimizes the liquid junction potential
iii. it maintains electrically neutrality
Which one is correct?","লবণ সেতুর কাজ হলো-
 i. অর্ধ কোষদ্বয়ের মধ্যে সংযোগ স্থাপন করা
 ii. তরল সংযোগ বিভব দূর করা
 iii. তড়িৎ নিরপেক্ষতা বজায় রাখা
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,"i, ii and iii",i,i ও ii,i ও iii,"i, ii ও iii",d
Which one is a Lewis acid?,লুইস এসিড কোনটি?,NH_{3},R - NH_{2},PH_{3},BF_{3},NH_{3},R - NH_{2},PH_{3},BF_{3},d
Which one is conjugate acid of SO_{3}^{2-}?,S{O_{3}}^{2-} এর অনুবন্ধী এসিড কোনটি?,H_{2}SO_{3},H_{2}SO_{4},HSO_{4}^{-},HSO_{3}{-},H_{2}SO_{3},H_{2}SO_{4},HS{O_{4}}^-,HS{O_{3}}^-,d
How much electricity is required to store 2 mol Al in cathode?,2 mol Al ক্যাথোডে জমা করতে কী পরিমাণ বিদ্যুৎ প্রয়োজন?,1.5 F,2.0 f,3.0 F,6.0 F,1.5 F,2.0 F,3.0 F,6.0 F,d
What is the IUPAC name of CH_{3} - CH = C(CH_{3}) - CH_{2}OH compound?,CH_3-CH=C(CH_3)-CH_{2}OH যৌগটির IUPAC নাম কী?,2-methyl but-2-ene-1-ol,2-methyl-2-butenol,Allyl alcohol,methyl-2-butene-1-ol,2-মিথাইল বিউট-2-ইন-1-অল,2-মিথাইল-2-বিউটিনল,অ্যালাইল অ্যালকোহল,মিথাইল-2-বিউটিন-1-অল,a
What is the concentration of 0.5M HNO_{3} solution in ppm unit?,0.5 M HNO_{3} দ্রবণের ঘনমাত্রা ppm এককে কত হবে?,15750,31500,63000,49000,15750,31500,63000,49000,b
What is the highest value of COD approved by WHO in drinking water?,পানীয় জলে WHO অনুমোদিত COD এর সর্বচ্চ মান কত?,6 ppm,10 ppm,100 ppm,500 ppm,6 ppm,10 ppm,100 ppm,500 ppm,b
Which one has more electrochemical equivalent?,কোনটির তড়িৎ রাসায়নিক তুল্যাঙ্ক বেশি?,Zn,Cu,Fe,Ag,Zn,Cu,Fe,Ag,d
Which one of the following is strong acid?,নিচের কোনটি তীব্র এসিড?,HClO_{4},HlO_{4},H_{3}PO_{4},HNO_{3},HClO_{4},HIO_{4},H_3PO_{4},HNO_{3},a
But-2-ene exhibits-,বিউট-2-ইন প্রদর্শন করে কোনটি?,tatumerism,functional group isomerism,optical isomerism,geometrical isomerism,টটোমারিজম,কার্যকরী মূলক সমাণুতা,আলোক সমাণুতা,জ্যামিতিক সমাণুতা,d
"Fe^{2+} + Sn^{+} \rightarrow Fe^{3+} +Sn^{2+}, In this reaction-
i. Fe^{2+} is reduced
ii. Sh^{4+} is reduced
iii. Sh^{2+} donates electron
Which one is corerect?","Fe^{2+} + Sn^{4+} \rightarrow Fe^{3+} + Sn^{2+}; বিক্রিয়াটিতে-
 i. Fe^{2+} বিজারক
 ii. Sn^{4+} বিজারিত হয় 
 iii. Sn^{2+} ইলেকট্রন ত্যাগ করেছে 
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
Which one is absolute zero temperatur?,কোনটি পরমশূণ্য তাপমাত্রা?,0\degree C,25\degree C,273 K,- 273\degree C,0^oC,25^oC,273K,-273^oC,d
0.5F = How much coulomb?,0.5F = কত কুলম্ব?,"48,250 C","96,500 C","1,93,000 C","2,89,500 C","48,250 C","96,500 C","1,93,000 C","2,89,500 C",a
"CH_{3}COOH(aq) + KoH(aq) \rightarrow CH_{3}COOK(aq) + H_{2}O
For this reaction, the suitable indicator is-",CH_3COOH(aq) + KOH(aq) \rightarrow CH_3COOK(aq) + H_{2}O উক্ত বিক্রিয়ায় উপযুক্ত নির্দেশক হলো-,methyl orange,phenolphthalein,methyl red,any indicator,মিথাইল অরেঞ্জ,ফেনফথ্যালিন,মিথাইল রেড,যে কোনো নির্দেশক,b
What is the pH limit of acid rain water in industrial area?,কল কারখানা অঞ্চলের এসিড বৃষ্টির পানির pH এর সীমা কত?,5.6 - 3.5,6.5 - 4.5,6.6 - 3.8,5.6 - 4.7,5.6 - 3.5,6.5 - 4.5,6.6 - 3.8,5.6 - 4.7,a
"FeSO_{4} + KMnO_{4} + H_{2}SO_{4} \rightarrow Fe_{2}(SO_{4})_{3} + K_{2}SO_{4} + MnSO_{4} + H_{2}O
What is the ratio of mole number of reductant and oxidant in the balanced equation of above reaction?",FeSO_{4} + KMnO_{4} + H_{2}SO_{4} \rightarrow Fe_2(SO_{4})_3 + K_{2}SO_{4} + MnSO_{4} + H_{2}O উক্ত বিক্রিয়ায় সমতাযুক্ত সমীকরণে বিজারক ও জারকের মোল সংখ্যার অনুপাত কত?,5 : 2,1 : 5,5 : 1,2 : 5,5 : 2,1 : 5,5 : 1,2 : 5,c
"Which reagent is used to differentiate 1\degree, 2\degree and 3\degree alcohol?","1°, 2° এবং 3° অ্যালকোহলের পার্থক্য নির্ণয়ে কোন বিকারক ব্যবহার করা হয়?",Tollen's reagent,Grignard reagent,Lucas reagent,Fehling reagent,টলেন বিকারক,গ্রিগনার্ড বিকারক,লুকাস বিকারক,ফেহলিং বিকারক,c
What will be the nature of equimolar 0.1M NaOH and 0.1M H_{2}SO_{4} solution?,সমআয়তন 0.1 M NaOH এবং 0.1 H_{2}SO_{4} দ্রবণের প্রকৃতি কি হবে?,Neutral,Aphoteric,Acidic,Basic,নিরপেক্ষ,উভধর্মী,অম্লীয়,ক্ষারীয়,c
Which one is Lewis base?,কোনটি লুইস ক্ষারক?,BF_{3},AlCl_{3},H_{2}O,FeCl_{3},BF_3,AlCl_{3},H_{2}O,FeCl_{3},c
"In electrolytic cell-
i. electricity flows from cathode to anode
ii. electric energy converts into chemical energy
iii. oxidation occurs in anode
Which one is correct?","তড়িৎ রাসায়নিক কোষে-
 i. ক্যাথোড থেকে অ্যানোডে বিদ্যুৎ প্রবাহিত হয় 
 ii. বিদ্যুৎ শক্তি রাসায়নিক শক্তিতে পরিণত হয় 
 iii. অ্যানোডে জারণ ঘটে 
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
"P + O_{3}\overset{CCl_{4}}{\rightarrow}A\xrightarrow[H_{2}O, \Delta]{Z_{n}}B + C
[C compound is a three carbon containing ketone]
Which of the following is P-compound?","P + O_{3} \frac{CCl_4}{ }\rightarrow A \frac{Zn}{H_{2}O}\rightarrow B + C C-যৌগটি তিন কার্বনবিশিষ্ট কিটোন

উদ্দীপকের P যৌগটি নিচের কোনটি?",(CH_{3})_{2}C = CH_{2},CH_{3} - CH_{2} - CH = CH_{2},CH_{3} - CH(CH_{3})CH_{3},CH_{3} - CH = CH - CH_{3},(CH_3)_2C=CH_{2},CH_3-CH_{2}-CH=CH_{2},CH_3-CH(CH_3)CH_3,CH_3-CH=CH-CH_3,a
"P + O_{3}\overset{CCl_{4}}{\rightarrow}A\xrightarrow[H_{2}O, \Delta]{Z_{n}}B + C
[C compound is a three carbon containing ketone]
In case of stem-
i. both product (B and C) can be prepared from 1\degree alcohol
ii. C-compound doesn't react with Fehling solution
iii. B and C both are carbonyl compound
Which one is correct?","P + O_{3} \frac{CCl_4}{ }\rightarrow A \frac{Zn}{H_{2}O}\rightarrow B + C C-যৌগটি তিন কার্বনবিশিষ্ট কিটোন

উদ্দীপকের ক্ষেত্রে-
 i. উভয় উৎপাদ (B ও C) কে 1^o অ্যালকোহল থেকে প্রস্তুত করা যায় 
 ii. C-যৌগটি ফেহলিং দ্রবণের সাথে বিক্রিয়া দেয় না
 iii. B ও C উভয়ই কার্বনিল যৌগ 
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",b
What is the percentage concentration of 0.98M Na_{2}CO_{3} solution?,0.98 M NaCO_{3} দ্রবণের শতকরা ঘনমাত্রা কত?,9.8,10.39,13.52,15.42,9.8,10.39,13.52,15.42,b
Which of the following compounds does not show haloform reaction?,নিচের কোন যৌগটি হ্যালোফরম বিক্রিয়া দেয় না?,CH_{3}CHOHCH_{3},CH_{3}CONH_{2},CH_{3}CHO,CH_{3}COCH_{3},CH_{3}CHOHCH_{3},CH_{3}CONH_{2},CH_{3}CHO,CH_{3}COCH_{3},b
RMgX + CO_{2} \rightarrow A \overset{H^{+}/H_{2}O}{\rightarrow}B; What is compound B?,RMgX + CO_{2} \rightarrow A \xrightarrow{H^{+}/H_{2}O} B; B যৌগটি কী?,Primary alcohol,Ketone,Aldehyde,Organic acid,প্রাইমারি অ্যালকোহল,কিটোন,অ্যালডিহাইড,জৈব এসিড,d
At which temperature the volume of gas will be zero?,নিম্নের কোন তাপমাত্রায় গ্যাসের আয়তন শূন্য হবে?,0\degree C,25\degree C,273\degree K,-273\degree C,0\degree C,25\degree C,273K,\text{-273\degree C},d
"5H_{2}C_{2}O_{4} + 2KMnO_{4} + 3H_{2}SO_{4} \rightarrow 10CO_{2} + 2MnSO_{4} + 8H_{2}O + K_{2}SO_{4}
How much mole of electrons are exchanged in reaction given in the stem?","5H_{2}C_{2}O_{4} + 2KMnO_{4} + 3H_{2}SO_{4} \rightarrow 10C_{2} + 2MnSO{4} + 8H_{2}O + K_{2}SO_{4}
 
 উদ্দীপকের বিক্রিয়ায় কত মোল ইলেকট্রন আদান-প্রদান হয়েছে?",2,5,6,10,2,5,6,10,d
"5H_{2}C_{2}O_{4} + 2KMnO_{4} + 3H_{2}SO_{4} \rightarrow 10CO_{2} + 2MnSO_{4} + 8H_{2}O + K_{2}SO_{4}
In this reaction-
i. H_{2}SO_{4} is an oxidizing agent
ii. oxidatio number of Mn in KMnO_{4} is +7
iii. H_{2}C_{2}O_{4} is a reducing agent
Which one is correct?","5H_{2}C_{2}O_{4} + 2KMnO_{4} + 3H_{2}SO_{4} \rightarrow 10C_{2} + 2MnSO{4} + 8H_{2}O + K_{2}SO_{4}
 
 বিক্রিয়াটিতে-
 i. H_{2}SO_{4} একটি জারক
 ii. KMnO_{4} এ Mn এর জারণ মান = +7
 iii. H_{2}C_{2}O_{4} বিজারক পদার্থ
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
What is the maximum values of COD approved by WHO?,WHO অনুমোদিত COD এর সর্বোচ্চ মাত্রা হলো-,6 mg/L,6 g/L,10 mg/L,10 g/L,6 mg/L,6 g/L,10 mg/L,10 g/L,c
"Fe^{2+} + Cr_{2}O_{7}^{2-} + H^{+} \rightarrow 'A' + Cr^{3} + H_{2}O
The reaction of the stem are-
i. Cr_{2}O_{7}^{2-} has been reduced
ii. Fe^{2+}
iii. Cr_{2}O_{7}^{-2} accepts 5 electrons
Which one is correct?","Fe^{2+} + Cr_{2}O_{7}^{2-} + H^{+} \rightarrow 'A' + Cr^{2+} + H_{2}O
 
 উদ্দীপকের বিক্রিয়ায়-
 i. Cr_{2}O_{7}^{2-} বিজারিত হয়েছে
 ii. Fe^{2+} একটি বিজারক
 iii. Cr_{2}O_{7}^{-2} 5টি ইলেকট্রন গ্রহণ করে
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
"Fe^{2+} + Cr_{2}O_{7}^{2-} + H^{+} \rightarrow 'A' + Cr^{3} + H_{2}O
How many mL of decimolar reducing solution will be required to reduce 10 mL 0.05M oxidant solution of the stem?","Fe^{2+} + Cr_{2}O_{7}^{2-} + H^{+} \rightarrow 'A' + Cr^{2+} + H_{2}O
 
 উদ্দীপকের 10mL 0.05M জারক দ্রবণকে বিজারিত করতে কত mL ডেসিমোলার বিজারক দ্রবণ প্রয়োজন হবে?",10 mL,20 mL,20 mL,40 mL,10mL,20mL,30mL,40mL,c
C_{6}H_{5}NH_{2} + CHCl_{3} + KOH \rightarrow C_{6}H_{5}(NC) + KCl + H_{2}O name of the above reaction-,C_{6}H_{5}NH_{2} + CHCl_{3} + KOH \rightarrow C_{6}H_{5}(NC) + KCl + H_{2}O; বিক্রিয়াটি-,Cannizaro reaction,Carbylamine test,Kolbe reaction,Fridel Craft reaction,ক্যানিজারো বিক্রিয়া,কার্বিল অ্যামিন পরীক্ষা,কোব বিক্রিয়া,ফ্রিডেল-ক্রাফট বিক্রিয়া,b
"Rate of diffusion of gas depends on-
i. molar mas
ii. temperature
iii. density
Which one is correct?","গ্যাসের ব্যাপন হার নির্ভর করে-
 i. মোলার ভর
 ii. তাপমাত্রা
 iii. ঘনত্ব
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which of the following compounds gives nucleophilic addition reaction?,নিচের কোন যৌগ নিউক্লিওফিলিক সংযোজন বিক্রিয়া দেয়?,CH_{2} = CH_{2},CH = CH,CH_{3}COOH,CH_{3}CHO,CH_{2} = CH_{2},CH \equiv CH,CH_{3}COOH,CH_{3}CHO,d
"For the differentiation between aldehyde and ketone usable reagent is-
i. tollen's reagent
ii. 2 : 4 - DNPH
iii. fehling solution
Which one is correct?","অ্যালডিহাইড ও কিটোনের মধ্যে পার্থক্য নিরূপনের জন্য ব্যবহৃত বিকারক-
 i. টলেন বিকারক
 ii. 2 : 4 - DNPH
 iii. ফেলিং দ্রবণ
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
Which of the following can be used as a cathode when Zn/Zn^{2+} (E\degree = 0.76V) is used as anode?,Zn/Zn^{2+} (E\degree = 0.76V) অ্যানোড হলে নিম্নের কোনটি ক্যাথোডরূপে ব্যবহার করা যাবে?,Co/CO^{2+} (E\degree = +0.28V),Mg/Mg^{2+} (E\degree = +2.36V),Ca/Ca^{2+} (E\degree = +2.87V),Al/Al^{3+} (E\degree = +1.66V),Co/Co^{2+} (E\degree = +0.28V),Mg/Mg^{2+} (E\degree = +2.36V),Ca/Ca^{2+} (E\degree = +2.87V),Al/Al^{3+} (E\degree = +1.66V),a
"Electrode potential depends on-
i. the nature of the metal bar
ii. the concentration of the electrolyte
iii. the temperature of the solution
Which one is correct?","তড়িৎদ্বার বিভব নির্ভর করে-
 i. ধাতব দণ্ডের প্রকৃতির উপর
 ii. তড়িৎ বিশ্লেষ্যের ঘনমাত্রার উপর
 iii. দ্রবণের তাপমাত্রার উপর
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
What is the concentration 500mL 0.05M H_{2}SO_{4} solution in PPM?,500 mL 0.05M H_{2}SO_{4} দ্রবণের ঘনমাত্রা ppm এককে কত?,2450 PPM,245000 PPM,490000 PPM,4900 PPM,2450 ppm,2450000 ppm,490000 ppm,4900 ppm,d
Which is the ideal gas equation for 22g of CO_{2}?,22g CO_{2} এর জন্য আদর্শ গ্যাস সমীকরণ কোনটি?,2PV = RT,PV = 2RT,PV = 22RT,PV = RT,2PV = RT,PV = 2RT,PV = 22RT,PV = RT,a
Which is strong electrolyte?,কোনটি তীব্র তড়িৎবিশ্লেষ্য পদার্থ?,Pure water,CH_{3}COOH,Sucrose,H_{2}SO_{4} solution,বিশুদ্ধ পানি,CH_{3}COOH,সুক্রোজ,H_{2}SO_{4} দ্রবণ,d
What is the p^{H} range of methyl orange indicator?,মিথাইল অরেঞ্জ নির্দেশকের pH পরিসর কত?,3.1-4.4,4.2-6.3,6.0-8.0,8.2-9.8,3.1-4.4,4.2-6.3,6.0-8.0,8.2-9.8,a
What is the total charge of 1 mole electron?,১ মোল ইলেকট্রনের মোট চার্জ কত?,1.602 \times 10-19 coulomb,1.602 \times 10^{-19} \times 10^{23} coulomb,6.022 \times 10^{23} coulomb,196500 coulomb,1.602 \times 10^{-19} কুলম্ব,1.602 \times 10^{-19} \times 6.022 \times 10^{23} কুলম্ব,6.022 \times 10^{23} কুলম্ব,196500 কুলম্ব,b
What will be the kinetic energy of 14g of N_{2} gas at 25\degree C temperature?,25\degree C তাপমাত্রায় 14g N_{2} গ্যাসের গতিশক্তি কত হবে?,1.8588 J,18.588 J,185.88 J,1858.8 J,1.8588 J,18.588 J,185.88 J,1858.8 J,d
H_{2}CO_{3} + H_{2}O \rightleftharpoons HCO_{3}^{-} + H_{3}O^{+} ; which is correct for this reaction?,H_{2}CO_{3} + H_{2}O \rightleftharpoons HCO_{3}^{-} + H_{3}O^{+}; এ বিক্রিয়ার ক্ষেত্রে কোনটি সঠিক?,HCO_{3}^{-} is the conjugate base of H_{2}CO_{3},H_{3}O^{+} is the conjugate base of H_{2}O,HCO_{3}^{-} is the conjugate acid of H_{2}CO_{3},Here H_{2}O reacts as an acid,H_{2}CO_{3} এর অনুবন্ধী ক্ষারক HCO_{3}^{+},H_{2}O এর অনুবন্ধী ক্ষারক H_{3}O^{+},H_{2}CO_{3} এর অনুবন্ধী অম্ল HCO_{3}^{-},এখানে H_{2}O এসিডরূপে কাজ করে,a
1 atm = How much pascal?,1 atm = কত প্যাসকেল?,1.01325 \times 10^{2}Pa,1.01325 \times 10^{-2}Pa,1.01325 \times 10^{5}Pa,1.01325 \times 10^{-5}Pa,1.01325\times 10^2 Pa,1.01325\times 10^{-2} Pa,1.01325\times 10^5 Pa,1.01325\times 10^{-5} Pa,c
In benzene ring ortho-para indicator is-,বেনজিন বলয়ে অর্থো-প্যারা নির্দেশক মূলক হচ্ছে-,- COOCH_{3},- CHO,- NO_{2},- \ddot{N}HCOCH_{3},- COOCH_{3},- CHO,- NO_{2},- \ddot{N}HCOCH_{3},d
Which one is primary standard subtance?,কোনটি প্রাইমারি স্ট্যান্ডার্ড পদার্থ?,Na_{2}CO_{3},Na_{2}S_{2}O_{3},H_{2}SO_{4},KMnO_{4},Na_2CO_{3},Na_2S_2O_{3},H_{2}SO_{4},KMnO_{4},a
"In which compound, Chlorine has highest oxidation number?",কোন যৌগে ক্লোরিনের জারণ মান সর্বোচ্চ?,HClO,HClO_{2},HClO_{3},HCIO_{4},HClO,HClO_2,HClO_{3},HClO_{4},d
"CH_{3}CH_{2}CH_{2}Br + KOH(alc) \overset{\Delta}{\rightarrow}'A' + KBr +H_{2}O.
According to the stem, a compound-
i. is unsymetrical alkene
ii. shows geometrical isomerism
iii. disapears the color of Br_{2} solution
Which one is correct?","CH_{3}CH_{2}CH_{2}Br + KOH (alc) \xrightarrow{\Delta} 'A' + KBr + H_{2}O

উদ্দীপকের 'A' যৌগ হচ্ছে-
 i. অপ্রতিসম অ্যালকিন
 ii জ্যামিতিক সমাণুতা প্রদর্শন করে 
 iii. Br_{2} দ্রবণকে বর্ণহীন করে 
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",c
Electrochemical equivalence of Ag is-,Ag এর তড়িৎ রাসায়নিক তুল্যাঙ্ক হচ্ছে-,1.01118 \times 10^{-3}gC^{-1},1.1118 \times 10^{-3}gC^{-1},0.10118 \times 10^{-3}gC^{-1},0.010118 \times 10^{-3}gC^{-1},1.01118\times 10^{-3}gC^{-1},1.118\times 10^{-3}gC^{-1},0.10118\times 10^{-3}gC^{-1},0.010118\times 10^{-3}gC^{-1},b
"In 3H_{2}S + 2HNO_{3} \rightarrow 2NO +3S + 4H_{2}O reactions, the role H_{2}S is-",3H_{2}S + 2HNO_{3} \rightarrow 2NO + 3S + 4H_{2}O বিক্রিয়াটিতে H_{2}S এর ভূমিকা কী?,oxidant,reductant,tirate,titrant,জারক,বিজারক,টাইট্রেট,টাইট্রান্ট,b
Which one become charge free first in electrolyis?,তড়িৎ বিশ্লেষণে কোনটি আগে চার্জমুক্ত হবে?,Cu^{2+},H^{+},Pb^{2+},Na^{+},Cu^{2+},H^+,Pb^{2+},Na^+,a
Kinetic energy of 1 mol gas is-,১ মোল গ্যাসের গতিশক্তি হচ্ছে-,\frac{3RT}{N_{A}},\frac{3nRT}{2},\frac{3R}{N_{A}},\frac{3RT}{2},\frac{3RT}{N_A},\frac{3nRT}{2},\frac{3R}{N_A},\frac{3RT}{2},d
What is the standard oxidation potential of Zn?,Zn-এর জারণ বিভব কত?,- 0.76V,\text{+0.76}V,- 0.34V,\text{+0.34}V,-0.76V,{+}0.76V,-0.34V,{+}0.34V,b
Conjugate acid of NO_{2}^{1} ion is-,NO_2^- আয়নের অনুবন্ধী অম্ল হচ্ছে-,HNO_{3},HNO_{2},HNO_{2}^{-},NO_{3}^{-},HNO_{3},HNO_2,HN{O_2}^-,N{O_{3}}^-,b
Which one is the ideal gas equation?,আদর্শ গ্যাসের সমীকরণ কোনটি?,PV = nRT,PV = \frac{1}{3}mNC^{2},PV = T,P_{1}V_{1} = P_{2}V_{2},PV = nRT,PV = \frac{1}{3}mNC^2,PV = T,P_1V_1 = P_2V_2,a
Which one is semimolar solution?,কোনটি সেমিমোলার দ্রবণ?,0.1M,0.05M,0.01M,0.5M,0.1M,0.05M,0.01M,0.5M,d
Used as semi conductor is-,সেমিকন্ডাক্টর হিসেবে ব্যবহৃত হয়-,Cu,Al,Zn,Ge,Cu,Al,Zn,Ge,d
"Electrophile are-
i. AlCl_{3}
ii. BF_{3}
iii. BeCl_{2}
Which one is correct?","ইলেক্ট্রোফাইল হলো-
 i. AlCl_{3}
 ii. BF_3
 iii. BeCl_2
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
What amount of electricity will required to deposite 1 mol Ag at cothode in AgNO_{3} solution?,১ মোল Ag ক্যাথোডে সঞ্চিত করতে AgNO_{3} দ্রবণের কত ফ্যারাডে তড়িৎ চালনা করতে হবে?,1F,2F,3F,4F,1F,2F,3F,4F,a
"In Fe^{2+} + Sn{4+} \rightleftharpoons Fe^{3+} + Sn^{2+}; reaction-
i. Fe^{2+} oxidized
ii. Sn^{2+} is a reduction
iii. Fe^{3+} accept one electron
Which one is correct?","Fe^{2+} + Sn^{4+} \rightleftharpoons Fe^{3+} + Sn^{2+} ; বিক্রিয়াটিতে-
 i. Fe^{2+} জারিত হয়েছে
 ii. Sn^{2+} একটি বিজারণ
 iii. Fe^{3+} একটি ইলেকট্রন গ্রহণ করেছে
 নিচের কোনটি সঠিক?",i & ii,ii & iii,i & iii,"i, ii & iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
Which one is the general formula of Alkene?,অ্যালকিনের সাধারণ সংকেত কোনটি?,C_{a}H_{2n + 2},C_{a}H_{2n + 1}^{-},C_{a}H_{2n},C_{a}H_{2n - 2},C_nH_{2n+2},C_nH_{2n+1},C_nH_{2n},C_nH{2n-2},c
What is the temperature of SATP in Kelvin scale,SATP তে তাপমাত্রা কত কেলভিন?,273,278,293,298,273,278,293,298,d
What is the oxidation number of Mn in KMnO_{4}?,KMnO_{4} এ Mn এর জারণ সংখ্যা কত?,\text+ 4,\text+ 5,\text+ 6,\text+ 7,\text{+ 7},\text{+ 5},\text{+ 6},\text{ + 7},d
What amount of copper metal will be deposited if 500 mA current is passed through blue vitrol solution for 50 min?,তুঁতের দ্রবণে 50 min ধরে 500 mA বিদ্যুৎ প্রবাহিত করলে কী পরিমাণ কপার ধাতু জমা হবে?,0.29 g,0.39 g,0.49 g,0.59 g,0.29 g,0.39 g,0.49 g,0.59 g,c
What is the number of chiral carbon in glyceraldehyde?,গ্লিসারালডিহাইডে কাইরাল কার্বন কয়টি?,1,2,3,4,1টি,2টি,3টি,4টি,a
Which of the following is primary standard substance?,কোনটি প্রাইমারি স্ট্যান্ডার্ড পদার্থ?,KMnO_{4},K_{2}Cr_{2}O_{7},NaOH,H_{2}SO^{4},KMnO_{4},K_{2}Cr_{2}O_{7},NaOH,H_{2}SO_{4},b
What kind of half-cell is Na-Hg/Na^{+}?,Na-Hg/Na^{+} অর্ধকোষটি কোন ধরনের অর্ধকোষ?,Metal-metal ion,Gas-half cell,Redox-half cell,Metal amalgum-metal ion,ধাতু-অধাতুর আয়ন,গ্যাস-অর্ধকোষ,জারণ-বিজারণ অর্ধকোষ,ধাতু অ্যামালগাম-ধাতুর আয়ন,d
"CH_{2}O + RMgX \rightarrow Intermediate compound \overset{H_{2}O/H^{+}}{\rightarrow} 'X'+Mg(OH)X
The compound 'X' is-","CH_{2}O + RMgX \rightarrow অস্থায়ী যৌগ
 \xrightarrow{H_{2}O/H^{+}} 'A' + Mg(OH)X 
 'A' যৌগটি কোনটি?",Ketone,Alcohol,Amine,Alkane,কিটোন,অ্যালকোহল,অ্যামিন,অ্যলকেন,b
What is the value of R in L-atm?,L-atm এ 'R' এর মান কত?,0.0821 L atm K^{-1} mol^{-1},0.821 L atm K^{-1} mol^{-1},8.314 L atm K^{-1} mol^{-1},8.314 \times 10^{7} L atm K^{-1} mol^{-1},0.0821L atm K^{-1} mol^{-1},0.821L atm K^{-1} mol^{-1},8.314L atm K^{-1} mol^{-1},8.314 \times 10^{7}L atm K^{-1} mol^{-1},a
Which indicator is suitable for the titration of weak acid and strong base.,মৃদু অম্ল ও তীব্র ক্ষার টাইট্রেশনে কোন নির্দেশক উপযোগী?,Methyl red,Methyl orange,Phenolphthalein,Acidic methyl blue,মিথাইল রেড,মিথাইল অরেঞ্জ,ফেনলফথ্যালিন,মিথাইল ব্লু (অম্লীয়),c
"Name of (CH_{3})_{3} C - OH is -
i. 2-methyl propanol-2
ii. Trimethyl carbinol
iii. Isoprophl alcohol
Which one of the following is correct?","(CH_{3})_{3}C - OH এর মান-
 i. 2-মিথাইল প্রোপানল-2
 ii. ট্রাইমিথাইল কার্বিনল
 iii. আইসোপ্রোপাইল অ্যালকোহল
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
Whose rate of diffusion is equal among the gases?,নিচের গ্যাসগুলোর মধ্যে কোনটির ব্যাপন হার সমান?,"CO_{2}, O_{2}","CO_{2}, N_{2}O","CO_{2}, CO","N_{2}O, NO_{2}","CO_{2}, O_{2}","CO_{2}, N_{2}O","CO_{2}, CO","N_{2}O, NO_{2}",b
What is the value of standard hydrogen electrode?,প্রমাণ হাইড্রোজেন তড়িৎদ্বারের বিভব মান কত?,\text+ 0.30V,\text+ 0.0V,\text+ 0.10V,\text+ 0.20V,\text{+ 0.30V},\text{+ 0.0V},\text{+ 0.10V},\text{0.20V},b
Which one is Nucleophite?,কোনটি নিউক্লিওফাইল-,H_{2}O,AlCl_{3},BF_{3},SO_{3},H_{2}O,AlCl_{3},BF_{3},SO_{3},a
"NH_{3} is a base, according to which statement?
i. Arrhenius
ii. Bronsted-Lowry
iii. Lewis
Which one is correct?","NH_{3} ক্ষারক কোন মতবাদে?
 i. আরহেনিয়াস
 ii. ব্রনস্টেড-লাউরী
 iii. লুইস
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",c
What amount of Na_{2}CO_{3} is dissolved in 500 ml decimolar solution.,500 mL ডেসিমোলার দ্রবণে কত গ্রাম Na_{2}CO_{3} দ্রবীভূত থাকবে?,3.3g,5.3g,4.3g,6.3g,3.3g,5.3g,4.3g,6.3g,b
