English Question,Bengali Question,A,B,C,D,A Bn,B Bn,C Bn,D Bn,Correct Answer
Which symbol was accepted from Latin name?,ল্যাটিন ভাষা থেকে গৃহীত প্রতীক কোনটি?,N,Ca,Co,K,N,Ca,Co,K,d
Which one is the correct Latin name of tungsten?,টাংস্টেনের সঠিক ল্যাটিন নাম নিচের কোনটি?,Cuprum,Wolfarm,Stibium,Ferrum,Cuprum,Wolfram,Stibium,Ferrum,b
Which one is the actual mass of electron?,একটি ইলেকট্রনের প্রকৃত ভর কত?,1.673\times 10^{-24}g,1.675\times 10^{-24}g,9.11\times 10^{-28}g,9.11\times 10^{-31}g,1.673 \times 10^{-24} g,1.675 \times 10^{-24} g,9.11 \times 10^{-28} g,9.11 \times 10^{-31} g,c
Which isotope is used to identify the presence of tumor in human body?,মানবদেহে টিউমারের উপস্থিতি নির্ণয়ে নিচের কোন আইসোটোপ ব্যবহৃত হয়?,_{}^{131}\textrm{I},_{}^{99}\textrm{Tc},_{}^{60}\textrm{C}_{O},_{}^{32}\textrm{P},^{131}I,^{99}Tc,^{60}C_{0},^{32}P,c
"By taking how many discovered elements, Mendeleev's made the periodic table?",মেন্ডেলিফ কতটি আবিষ্কৃত মৌল নিয়ে পর্যায় সারণি করেন?,33,63,64,67,33,63,64,67,b
Which one is coinage metal?,নিচের কোনটি মুদ্রা ধাতু?,Pt,Al,Zn,Au,Pt,Al,Zn,Au,d
Which one is the formula of lime water?,চুনের পানির সংকেত কোনটি?,CaCO_{3},CaO,Ca(OH)_{2},Ca(HCO_{3})_{2},CaCO_{3},CaO,Ca(OH)_{2},Ca(HCO_{3})_{2},c
In which group element having electronic configuration like 1s^{2}2s^{2}2p^{1} is present in periodic table?,1s^{2}2s^{2}2p^{2} ইলেকট্রন বিন্যাসবিশিষ্ট মৌলটি পর্যায় সারণির কোন গ্রুপে অবস্থিত?,Group-1,Group-3,Group-5,Group-13,গ্রুপ-১,গ্রুপ-৩,গ্রুপ-৫,গ্রুপ-১৩,d
Which one is formula of magnesium phosphate?,ম্যাগনেসিয়াম ফসফেটের সংকেত কোনটি?,Mg(PO_{4})_{2},Mg_{2}(PO_{4})_{3},Mg_{2}(PO_{4}),Mg_{3}(PO_{4})_{2},Mg(PO_{4})_{2},Mg_{2}(PO_{4})_{2},Mg_{2}(PO_{4}),Mg_{3}(PO_{4})_{2},d
What is the latent valency of sulphur in sulphur dioxide compound?,সালফার ডাইঅক্সাইড যৌগে সালফারের সুপ্ত যোজনী কত?,2,3,4,6,2,3,4,6,a
Which element of the following has different valency and valence electron?,নিচের কোন মৌলের যোজনী ও যোজনী ইলেকট্রন সংখ্যা ভিন্ন?,Zinc,Sodium,Magnesium,Chlorine,জিংক,সোডিয়াম,ম্যাগনেসিয়াম,ক্লোরিন,d
Which one has lowest Vanderwaals energy in the followings compounds?,নিচের কোন যৌগে ভ্যানডারওয়ালস শক্তি সবচেয়ে কম?,Carbon dioxide,Ethanol,Naphthalene,Liquid Ammonia,কার্বন ডাইঅক্সাইড,ইথানল,ন্যাফথালিন,তরল অ্যামোনিয়া,a
"In which temperature range, araffin wax is collected from the fractional distillation of petroleum compound?",পেট্রোলিয়াম যৌগের আংশিক পাতনের সময় কত তাপমাত্রা অঞ্চলে প্যারাফিন মোম পাওয়া যায়?,21^{\circ}C-70^{\circ}C,71^{\circ}C-120^{\circ}C,121^{\circ}C-170^{\circ}C,271^{\circ}C-340^{\circ}C,21\degree C - 70\degree C,71\degree - 120\degree C,121\degree C - 170\degree C,271\degree C - 340\degree C,d
Which one is alkyne?,নিচের কোনটি অ্যালকাইন?,C_{6}H_{10},C_{10}H_{20},C_{6}H_{14},C_{12}H_{25},C_{6}H_{10},C_{10}H_{20},C_{6}H_{14},C_{12}H_{25},a
Which percentage of the aquous solution of the ethanol is known as rectified spirit?,ইথানলের শতকরা কত ভাগ জলীয় দ্রবণকে রেকটিফাইড স্পিরিট বলে?,4%,40%,60%,96%,4%,40%,60%,96%,d
How many mole of hydrogen would need to produce alkane from alkyne?,অ্যালকাইন থেকে অ্যালকেন তৈরি করতে কত মোল হাইড্রোজেন লাগে?,1,2,3,4,1,2,3,4,b
Which one is the correct electronic configuration of Fe^{+2}?,Fe^{+2} এর ইলেকট্রন বিন্যাস নিচের কোনটি?,1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}3d^{6}4s^{2},1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}4s^{2}3d^{4},1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}3d^{8}4s^{2},1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}3d^{6},1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}3d^{6}4s^{2},1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}4s^{2}3d^{4},1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}3d^{8}4s^{2},1s^{2}2s^{2}2p^{6}3s^{2}3p^{6}3d^{6},d
"A is the third number of C_{n}H_{2n+1}OH compound. Whene 'A' is oxidized with K_{2}Cr_{2}O_{7} in presence of dilute H_{2}SO_{4}. 'B' will produce first and 'C' (acidic) will produce due to excess oxidation.
Compound 'C'-
i. produce H+ in aquous solution
ii. produce salt and water with the reaction of base
iii. used to produce food preservation
Which one is correct?","C_{n} H_{2n+1}OH সংকেতবিশিষ্ট যৌগের তৃতীয় সদস্য 'A' । 'A' কে লঘু H_{2}SO_{4} এর উপস্থিতিতে K_{2}Cr_{2}O_{7} দ্বারা জারণ করলে 'C' যৌগ তৈরি হয় যা অম্লধর্মী।
 
 'C' যৌগটি-
 i. জলীয় দ্রবণে H^{+} সৃষ্টি করে
 ii. ক্ষারের সাথে বিক্রিয়া করে লবণ ও পানি তৈরি করে
 iii. খাদ্য সংরক্ষক তৈরিতে ব্যবহৃত হয়
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",d
"R-COONa + NaOH\xrightarrow[]{CaO}A+Na_{2}CO_{3}
R = C_{2}H_{5}-
What is the molecular mass of 'A' compound?","R - COONa + NaOH \xrightarrow{CaO} A + Na_{2}CO_{3}
 R = C_{2}H_{5} -
 'A' যৌগটির আণবিক ভর কত?",16,18,24,30,16,18,24,30,d
"What is the relative atomic mass, if the mass of one atom of an element is 3.154\times 10^{-23}g?",কোনো মৌলের ১টি পরমাণুর ভর 3.154 \times 10^{-23} g হলে মৌলটির আপেক্ষিক পারমাণবিক ভর কত?,52,38,19,9,52,38,19,9,c
Which one has the following has triple bond?,নিচের কোন মৌলটিতে ত্রি-বন্ধন বিদ্যমান?,Hydrogen,Oxygen,Nitrogen,Flurine,হাইড্রোজেন,অক্সিজেন,নাইট্রোজেন,ফ্লোরিন,c
How many lone pair electrons are present in ammonia molecule?,অ্যামেনিয়া অণুতে মুক্ত জোড় ইলেকট্রন কয়টি?,1,2,3,4,1,2,3,4,a
What amount of Na_{2}CO_{3} is there in 2L of ml 0.2 molar Na_{2}CO_{3} solution?,2 লিটার 0.2 মোলার Na_{2}CO_{3} দ্রবণের মধ্যে কী পরিমাণ Na_{2}CO_{3} আছে?,42.4 g,43.4 g,44.4 g,46.4 g,42.4 g,43.4 g,44.4 g,46.4 g,a
What is the oxidation number of sulfur in copper sulphate?,কপার সালফেটে সালফারের জারণ সংখ্যা কত?,+ 2,+ 4,+ 6,+ 8,\text{+ 2},\text{+ 4},\text{+ 6},\text{+ 8},c
What is the percentage of pentane in natural gas?,প্রাকৃতিক গ্যাসে পেন্টেনের শতকরা পরিমাণ কত?,7%,6%,4%,3%,7%,6%,4%,3%,d
"CH_{3}-C\equiv CH\overset{Br_{2}}{\rightarrow} 'M'\overset{Br_{2}}{\rightarrow}'N'
What is the name of compound 'N'?","CH_{3} - C \equiv CH \xrightarrow{Br_{2}} 'M' \xrightarrow{Br_{2}} 'N'
 
 'N' যৌগটির নাম কী?","1, 1-dibromo propane","2, 2-dibromo propane","1,1, 2, 2-tetrabromo propane","1, 2-dibromo propene","1, 1-ডাইব্রোমো প্রোপেন","2, 2-ডাইব্রোমো প্রোপেন","1, 1, 2, 2-টেট্টাব্রোমো প্রোপেন","1, 2-ডাইব্রোমো প্রোপিন",c
"The compound 'M' of the stem-
i. gives addition reaction
ii. is used to prepare plastic
iii. is more reactive than 'N'
Which one is correct?","CH_{3} - C \equiv CH \xrightarrow{Br_{2}} 'M' \xrightarrow{Br_{2}} 'N'
 
 উদ্দীপকের 'M' যৌগটি-
 i. সংযোজন বিক্রিয়া দেয়
 ii. প্লাস্টিক তৈরিতে ব্যবহৃত হয়
 iii. 'N' অপেক্ষা কম সক্রিয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which one is sublimated substance?,কোনটি উর্ধ্বপাতিত পদার্থ?,Nacl,NH_{4}Cl,C_{6}H_{6},CO_{2}(g),Nacl,NH_{4}Cl,C_{6}H_{6},CO_{2}(g),b
Which one is explosive substance?,বিস্ফোরক পদার্থ কোনটি?,TNT,Benzene,Toluene,Xylene,টি.এন.টি,বেনজিন,টলুইন,জাইলিন,a
Whose rate of diffusion is higher?,কোনটির ব্যাপন হার বেশি?,CO_{2},NO_{2},SO_{2},H_{2}S,CO,NO_{2},SO_{2},H_{2}S,d
Which one is the Latin name of potassium?,পটাসশিয়াম এর ল্যাটিন নাম কোনটি?,Plumbum,Kalium,Stannum,Natrium,Plumbum,Kaium,Stannum,Natrium,b
What is the actual mass of neutron?,নিউট্রনের প্রকৃত ভর কত?,1.675\times 10^{-24}g,1.673\times 10^{-24}g,1.67\times 10^{-24}g,1.66\times 10^{-24}g,1.675 \times 10^{-24}g,1.673 \times 10^{-24}g,1.67 \times 10^{-24}g,1.66 \times 10^{-24}g,a
How many electrons are there in 'M' orbit of chromium?,ক্রোমিয়াম এর 'M' শক্তিস্তরের কয়টি ইলেক্ট্রন আছে?,14,13,12,11,14,13,12,11,b
Whose electronic configuration is more stable?,নিচের কোনটির ইলেকট্রন বিন্যাস অধিকতর সুস্থিত?,(n-1)d^{10}ns^{1},(n-2)d^{8}ns^{2},(n-1)d^{7}ns^{2},(n-1)d^{4}ns^{2},(n - 1)d^{10}ns^{1},(n - 1)d^{8}ns^{2},(n - 1)d^{7}ns^{2},(n - 1)d^{4}ns^{2},a
"Mass of one atom of element _{29}^{}\textrm{X}=1.054\times 10^{-22}g [X is not a symbol of regular element]
In which group of the periodic table, the element of the stem is situated?","_{29}X মৌলটির ১টি পরমাণুর ভর 1.054 \times 10^{-22}g [X প্রচলিত কোনো মৌলের প্রতীক নয়]
 
উদ্দীপকের মৌলটি পর্যায় সারণির কোন গ্রুপে অবস্থিত?",1,2,11,12,1,2,11,12,c
"Mass of one atom of element _{29}^{}\textrm{X}=1.054\times 10^{-22}g [X is not a symbol of regular element]
How many electrons are there in the last orbital of the element in electronic configuration?","_{29}X মৌলটির ১টি পরমাণুর ভর 1.054 \times 10^{-22}g [X প্রচলিত কোনো মৌলের প্রতীক নয়]
 
 X মৌলটির ইলেকট্রন বিন্যাস সর্বশেষ উপশক্তিস্তরে কতটি ইলেকট্রন থাকে?",4,3,2,1,4,3,2,1,d
How many elements are there in Actinide series?,অ্যাকটিনাইড সারির মৌলের সংখ্যা কত?,32,30,18,15,32,30,18,15,d
Which one of the following is the formula of Calcium Phosphate?,নিচের কোনটি ক্যালসিয়াম ফসফেটের সংকেত?,CaPO_{4},Ca_{3}(PO_{4})_{2},Ca_{2}(PO_{4})_{3},Ca(PO_{4})_{2},CaPO_{4},Ca_{3}(PO_{4})_{2},Ca_{2}(PO_{4})_{3},Ca(PO_{4})_{2},b
How many atoms are there in one molecule of potassium-di-chromate?,পটাশিয়াম ডাইক্রোমেট এর ১টি অণুতে কতটি পরমাণু বিদ্যমান?,7,9,11,13,7,9,11,13,c
Which of the following copound is insoluble in water?,নিচের কোন যৌগটি পানিতে অদ্রবণীয়?,AgCl,NaCl,CaCl_{2},KCl,AgCl,NaCl,CaCl_{2},KCl,a
"At room temperature, solid substance is-
i. C_{10}H_{8}
ii. S_{8}
iii. I_{2}
Which one is correct?","সাধারণ তাপমাত্রায় কঠিন অবস্থায় থাকে-
 i. C_{10}H_{8}
 ii. S_{8}
 iii. l_{2}
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
"In which compound, every atom attains the electronic configuration of Neon?",নিচের কোন যৌগটি গঠনকালে প্রতিটি পরমাণুই নিয়নের ইলেকট্রন বিন্যাস অর্জন করে?,KF,CaS,MgO,NaCl,KF,CaS,MgO,NaCl,c
What is the volume of 60 g So_{2} at standard temperature and pressure?,আদর্শ তাপমাত্রা ও চাপে 60 g SO_{2} এর আয়তন কত?,21 L,22 L,23 L,25 L,21 লিটার,22 লিটার,23 লিটার,25 লিটার,a
What is the present composition of S in Al_{2}(SO_4)_3?,Al_{2}(SO_{4})_{3} যৌগে S এর শতকরা সংযুক্তি কত?,15.79%,25.78%,28.07%,56.14%,15.78%,25.78%,28.07%,56.14%,c
What is the value of heat neutralization of strong acid and strong base?,তীব্র এসিড ও তীব্র ক্ষারের বিক্রিয়ায় প্রশমন তাপ কত?,\triangle H = -57.23KJ,\triangle H = -58.78KJ,\triangle H = -57.28KJ,\triangle H = -57.34KJ,\Delta H = - 57.23 kJ,\Delta H = - 58.78 kJ,\Delta H = - 57.28 kJ,\Delta H = - 57.34 kJ,d
Which one is higher electronegative element?,নিচের কোন মৌলটি অধিকতর তড়িৎ ঋণাত্মক?,C,F,0,N,C,F,O,N,b
Which one is the formula of aluminium carbonate?,অ্যালুমিনিয়ামের কার্বনেটের সংকেত কোনটি?,AlCO_{3},Al_{2}CO_{3},Al_{2}(CO_{3})_{3},Al(CO_{3})_{3},AlCO_{3},Al_{2}CO_{3},Al_{2}(CO_{3})_{3},Al(CO_{3})_{3},c
"CH_{3}-CH_{2}-CH_{2}-OH\xrightarrow[]{H_{2}SO_{4}} 'X' + H_{2}O
Here 'X' compound is -",CH_{3} - CH_{2} - CH_{2} - OH \xrightarrow{H_{2}SO_{4}} 'X' + H_{2}O এখানে 'X' যৌগ হল-,C_{3}H_{8},C_{3}H_{6}O,C_{3}H_{4},C_{3}H_{6},C_{3}H_{8},C_{3}H_{6}O,C_{3}H_{4},C_{3}H_{6},d
"CH_{2}=CH-CH_{3}+Br_{2}\rightarrow Y
Here 'Y' compound is -",CH_{2} = CH - CH_{3} + Br_{2} \rightarrow Y এখানে Y যৌগটির নাম-,"1, 2-dibromo propane",Propyl bromide,Propane bromide,"2, 3-dibromo propane","1, 2-ডাইব্রোমো প্রোপেন",প্রোপাইল ব্রোমাইড,প্রোপিন ব্রোমাইড,"2, 3-ডাইব্রোমো প্রোপেন",a
What is the latin name of Tungsten element?,টাংস্টেন মৌলের ল্যাটিন নাম কী?,Stannum,Plumbum,Technetium,Wolfarm,Stannum,Plumbum,Technetium,Wolfram,d
What is the relative mass of electron?,ইলেকট্রিনের আপেক্ষিক ভর কত?,9.11\times 10^{-28}g,1.673\times 10^{-24}g,1.675\times 10^{-24}g,0,9.11 \times 10^{-28}g,1.673 \times 10^{-28}g,1.675 \times 10^{-28}g,0,d
"In which of the following shell, electrons of 'L' shell will enter by emitting energy?",L' শক্তিস্তরে বিদ্যমান ইলেকট্রন শক্তির বিকিরণ ঘটিয়ে কোন শক্তিস্তরে গমন করবে?,K,L,M,N,K,L,M,N,a
"When CO_{2} gas is run into the lime water, which of the following will have white precipitate?",চুনের পানিতে CO_{2} গ্যাস চালনা করলে কোনটির সাদা অধঃক্ষেপ পড়ে?,Ca(OH)_{2},CaO,CaCO_{3},Ca(HCO_{3})_{2},Ca(OH)_{2},CaO,CaCO_{3},Ca(HCO_{3})_{2},c
"In atom of an element contain, proton no. a, electron no. b and neutron no. c.
What is the mass number of that element?","একটি মৌলের পরমাণুতে a সংখ্যক প্রোটন, b সংখ্যক ইলেকট্রন এবং c সংখ্যক নিউটন আছে। মৌলটির ভর সংখ্যা কত?",a + b,a + c,b + c,a +b + c,a + b,a + c,b + c,a + b + c,b
The outermost shell electronic configuration of 'A' element is ns^{2}np^{5} (n = 3). Position of 'A' element in Periodic table-,A' মৌলের সর্বশেষ কক্ষপথের ইলেকট্রন বিন্যাস ns^{2} np^{5} (n = 3) । পর্যায় সারণিতে 'A' মৌলের অবস্থান-,"Period-3, Group-7","Period-3, Group-5","Period-3, Group-17","Period-3, Group-15",৩য় পর্যায়ের ৭ম গ্রুপে,৩য় পর্যায়ের ৫ম গ্রুপে,৩য় পর্যায়ের ১৭ নং গ্রুপে,৩য় পর্যায়ের ১৫ নং গ্রুপে,c
What is the amount of butane and isobutane in natural gas?,প্রাকৃতিক গ্যাসে বিউটেন ও আইসো বিউটেনের পরিমাণ কত?,80%,7%,5%,4%,80%,7%,5%,4%,d
"CH_{3}CHO+[O]\xrightarrow[]{K_{2}Cr_{2}O_{7}+H_{2}SO_{4}} 'Z' 
Here 'Z' compound-
i. contains-COOH radical
ii. is used to make vinegar
iii. is completely ionized in aqueous solution
Which one is correct?","CH_{3}CHO + [O] \xrightarrow{K_{2}Cr_{2}O_{7} + H_{2}SO_{4}} 'Z' এখানে 'Z' যৌগটি-
 i. -COOH মূলক সম্বলিত
 ii. ভিনেগার তৈরিতে ব্যবহৃত হয়
 iii. জলীয় দ্রবণে সম্পূর্ণ আয়নিত হয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
Which one of the following isotope is used to destroy the thyroid cancer cell?,থাইরয়েড ক্যান্সার কোষ ধ্বংস করার জন্য নিম্নের কোন আইসোটোপ ব্যবহার করা হয়?,_{}^{60}\textrm{Co},_{}^{32}\textrm{P},_{}^{131}\textrm{I},_{}^{99}\textrm{T}c,^{68}Co,^{32}p,^{131}I,^{99}Tc,c
"In CCI_{4}, what is the electron no. at outermost shell of central atom?",CCl_{4} এ কেন্দ্রীয় পরমাণুর সর্বশেষ শক্তিস্তরে ইলেকট্রনের সংখ্যা কত?,4,8,16,32,4,8,16,32,b
What is the valency of phosphate radical?,ফসফেটের মূলকের যোজনী কত?,4,3,2,1,4,3,2,1,b
Which one of the following compound is water soluble?,কোন যৌগটি পানিতে দ্রবণীয়?,CH_{4},C_{2}H_{6},CH_{3}OH,C_{4}H_{10},CH_{4},C_{2}H_{6},CH_{3}OH,C_{4}H_{10},c
"CaC_{2}+2H_{2}O\rightarrow 'X' Ca(OH)_{2}
The 'X' compound-
i. unsaturated hydrocarbon
ii. gives polymerization reaction 
iii. can be used to prepare ethanal
Which one is correct?","CaC_{2} + 2H_{2}O \rightarrow 'X' + Ca(OH)_{2} বিক্রিয়াটির 'X' যৌগ-
 i. অসম্পৃক্ত হাইড্রোকার্বন
 ii. পলিমারকরণ বিক্রিয়া দেয়
 iii. ব্যবহার করে ইথান্যাল প্রস্তুত করা সম্ভব
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",d
Which of the compound is about chemically inactive?,কোন যৌগটি রাসায়নিকভাবে অনেকটা নিষ্ক্রিয়?,C_{5}H_{12},C_{5}H_{10},C_{5}H_{8},C_{4}H_{6},C_{5}H_{12},C_{5}H_{10},C_{5}H_{8},C_{4}H_{6},a
What is the formula of polythene?,পলিথিনের সংকেত কোনটি?,(CH_{2}=CH_{2})_{n},(-CH_{2}-CH_{2})_{n},(CH_{2}-CH_{2}-)_{n},(-CH_{2}-CH_{2}-)_{n},(CH_{2}=CH_{2}),(-CH_{2}-CH_{2})_{n},(CH_{2}-CH_{2}-)_{n},(-CH_{2}-CH_{2}-)_{n},d
"X' is an element having the mass of one atom 3.985\times 10^{-23}g.
Relative atomic mass of 'X'-",X' একটি মৌল যার একটি পরমাণুর ভর 3.985 \times 10^{-23}g. 'X' এর আপেক্ষিক পারমাণবিক ভর-,24,12,2.4,0.024,24,12,2.4,0.024,a
In which place of Russia atomic accident occurred at 1986?,১৯৮৬ সালে রাশিয়ার কোন স্থানে পারমাণবিক দুর্ঘটনা ঘটেছিল?,Moscow,Belgrade,Tashkent,Chernobyl,মস্কো,বেলগ্রেড,তাসখন্দ,চেরোনোবিল,d
Which one is the life time hour of Tc-99?,Tc-99 এর লাইফটাইম কত ঘন্টা?,6,8,11,12,6,8,11,12,a
"Atomic mass of an element is 4.482\times 10^{-23}g
What is the relative atomic mass of that element?",কোন মৌলের একটি পরমাণু ভর 4.482 \times 10^{-23} g উহার আপেক্ষিক পারমাণবিক ভর কত?,13,27,54,b,13,27,54,32,b
How many Isotopes of Hydrogen are found in nature?,প্রকৃতিতে পাওয়া হাইড্রোজেন এর আইসোটোপ কতটি?,2,3,4,7,2,3,4,7,b
Which one of the following is the value of n + 1 in 4f?,4f এর n + 1 এর মান কত?,4,6,7,8,4,6,7,8,c
What is the value of m in the equation mvr = \frac{nh}{2r},mvr = \frac{nh}{2\pi} সমীকরণে m এর মান কত?,9.11\times 10^{-28}kg,9.11\times 10^{-38}kg,9.11\times 10^{-31}kg,1.66\times 10^{-24}kg,9.11 \times 10^{-38} kg,9.11 \times 10^{-28} g,9.11 \times 10^{-31} g,1.66 \times 10^{-24} g,b
What type of compound CaH_{2} is?,CaH_{2} কোন ধরনের যৌগ?,Ionic,Covalent,Organic,Volatile,আয়নিক,সমযোজী,জৈব,উদ্বায়ী,a
Which one is not disolve in water?,পানিতে অদ্রবণীয় যৌগ কোনটি?,NaCl,MgCl_{2},AlCl_{3},CCl_{4},NaCl,MgCl_{2},AlCl_{2},CCl_{4},d
Which isotope of element is used to detect the age of earth?,পৃথিবীর বয়স নির্ধারণে কোন মৌলের আইসোটোপ ব্যবহৃত হয়?,Carbon,Nitrogen,Iodine,Cobalt,কার্বন,নাইট্রোজেন,আয়োডিন,কোবাল্ট,a
Which one is paraffim below?,নিচের কোনটি প্যারাফিন?,CH_{3}CHO,C_{2}H_{5}OH,C_{17}H_{35}COONa,C_{5}H_{12},CH_{3}CHO,C_{2}H_{5}OH,C_{17}H_{35}COONa,C_{5}H_{12},d
Which one is conensation polymer?,কোনটি ঘনীভবন পলিমার?,Nylon,PVC,Polythene,Polypropene,নাইলন,পিভিসি,পলিথিন,পলিপ্রোপিন,a
How many periods were in Mendeleev periodic table?,মেন্ডিলিফের পর্যায় সারণিতে কতটি আনুভূমিক সারি ছিল?,63,18,12,8,63,18,12,8,c
Which one is the period of element _{19}^{}\textrm{X},_{19}X মৌলটির অবস্থান কোন পর্যায়ে?,1,3,4,5,1,3,4,5,c
Which one of the following is the period of element Lanthanum?,ল্যান্থানাম কত নং পর্যায়ের মৌল?,4,5,6,7,4,5,6,7,c
"Products of the combustion of metural gas-
i. CO_{2}
ii. H_{2}O
iii. NO_{2}
Which one is correct?","প্রাকৃতিক গ্যাসের দহনে উৎপন্ন হয়-
 i. CO_{2}
 ii. H_{2}O
 iii. NO_{2}
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",a
"CH_{3}CH_{2}OH\xrightarrow[]{[O]}X\xrightarrow[]{[O]}Y
Which gas will be produced when conc. H_{2}SO_{4} reacts with first reastant of stem?","CH_{3}CH_{2}OH \xrightarrow{[O]} X \xrightarrow{[O]} Y
 
 যদি H_{2}SO_{4} (Conc) প্রথম বিক্রিয়কের সাথে বিক্রিয়া করে তবে কোন গ্যাসটি পাওয়া যায়?",Methane,Ethane,Ethene,Ethyne,মিথেন,ইথেন,ইথিন,ইথাইন,c
"CH_{3}CH_{2}OH\xrightarrow[]{[O]}X\xrightarrow[]{[O]}Y
For X and Y-
i. X is aldehyde, Y is organic acid
ii. 40% aqueous solution of X is known of formalin
iii. 4-100% aqueous solution of Y is known as vinegar
Which one is correct?","CH_{3}CH_{2}OH \xrightarrow{[O]} X \xrightarrow{[O]} Y
 
 X ও Y এর ক্ষেত্রে-
 i. X অ্যালডিহাইড, Y জৈব এসিড
 ii. X এর 40% জলীয় দ্রবণ ফরমালিন নামে পরিচিত
 iii. Y এর 4-10% জলীয় দ্রবণ ভিনেগার নামে পরিচিত
 নিচের কোনটি সঠিক?",i and ii,i and iii,ii and iii,"i, ii and iii",i ও ii,i ও iii,ii ও iii,"i, ii ও iii",b
Which one is the element of group halogen below?,নিচের কোনটি হ্যালোজেন গ্রুপের মৌল?,Ag,Al,Ar,At,Ag,Al,Ar,At,d
Which one is the valency electron of Cu?,Cu এর যোজ্যতা ইলেকট্রন কত?,1,2,9,10,1,2,9,10,a
Which one is the radical of valency 3 or Trivalent radical?,ত্রিযোজী যৌগমূলক কোনটি?,Carbonate,Phosphonium,Sulphite,Phosphate,কার্বোনেট,ফসফোনিয়াম,সালফেট,ফসফেট,d
Which is the functional group of aldehyde?,অ্যালডিহাইডের কার্যকরী মূলক কোনটি?,-COOH,-CHO,,-COOR,\text{-COOH},\text{-CHO},,\text{-COOR},b
"CH_{3}-CH_{2}-C\equiv CH+Cl_{2}\rightarrow A
A+Cl_{2}\rightarrow B
What is the name of the compound 'B'?","CH_{3}-CH_{2}-C \equiv CH + Cl_{2} \rightarrow A
 A + Cl_{2} \rightarrow B
 
 'B' যৌগের নাম কী?","1, 1-dichlorobutane","2, 2-dichlorobutane","1, 1, 2, 2-tetrachlorobutane","1, 1, 2, 2-tetrachlorobutene","1, 1-ডাইক্লোরোবিউটেন","2, 2-ডাইক্লোরোবিউটেন","1, 1, 2, 2-টেট্রাক্লোরোবিউটেন","1, 1, 2, 3-টেট্রাক্লোরোবিউটিন",c
"CH_{3}-CH_{2}-C\equiv CH+Cl_{2}\rightarrow A
A+Cl_{2}\rightarrow B
The compound 'A' of the stem-
i. give addition reaction
ii. is used to form plastic
iii. is less active than 'B'
Which of the following is correct?","CH_{3}-CH_{2}-C \equiv CH + Cl_{2} \rightarrow A
 A + Cl_{2} \rightarrow B
 
 উদ্দীপকে A যৌগটি-
 i. সংযোজন বিক্রিয়া দেয়
 ii. প্লাস্টিক তৈরিতে ব্যবহৃত হয়
 iii. 'B' অপেক্ষা কম সক্রিয়
 নিচের কোনটি সঠিক?",i and ii,ii and iii,i and iii,"i, ii and iii",i ও ii,ii ও iii,i ও iii,"i, ii ও iii",a
Which of the following is d-block element?,নিচের কোনটি d ব্লক মৌল?,K,Ca,Ti,Kr,K,Ca,Ti,Kr,c
Which is transition element?,অবস্থান্তর মৌল কোনটি?,Fe,Zn,Sc,K,Fe,Zn,Se,K,a
Which element of the following is more active?,নিচের কোন মৌলটি অধিক সক্রিয়?,O,P,N,F,O,P,N,F,d
"_{6}^{}\textrm{X} _{17}^{}\textrm{Y} _{12}^{}\textrm{Z}
How many valence electrons are there in Y element?","_{6}X _{17}Y _{12}Z
 
 Y মৌলের যোজ্যতা ইলেকট্রন কতটি?",1,5,7,17,1,5,7,17,c
"The compound formed by Y and Z-
i. has higher melting point
ii. is covelent
ii. is insoluble in water
Which of the following is correct?","_{6}X _{17}Y _{12}Z
 
 Y ও Z দ্বারা গঠিত যৌগ-
 i. উচ্চ গলনাঙ্কবিশিষ্ট
 ii. সমযোজী
 iii. পানিতে অদ্রবণীয়
 নিচের কোনটি সঠিক?",i,i and ii,ii and iii,i and iii,i,i ও ii,ii ও iii,i ও iii,a
What is the percentage of pentane in natural gas?,প্রাকৃতিক গ্যাসে পেন্টেনের শতকরা পরিমাণ কত?,7%,6%,4%,3%,7%,6%,4%,3%,d
